bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,aa442c8f-59f2-4081-be40-f75ba64f98b9,1,,,267533,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 4691, 'name': 'Claudio Andrés Bravo Muñoz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 6}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 4320, 'name': 'Neymar da Silva Santos Junior'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Barcelona,217,00:00:00.000,Starting XI,,2015/2016
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,46520499-bd35-49fc-acbf-e8aafea2981d,2,,,267533,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 5597, 'name': 'Keylor Navas Gamboa'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5721, 'name': 'Daniel Carvajal Ramos'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 20016, 'name': 'Kléper Laveran Lima Ferreira'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5201, 'name': 'Sergio Ramos García'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 5552, 'name': 'Marcelo Vieira da Silva Júnior'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 5539, 'name': 'Carlos Henrique Casimiro'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 5463, 'name': 'Luka Modrić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 5574, 'name': 'Toni Kroos'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 6399, 'name': 'Gareth Frank Bale'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 5207, 'name': 'Cristiano Ronaldo dos Santos Aveiro'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 19677, 'name': 'Karim Benzema'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Real Madrid,220,00:00:00.000,Starting XI,,2015/2016
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,989f6293-d4c9-41e2-ae92-f4433a1caba6,3,,,267533,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['0b921647-1431-4394-ba02-815c80f5bff2'],0,,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0b921647-1431-4394-ba02-815c80f5bff2,4,,,267533,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['989f6293-d4c9-41e2-ae92-f4433a1caba6'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8c45f0a7-f1be-4be8-8e4b-b9ec00837147,1816,,,267533,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,82,Real Madrid,220,['7fb73e07-57ec-4b47-93c7-c85ffb482159'],0,,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7fb73e07-57ec-4b47-93c7-c85ffb482159,1817,,,267533,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,82,Real Madrid,220,['8c45f0a7-f1be-4be8-8e4b-b9ec00837147'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,,0.2279,,,,,,,,,,,,,00ac4828-a5ff-468f-bb4d-a52d00c66b8b,5,,"[60.0, 40.0]",267533,0,,,,1.6539376,,Right Foot,,,,"[59.8, 42.4]",,Ground Pass,,2.408319,,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,Kick Off,1,From Kick Off,Luis Alberto Suárez Díaz,5246.0,Right Wing,2,Barcelona,217,['b93c3bed-f3b4-4abd-bfcc-c59622140fe8'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.296,Pass,,2015/2016
,,,,,,,,,,,,,,,1.363343,,,,,,,,,,,,,faa20878-d360-4a5e-8609-1a63760b0f14,8,,"[59.8, 42.4]",267533,0,,,,-2.9935608,,Right Foot,,,,"[48.4, 40.7]",,Ground Pass,,11.526057,,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,2,Barcelona,217,['20aca2bd-cac3-4c57-bd4f-3e2b0fd6fcc0'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.937,Pass,,2015/2016
,,,,,,,,,,,,,,,1.397122,,,,,,,,,,,,,cd262c4e-f14e-43ce-92f2-5300315d501c,11,,"[48.0, 33.8]",267533,0,,,,-2.6476512,,Right Foot,,,,"[36.3, 27.5]",,Ground Pass,,13.288341,,,,,Javier Alejandro Mascherano,5506.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['bcfeb78c-ca24-41d9-937a-022b9d231c71'],3,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:03.900,Pass,,2015/2016
,,,,,,,,,,,,,,,1.2164,,,,,,,,,,,,,682d1d32-813e-496b-82c4-c5379d0056f9,14,,"[35.8, 27.5]",267533,0,,,,1.6021996,,Left Foot,,,,"[35.2, 46.6]",,Ground Pass,,19.109423,,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Left Center Back,2,Barcelona,217,['5484fca1-b209-444b-9620-000477f83a50'],5,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:05.763,Pass,,2015/2016
