50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_success_in_play,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,491bc8de-0217-4a83-a2ff-2dec35715635,1,,,,267596,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 5492, 'name': 'Samuel Yves Umtiti'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 10609, 'name': 'Jérémy Mathieu'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 6849, 'name': 'Lucas Digne'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 10802, 'name': 'André Filipe Tavares Gomes'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 6998, 'name': 'Rafael Alcântara do Nascimento'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 12}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 4320, 'name': 'Neymar da Silva Santos Junior'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2016/2017
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,d2e49728-9651-476f-93ea-a0e032459dc8,2,,,,267596,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,"{'formation': 451, 'lineup': [{'player': {'id': 6662, 'name': 'Iago Herrerín Buisán'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6914, 'name': 'Roberto Román Triguero'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 6833, 'name': 'Martín Maximiliano Mantovani'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 6603, 'name': 'Dimitrios Siovas'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 22}, {'player': {'id': 6895, 'name': 'Diego Rico Salguero'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 10753, 'name': 'Erik Morán Arribas'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 6608, 'name': 'Nabil El Zhar'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 25}, {'player': {'id': 24704, 'name': 'Alberto Martín Romo García Adámez'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 6597, 'name': 'Gabriel Appelt Pires'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 6875, 'name': 'Alexander Szymanowski'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 6602, 'name': 'Miguel Ángel Guerrero Martín'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Leganés,205,00:00:00.000,Starting XI,,2016/2017
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,d4448e21-549a-4080-bef3-91379fbae4a9,3,,,,267596,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['6d2caecf-94da-4ef1-b69a-d48c509851b0'],0,,,,,,,,,,,,,,,,Leganés,205,00:00:00.000,Half Start,,2016/2017
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,6d2caecf-94da-4ef1-b69a-d48c509851b0,4,,,,267596,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['d4448e21-549a-4080-bef3-91379fbae4a9'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2016/2017
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,d925670f-a2ca-4251-91f0-89c6e528663a,2064,,,,267596,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,97,Leganés,205,['69b31b84-8211-4ff4-bebd-d6889219f9f3'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2016/2017
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,69b31b84-8211-4ff4-bebd-d6889219f9f3,2065,,,,267596,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,97,Leganés,205,['d925670f-a2ca-4251-91f0-89c6e528663a'],0,,,,,,,,,,,,,,,,Leganés,205,00:00:00.000,Half Start,,2016/2017
,,,,,,,,,,,,,,,,1.243769,,,,,,,,,,,,,,,5e1765bb-e3fb-48d9-bdcb-085efc9c34c0,5,,,"[61.0, 40.1]",267596,0,,,,,-3.032538,,Right Foot,,,"[47.3, 38.6]",,Ground Pass,,13.781872,,,,,André Filipe Tavares Gomes,10802.0,,,,,,Kick Off,1,From Kick Off,Luis Alberto Suárez Díaz,5246.0,Center Forward,2,Barcelona,217,['9733dbaf-3fce-45dd-8037-540d6510f685'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.854,Pass,,2016/2017
,,,,,,,,,,,,,,,,1.5396,,,,,,,,,,,,,,,ac9e6f5f-8903-45a6-a928-3d8246c25299,8,,,"[47.7, 38.6]",267596,0,,,,,-2.2190144,,Right Foot,,,"[34.9, 21.7]",,Ground Pass,,21.200235,,,,,Jérémy Mathieu,10609.0,,,,,,,1,From Kick Off,André Filipe Tavares Gomes,10802.0,Center Defensive Midfield,2,Barcelona,217,['3d308e5b-3703-43f4-b80f-2be479fce1be'],2,,,,,,,,,,,,,,,,Barcelona,217,00:00:02.493,Pass,,2016/2017
,,,,,,,,,,,,,,,,1.6115,,,,,,,,,,,,,,,a408497d-0d6e-4e4a-b75a-98cb6855a9e0,11,,,"[37.6, 21.3]",267596,0,,,,,1.6829991,,Left Foot,,,"[33.6, 56.8]",,Ground Pass,,35.72464,,,,,Samuel Yves Umtiti,5492.0,,,,,,,1,From Kick Off,Jérémy Mathieu,10609.0,Left Center Back,2,Barcelona,217,['3a1c7389-d793-4ee3-9ff1-fea722386afa'],5,,,,,,,,,,,,,,,,Barcelona,217,00:00:05.219,Pass,,2016/2017
,,,,,,,,,,,,,,,,1.2483,,,,,,,,,,,,,,,f34ff584-e812-449f-af0b-4d389f79d5dc,14,,,"[49.0, 58.7]",267596,0,,,,,1.0507822,,Left Foot,,,"[56.1, 71.1]",,Ground Pass,,14.288807,,,,,Sergi Roberto Carnicer,6379.0,,,,,,,1,From Kick Off,Samuel Yves Umtiti,5492.0,Right Center Back,2,Barcelona,217,['b0c85e8f-1e0c-467c-8d3f-8c13c8d589ca'],10,,,,,,,,,,,,,,,,Barcelona,217,00:00:10.491,Pass,,2016/2017
