50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,c9c30d64-6a18-4c32-b11f-5a107fdf606a,1,,,267611,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 7068, 'name': 'Marc Bartra Aregall'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 22102, 'name': 'Adriano Correia Claro'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 5506, 'name': 'Javier Alejandro Mascherano'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 5}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 4320, 'name': 'Neymar da Silva Santos Junior'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2015/2016
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,a9e419be-ce2a-4f9c-9d03-0f36e9057f77,2,,,267611,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 26753, 'name': 'Javier Varas Herrera'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 27522, 'name': 'Antolín Alcáraz Viveros'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 8440, 'name': 'Aythami Artiles Oliva'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 16}, {'player': {'id': 7907, 'name': 'Pedro Bigas Rigo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 17}, {'player': {'id': 7906, 'name': 'David Simón Rodríguez Santana'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 2}, {'player': {'id': 6932, 'name': 'Dani Castellano Betancor'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 23}, {'player': {'id': 15805, 'name': 'Hernán Daniel Santana Trujillo'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 3610, 'name': 'Roque Mesa Quevedo'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 6626, 'name': 'Mubarak Wakaso'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 12}, {'player': {'id': 8167, 'name': 'Sergio Ezequiel Araújo'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 10755, 'name': 'Jonathan Viera Ramos'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 20}]}",Las Palmas,208,00:00:00.000,Starting XI,,2015/2016
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,af0cbeb4-9d15-4534-9921-4ba8237061b7,3,,,267611,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['8242ff7f-89c1-4c1b-8b26-3f2a74e6d301'],0,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,8242ff7f-89c1-4c1b-8b26-3f2a74e6d301,4,,,267611,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['af0cbeb4-9d15-4534-9921-4ba8237061b7'],0,,,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,dc7c2792-99e5-4e21-a901-fc086d880ac9,1884,,,267611,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,86,Barcelona,217,['53b3f1e5-bfa7-453d-b754-5d01ce0393c2'],0,,,,,,,,,,,,,,,,,,,Las Palmas,208,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,53b3f1e5-bfa7-453d-b754-5d01ce0393c2,1885,,,267611,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,86,Barcelona,217,['dc7c2792-99e5-4e21-a901-fc086d880ac9'],0,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,,,,,,0.668273,,,,,,,,,,,,,,10f183e1-eac5-42b8-91a6-3089cedac05f,5,,"[60.0, 40.0]",267611,0,,,,-2.228685,,Right Foot,,,"[58.3, 37.8]",,Ground Pass,,2.7802877,,,,,Neymar da Silva Santos Junior,4320.0,,,,,,Kick Off,1,From Kick Off,Luis Alberto Suárez Díaz,5246.0,Center Forward,2,Barcelona,217,['c04deaf1-1056-4214-9a0e-6bc6e7f7cefc'],0,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.929,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,,1.110802,,,,,,,,,,,,,,c679ef18-1b9b-4d8d-a718-729fec396306,8,,"[58.5, 37.6]",267611,0,,,,2.9127939,,Left Foot,,,"[43.9, 41.0]",,Ground Pass,,14.990664,,,,,Javier Alejandro Mascherano,5506.0,,,,,,,1,From Kick Off,Neymar da Silva Santos Junior,4320.0,Left Wing,2,Barcelona,217,['4605e9b1-9c97-42e5-b854-580fa8fb290b'],1,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.677,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,,2.2472,,,,,,,,,,,,,,3837d193-b853-401f-8122-7cc9fdc78e76,11,,"[57.0, 34.7]",267611,0,,,,-1.3903005,,Right Foot,,,"[62.0, 7.3]",,Ground Pass,,27.852468,,,,,Adriano Correia Claro,22102.0,,,,,,,1,From Kick Off,Javier Alejandro Mascherano,5506.0,Center Defensive Midfield,2,Barcelona,217,['f62c9fac-3fd7-4676-851b-8b45a4faff51'],6,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:06.014,Pass,,2015/2016
,,,,,,,,,,,,,,,,,,,0.8181,,,,,,,,,,,,,,4a1b2ba0-cb54-478f-b7d6-9f55cabe0e31,14,,"[63.0, 7.3]",267611,0,,,,0.60107374,,Right Foot,,,"[70.0, 12.1]",,Ground Pass,,8.487638,,,,,Neymar da Silva Santos Junior,4320.0,,,,,,,1,From Kick Off,Adriano Correia Claro,22102.0,Left Back,2,Barcelona,217,['c5483224-ff1a-4cef-9a28-4e7c18eeaf9a'],8,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:08.573,Pass,,2015/2016
