50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,fb502b0d-aa29-45d1-8f45-d1dad2a72885,1,,,267670,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 4691, 'name': 'Claudio Andrés Bravo Muñoz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5492, 'name': 'Samuel Yves Umtiti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 6609, 'name': 'Denis Suárez Fernández'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 11094, 'name': 'Arda Turan'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2016/2017
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,449b8b48-1dbb-4bc2-a7c7-a727a01e9c74,2,,,267670,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 6654, 'name': 'Antonio Adán Garrido'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6872, 'name': 'Bruno González Cabrera'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 6648, 'name': 'Aïssa Mandi'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 23}, {'player': {'id': 7161, 'name': 'Germán Alejandro Pezzella'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 20}, {'player': {'id': 26723, 'name': 'Álvaro Cejudo Carmona'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 16}, {'player': {'id': 6646, 'name': 'Riza Durmisi'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 14}, {'player': {'id': 27346, 'name': 'Petros Matheus dos Santos Araújo'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 2950, 'name': 'Jonas Martin'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 12789, 'name': 'Felipe Alejandro Gutiérrez Leiva'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 6880, 'name': 'Arnaldo Antonio Sanabria Ayala'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 6832, 'name': 'Rubén Castro Martín'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 24}]}",Real Betis,218,00:00:00.000,Starting XI,,2016/2017
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ed1b8e15-dc3b-433f-a214-8c53324daffb,3,,,267670,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['b64f0bff-1558-4b65-97e7-3b4a80b6c081'],0,,,,,,,,,,,,,,,,Real Betis,218,00:00:00.000,Half Start,,2016/2017
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b64f0bff-1558-4b65-97e7-3b4a80b6c081,4,,,267670,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['ed1b8e15-dc3b-433f-a214-8c53324daffb'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2016/2017
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1dc1dd67-db7e-4a43-a2d3-24e1f191d7c4,1740,,,267670,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,77,Barcelona,217,['2f1442f8-6e85-44d2-8567-da9c20b82844'],0,,,,,,,,,,,,,,,,Real Betis,218,00:00:00.000,Half Start,,2016/2017
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2f1442f8-6e85-44d2-8567-da9c20b82844,1741,,,267670,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,77,Barcelona,217,['1dc1dd67-db7e-4a43-a2d3-24e1f191d7c4'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2016/2017
,,,,,,,,,,,,,,,,1.409126,,,,,,,,,,,,,91f6446c-1df4-4de7-bcd6-970d498d6d21,5,,"[61.0, 40.1]",267670,0,,,,,-2.8269594,,Right Foot,,,,"[44.1, 34.6]",,Ground Pass,,17.772451,,,,Petros Matheus dos Santos Araújo,27346.0,,,,,,Kick Off,1,From Kick Off,Rubén Castro Martín,6832.0,Left Center Forward,2,Real Betis,218,['c515baf2-1d16-44d0-98c6-78e190c255b5'],2,,,,,,,,,,,,,,,,Real Betis,218,00:00:02.409,Pass,,2016/2017
,,,,,,,,,,,,,,,,1.166828,,,,,,,,,,,,,90e0b4fe-78ec-402f-8242-95b0bceb4436,8,,"[48.1, 68.2]",267670,0,,,,,-3.1068242,,Right Foot,,,,"[36.6, 67.8]",,Ground Pass,,11.506954,,,,Bruno González Cabrera,6872.0,,,,,,,1,From Kick Off,Petros Matheus dos Santos Araújo,27346.0,Center Defensive Midfield,2,Real Betis,218,['d57301a3-7595-4a8e-987b-97614613539d'],10,,,,,,,,,,,,,,,,Real Betis,218,00:00:10.516,Pass,,2016/2017
,,,,,,,,,,,,,,,,2.271133,,,,,,,,,,,,,7329d74d-46c2-4a48-a788-e178b91edfde,11,,"[35.1, 67.1]",267670,0,,,,,-1.7754382,,Right Foot,,,,"[30.7, 45.9]",,Ground Pass,,21.65179,,,,Aïssa Mandi,6648.0,,,,,,,1,From Kick Off,Bruno González Cabrera,6872.0,Right Center Back,2,Real Betis,218,['978a5c3b-a030-4e00-b8d0-3bc948a98a8a'],12,,,,,,,,,,,,,,,,Real Betis,218,00:00:12.099,Pass,,2016/2017
,,,,,,,,,,,,,,,,1.994618,,,,,,,,,,,,,a3dd0dfa-6eaf-4285-b7df-3b5883039a46,14,,"[30.9, 37.5]",267670,0,,,,,-1.5248517,,Right Foot,,,,"[31.7, 20.1]",,Ground Pass,,17.41838,,,,Germán Alejandro Pezzella,7161.0,,,,,,,1,From Kick Off,Aïssa Mandi,6648.0,Center Back,2,Real Betis,218,['3c51e5eb-53aa-4063-a458-2badda584d51'],15,,,,,,,,,,,,,,,,Real Betis,218,00:00:15.071,Pass,,2016/2017
