bad_behaviour_card,ball_receipt_outcome,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6671fa2c-bebe-4849-8131-8c53b18d9108,1,,,303377,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5492, 'name': 'Samuel Yves Umtiti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 8118, 'name': 'Frenkie de Jong'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 11392, 'name': 'Arthur Henrique Ramos de Oliveira Melo'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 30756, 'name': 'Anssumane Fati'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 31}, {'player': {'id': 5487, 'name': 'Antoine Griezmann'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 17}]}",Barcelona,217,00:00:00.000,Starting XI,,2019/2020
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d5251d01-165a-4edd-8ed2-f4e6d1ce60ca,2,,,303377,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 6722, 'name': 'David Soria Solís'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 3991, 'name': 'Allan Romeo Nyom'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 12}, {'player': {'id': 6634, 'name': 'Djené Dakonam Ortega'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 6788, 'name': 'Xabier Etxeita Gorritxategi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 16}, {'player': {'id': 7104, 'name': 'Mathías Olivera Miramontes'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 17}, {'player': {'id': 6863, 'name': 'Mauro Wilney Arambarri Rosa'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 6901, 'name': 'Nemanja Maksimović'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 5466, 'name': 'Oghenekaro Etebo'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 5}, {'player': {'id': 17620, 'name': 'Marc Cucurella Saseta'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 15}, {'player': {'id': 6630, 'name': 'Jorge Molina Vidal'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 19}, {'player': {'id': 11550, 'name': 'Jaime Mata Arnaiz'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 7}]}",Getafe,216,00:00:00.000,Starting XI,,2019/2020
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c72be893-3fa8-4112-a174-c793950ed35f,3,,,303377,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['0c6c8be3-00bc-4c5c-98af-fe1af7b51320'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2019/2020
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0c6c8be3-00bc-4c5c-98af-fe1af7b51320,4,,,303377,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['c72be893-3fa8-4112-a174-c793950ed35f'],0,,,,,,,,,,,,,,,,Getafe,216,00:00:00.000,Half Start,,2019/2020
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4b79704c-18e6-473f-96ec-c4e200135e4c,1796,,,303377,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,73,Barcelona,217,['7839e41d-e154-4295-a15d-c43af9ad313f'],0,,,,,,,,,,,,,,,,Getafe,216,00:00:00.000,Half Start,,2019/2020
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7839e41d-e154-4295-a15d-c43af9ad313f,1797,,,303377,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,73,Barcelona,217,['4b79704c-18e6-473f-96ec-c4e200135e4c'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2019/2020
,,,,,,,,,,,,,,,0.885091,,,,,,,,,,,,,2480883a-453e-4996-9df4-36ef1def5f73,5,,"[61.0, 40.1]",303377,0,,,,,-3.1250653,,Left Foot,,,,"[48.9, 39.9]",,Ground Pass,,12.101653,,,Sergio Busquets i Burgos,5203.0,,,,,Kick Off,1,From Kick Off,Antoine Griezmann,5487.0,Center Forward,2,Barcelona,217,['23bf453f-bfb4-4d91-bce8-309eb326b90d'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.229,Pass,,2019/2020
,,,,,,,,,,,,,,,1.183562,,,,,,,,,,,,,e6598323-2cbf-4b1f-92f1-c9904fc70a92,8,,"[52.4, 42.8]",303377,0,,,,,1.6178205,,Right Foot,,,,"[51.2, 68.3]",,Ground Pass,,25.52822,,,Sergi Roberto Carnicer,6379.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['c95af91b-2c35-4baa-a4ba-bf0eb7b4ab81'],3,,,,,,,,,,,,,,,,Barcelona,217,00:00:03.162,Pass,,2019/2020
,,,,,,,,,,,,,,,1.759225,,,,,,,,,,,,,e44c55cd-ac32-43f6-816d-229bd8d8771d,12,,"[50.4, 67.0]",303377,0,,,,,-2.4293969,,Right Foot,,,,"[34.3, 53.1]",,Ground Pass,,21.270166,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Sergi Roberto Carnicer,6379.0,Right Back,2,Barcelona,217,"['333b1075-a5a5-4554-bcbf-8b6e1fc542da', '44ee0265-e58e-4222-a70e-dcfd902d4961']",5,,,,,,,,,,,,,,,,Barcelona,217,00:00:05.996,Pass,True,2019/2020
,,,,,,,,,,,,,,,1.639276,,,,,,,,,,,,,43d32dc2-f57f-404b-aedc-ce4013bac9e1,15,,"[33.7, 51.8]",303377,0,,,,,-1.7259187,,Right Foot,,,,"[29.9, 27.5]",,Ground Pass,,24.595325,,,Samuel Yves Umtiti,5492.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['fdb4fce0-d0a6-4c1e-b897-0b9ded5e9468'],8,,,,,,,,,,,,,,,,Barcelona,217,00:00:08.285,Pass,,2019/2020
