ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,5c4966d5-1e26-455d-b85b-8fe05686e777,1,,,303400,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Valencia,207,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 6898, 'name': 'Jaume Doménech Sánchez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6797, 'name': 'Daniel Wass'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 18}, {'player': {'id': 6891, 'name': 'Ezequiel Marcelo Garay'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 24}, {'player': {'id': 6746, 'name': 'Gabriel Armando de Abreu'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 6596, 'name': 'José Luis Gayà Peña'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 14}, {'player': {'id': 6748, 'name': 'Ferrán Torres García'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 20}, {'player': {'id': 3437, 'name': 'Francis Joseph Coquelin'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 6589, 'name': 'Geoffrey Kondogbia'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 6583, 'name': 'Carlos Soler Barragán'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 8}, {'player': {'id': 6401, 'name': 'Kevin Gameiro'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 6297, 'name': 'Maximiliano Gómez González'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 22}]}",Valencia,207,00:00:00.000,Starting XI,,2019/2020
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,fa323f55-2b2c-4c2e-84e2-21efe0d60dca,2,,,303400,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Valencia,207,,0,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 20}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 3}, {'player': {'id': 5492, 'name': 'Samuel Yves Umtiti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 30756, 'name': 'Anssumane Fati'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 31}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 8118, 'name': 'Frenkie de Jong'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 11392, 'name': 'Arthur Henrique Ramos de Oliveira Melo'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 5487, 'name': 'Antoine Griezmann'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 17}]}",Barcelona,217,00:00:00.000,Starting XI,,2019/2020
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,fd3fd49d-6b8f-4aec-84c4-4bd39d01a9f1,3,,,303400,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Valencia,207,['06edf3af-cdc8-46c8-883d-cc20827d4be1'],0,,,,,,,,,,,,,,,,,Valencia,207,00:00:00.000,Half Start,,2019/2020
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,06edf3af-cdc8-46c8-883d-cc20827d4be1,4,,,303400,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Valencia,207,['fd3fd49d-6b8f-4aec-84c4-4bd39d01a9f1'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2019/2020
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,c6b1ddd3-910d-4539-b72f-a75214a94a9a,2284,,,303400,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,82,Valencia,207,['76b369a2-a44c-4cb7-a19d-63fa688ea5b1'],0,,,,,,,,,,,,,,,,,Valencia,207,00:00:00.000,Half Start,,2019/2020
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,76b369a2-a44c-4cb7-a19d-63fa688ea5b1,2285,,,303400,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,82,Valencia,207,['c6b1ddd3-910d-4539-b72f-a75214a94a9a'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2019/2020
,,,,,,,,,,,,,,,1.478993,,,,,,,,,,,,,,,c1d3347f-bfb3-41db-8890-36b8de09f447,5,,"[61.0, 40.1]",303400,0,,,,,2.9311624,,Left Foot,,,"[50.7, 42.3]",,Ground Pass,10.532331,,,,Sergio Busquets i Burgos,5203.0,,,,,Kick Off,1,From Kick Off,Antoine Griezmann,5487.0,Left Center Forward,2,Barcelona,217,['9e1629f4-ddc7-4eb1-b6e8-a774e8384899'],1,,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.144,Pass,,2019/2020
,,,,,,,,,,,,,,,0.905178,,,,,,,,,,,,,,,3868d86f-5d0f-462c-af29-4e65efb61f19,8,,"[50.1, 43.6]",303400,0,,,,,1.5707964,,Right Foot,,,"[50.1, 61.6]",,Ground Pass,18.0,,,,Frenkie de Jong,8118.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['dfddd2b1-df61-471a-b1a2-374aef3674ed'],3,,,,,,,,,,,,,,,,,Barcelona,217,00:00:03.527,Pass,,2019/2020
,,,,,,,,,,,,,,,1.207383,,,,,,,,,,,,,,,60698459-65ee-4af5-898d-e1e0b9ae2f95,12,,"[49.0, 63.1]",303400,0,,,,,3.1124039,,Right Foot,,,"[35.3, 63.5]",,Ground Pass,13.705838,,,,Sergi Roberto Carnicer,6379.0,,,,,,1,From Kick Off,Frenkie de Jong,8118.0,Right Center Midfield,2,Barcelona,217,"['abdfb8e1-d571-4c99-9f22-28ac35d97ed2', 'e9c9b9ac-a841-45a3-ab24-85cb8bdbccce']",4,,,,,,,,,,,,,,,,,Barcelona,217,00:00:04.907,Pass,True,2019/2020
,,,,,,,,,,,,,,,1.996487,,,,,,,,,,,,,,,fd16f052-0374-4948-8349-615bb2661030,15,,"[35.5, 63.5]",303400,0,,,,,-1.8561257,,Right Foot,,,"[28.9, 41.0]",,Ground Pass,23.448029,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Sergi Roberto Carnicer,6379.0,Right Center Back,2,Barcelona,217,['3f225c69-9c7f-4d65-af3a-48946d68be1a'],6,,,,,,,,,,,,,,,,,Barcelona,217,00:00:06.305,Pass,,2019/2020
,,,,,,,,,,,,,,,1.787097,,,,,,,,,,,,,,,df54a2cd-68a9-4f3b-b256-25794c880eb6,18,,"[28.9, 41.0]",303400,0,,,,,-1.5707964,,Right Foot,,,"[28.9, 9.2]",,Ground Pass,31.8,,,,Samuel Yves Umtiti,5492.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Center Back,2,Barcelona,217,['607003c9-0196-492c-a81c-04bd8610df53'],8,,,,,,,,,,,,,,,,,Barcelona,217,00:00:08.342,Pass,,2019/2020
,,,,,,,,,,,,,,,1.114357,,,,,,,,,,,,,,,23aeed66-62e0-4d28-b373-eacdfbd4de36,21,,"[28.9, 9.2]",303400,0,,,,,-0.3831766,,Right Foot,,,"[41.8, 4.0]",,Ground Pass,13.90863,,,,Jordi Alba Ramos,5211.0,,,,,,1,From Kick Off,Samuel Yves Umtiti,5492.0,Left Center Back,2,Barcelona,217,['e5557b42-46a0-460d-8a9f-615a5ba84106'],10,,,,,,,,,,,,,,,,,Barcelona,217,00:00:10.813,Pass,,2019/2020
,,,,,,,,,,,,,,,1.284068,,,,,,,,,,,,,,,b9ef87fd-31bc-4a59-8201-51a86be19cf8,23,,"[41.8, 4.0]",303400,0,,,,,2.5779755,,Left Foot,,,"[29.3, 11.9]",,Ground Pass,14.787157,,,,Samuel Yves Umtiti,5492.0,,,,,,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Wing Back,2,Barcelona,217,['7055b541-a0d7-4c79-9ad9-96b743ab5cfc'],11,,,,,,,,,,,,,,,,,Barcelona,217,00:00:11.927,Pass,,2019/2020
,,,,,,,,,,,,,,,1.592589,,,,,,,,,,,,,,,3d60b1d2-bdaf-412f-98f3-2ad16c26cfc0,26,,"[42.6, 15.1]",303400,0,,,,,2.5684195,,Left Foot,,,"[20.6, 29.3]",,Ground Pass,26.184729,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Samuel Yves Umtiti,5492.0,Left Center Back,2,Barcelona,217,['c61b6fbb-a429-4a9a-8109-9628bfb9f013'],20,,,,,,,,,,,,,,,,,Barcelona,217,00:00:20.276,Pass,,2019/2020
,,,,,,,,,,,,,,,1.68671,,,,,,,,,,,,,,,64a5622a-0550-4463-bf8f-fab86bec18e3,29,,"[22.5, 30.3]",303400,0,,,,,1.264485,,Right Foot,,,"[33.0, 63.5]",,Ground Pass,34.820827,,,,Sergi Roberto Carnicer,6379.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Center Back,2,Barcelona,217,['0dce885c-fefa-491a-a230-c59befed00a5'],23,,,,,,,,,,,,,,,,,Barcelona,217,00:00:23.376,Pass,,2019/2020
