bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_success_in_play,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,63db0f97-d340-4fd3-bafa-e62f341cc0af,1,,,303470,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Madrid,220,,0,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 3509, 'name': 'Thibaut Courtois'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 5721, 'name': 'Daniel Carvajal Ramos'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5485, 'name': 'Raphaël Varane'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 5201, 'name': 'Sergio Ramos García'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 5552, 'name': 'Marcelo Vieira da Silva Júnior'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 5539, 'name': 'Carlos Henrique Casimiro'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 6773, 'name': 'Federico Santiago Valverde Dipetta'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 15}, {'player': {'id': 4926, 'name': 'Francisco Román Alarcón Suárez'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 22}, {'player': {'id': 5574, 'name': 'Toni Kroos'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 18395, 'name': 'Vinícius José Paixão de Oliveira Júnior'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 25}, {'player': {'id': 19677, 'name': 'Karim Benzema'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Real Madrid,220,00:00:00.000,Starting XI,,2019/2020
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,35e4c279-bc39-4adc-9bf0-664b5f7a9b8e,2,,,303470,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Madrid,220,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6374, 'name': 'Nélson Cabral Semedo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5492, 'name': 'Samuel Yves Umtiti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 11392, 'name': 'Arthur Henrique Ramos de Oliveira Melo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 8206, 'name': 'Arturo Erasmo Vidal Pardo'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 22}, {'player': {'id': 8118, 'name': 'Frenkie de Jong'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 21}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 5487, 'name': 'Antoine Griezmann'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 17}]}",Barcelona,217,00:00:00.000,Starting XI,,2019/2020
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,37cf3ffe-8307-477c-b55d-49314fd7825a,3,,,303470,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Madrid,220,['24d62632-32d7-4f68-9f25-805bbb93ab97'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2019/2020
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,24d62632-32d7-4f68-9f25-805bbb93ab97,4,,,303470,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Madrid,220,['37cf3ffe-8307-477c-b55d-49314fd7825a'],0,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.000,Half Start,,2019/2020
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,1aaa4811-aed0-4063-b2ab-643de77452dd,2410,,,303470,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,121,Barcelona,217,['8e5ee530-3a5b-469f-a124-acd77adc4b24'],0,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.000,Half Start,,2019/2020
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,8e5ee530-3a5b-469f-a124-acd77adc4b24,2411,,,303470,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,121,Barcelona,217,['1aaa4811-aed0-4063-b2ab-643de77452dd'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2019/2020
,,,,,,,,,,,,,,,,,1.075663,,,,,,,,,,,,,,811f718e-b27f-4702-a63b-40a4979689b3,5,,"[60.0, 40.0]",303470,0,,,,,2.6662498,,Right Foot,,,,"[53.2, 43.5]",,Ground Pass,,7.6478753,,,,,Francisco Román Alarcón Suárez,4926.0,,,,,Kick Off,1,From Kick Off,Karim Benzema,19677.0,Center Forward,2,Real Madrid,220,['ffd041c9-5161-4fdc-9ed1-97414bac175c'],0,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.762,Pass,,2019/2020
,,,,,,,,,,,,,,,,,1.08748,,,,,,,,,,,,,,1d0862da-c554-423f-8bef-2c3319f83311,8,,"[53.3, 43.5]",303470,0,,,,,-2.3249547,,Right Foot,,,,"[47.1, 36.9]",,Ground Pass,,9.055386,,,,,Carlos Henrique Casimiro,5539.0,,,,,,1,From Kick Off,Francisco Román Alarcón Suárez,4926.0,Right Center Midfield,2,Real Madrid,220,['7da695ce-4c93-473f-be5e-2cc5e079dc30'],2,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:02.038,Pass,,2019/2020
,,,,,,,,,,,,,,,,,1.239594,,,,,,,,,,,,,,25d83624-e1ab-4b10-98e8-bc5d869ea4f6,11,,"[47.1, 36.9]",303470,0,,,,,-1.5707964,,Right Foot,,,,"[47.1, 31.0]",,Ground Pass,,5.9,,,,,Toni Kroos,5574.0,,,,,,1,From Kick Off,Carlos Henrique Casimiro,5539.0,Center Defensive Midfield,2,Real Madrid,220,['2bc727ed-c972-469f-9885-e7b76869e31e'],3,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:03.336,Pass,,2019/2020
,,,,,,,,,,,,,,,,,0.559996,,,,,,,,,,,,,,28bf5b39-87df-4791-9542-62d8e80d7d96,14,,"[47.1, 31.0]",303470,0,,,,,1.5216556,,Right Foot,,,,"[47.4, 37.1]",,Ground Pass,,6.1073728,,,,,Carlos Henrique Casimiro,5539.0,,,,,,1,From Kick Off,Toni Kroos,5574.0,Left Center Midfield,2,Real Madrid,220,['a818d165-6d95-4f27-bfc4-a07667dcc174'],4,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:04.584,Pass,,2019/2020
