50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,7b301987-e8f1-42c7-80c0-ffe8f2e8eafb,1,,,303473,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 11532, 'name': 'Jean-Clair Todibo'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 6374, 'name': 'Nélson Cabral Semedo'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 8118, 'name': 'Frenkie de Jong'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 8206, 'name': 'Arturo Erasmo Vidal Pardo'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 22}, {'player': {'id': 11392, 'name': 'Arthur Henrique Ramos de Oliveira Melo'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 5477, 'name': 'Ousmane Dembélé'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2019/2020
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,c8ab6406-f4b1-4882-86ee-d2a7076055eb,2,,,303473,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 11541, 'name': 'Tomáš Vaclík'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6821, 'name': 'Jesús Navas González'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 16}, {'player': {'id': 3366, 'name': 'Diego Carlos Santos Silva'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 20}, {'player': {'id': 6825, 'name': 'Daniel Filipe Martins Carriço'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 18620, 'name': 'Sergio Reguilón Rodríguez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 16003, 'name': 'Fernando Francisco Reges'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 25}, {'player': {'id': 5504, 'name': 'Éver Maximiliano David Banega'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 12021, 'name': 'Óliver Torres Muñoz'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 4345, 'name': 'Lucas Ariel Ocampos'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 5}, {'player': {'id': 6724, 'name': 'Manuel Agudo Durán'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 8}, {'player': {'id': 20033, 'name': 'Luuk de Jong'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Sevilla,213,00:00:00.000,Starting XI,,2019/2020
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,c685923f-9075-4360-907a-f24378d5d7e1,3,,,303473,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['ab5254fd-3c8d-4727-b2c7-bf1d782d1bbd'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2019/2020
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,ab5254fd-3c8d-4727-b2c7-bf1d782d1bbd,4,,,303473,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['c685923f-9075-4360-907a-f24378d5d7e1'],0,,,,,,,,,,,,,,,,,Sevilla,213,00:00:00.000,Half Start,,2019/2020
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,c3439aa3-1b2f-4da8-8f90-1ed466b769a6,1896,,,303473,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,89,Barcelona,217,['7c74c1cd-83a9-4b3e-884b-ed2ea5e0ae04'],0,,,,,,,,,,,,,,,,,Sevilla,213,00:00:00.000,Half Start,,2019/2020
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,7c74c1cd-83a9-4b3e-884b-ed2ea5e0ae04,1897,,,303473,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,89,Barcelona,217,['c3439aa3-1b2f-4da8-8f90-1ed466b769a6'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2019/2020
,,,,,,,,,,,,,,,,,1.222479,,,,,,,,,,,,49a8907a-af36-4748-a114-63ae5b32db52,5,,"[61.0, 40.1]",303473,0,,,,3.0297024,,Right Foot,,,,"[43.2, 42.1]",,Ground Pass,,17.912006,,,Fernando Francisco Reges,16003.0,,,,,Kick Off,1,From Kick Off,Luuk de Jong,20033.0,Center Forward,2,Sevilla,213,['3b7a4d0a-172a-4df0-b7e8-843467bb3fd0'],1,,,,,,,,,,,,,,,,,Sevilla,213,00:00:01.024,Pass,,2019/2020
,,,,,,,,,,,,,,,,,1.267634,,,,,,,,,,,,a9e2b1e6-4ef0-4568-b5b2-05b2e9739324,8,,"[45.3, 41.9]",303473,0,,,,1.5936495,,Left Foot,,,,"[44.9, 59.4]",,Ground Pass,,17.50457,,,Éver Maximiliano David Banega,5504.0,,,,,,1,From Kick Off,Fernando Francisco Reges,16003.0,Center Defensive Midfield,2,Sevilla,213,['a3abfe8f-f99f-49a7-b4d9-aaa5bb6697da'],3,,,,,,,,,,,,,,,,,Sevilla,213,00:00:03.015,Pass,,2019/2020
,,,,,,,,,,,,,,,,,1.526134,,,,,,,,,,,,5e67872b-b953-42d7-8478-9c3403c00c81,11,,"[44.9, 59.4]",303473,0,,,,-2.6658974,,Right Foot,,,,"[28.4, 50.9]",,Ground Pass,,18.56071,,,Diego Carlos Santos Silva,3366.0,,,,,,1,From Kick Off,Éver Maximiliano David Banega,5504.0,Right Center Midfield,2,Sevilla,213,['00d73183-f5fc-4dd4-bfde-3e5fa18bbbfd'],6,,,,,,,,,,,,,,,,,Sevilla,213,00:00:06.596,Pass,,2019/2020
,,,,,,,,,,,,,,,,,1.564731,,,,,,,,,,,,d0e688af-e8b6-4c81-a09c-171f749c5d1b,14,,"[29.1, 49.4]",303473,0,,,,-1.6221346,,Right Foot,,,,"[27.8, 24.1]",,Ground Pass,,25.333378,,,Daniel Filipe Martins Carriço,6825.0,,,,,,1,From Kick Off,Diego Carlos Santos Silva,3366.0,Right Center Back,2,Sevilla,213,['bdb3a3a8-5402-48f2-b20f-84c246886b3b'],9,,,,,,,,,,,,,,,,,Sevilla,213,00:00:09.257,Pass,,2019/2020
