50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,c1da157c-dac5-4cd6-8dd6-ca8e9e5eda9f,1,,,303487,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6374, 'name': 'Nélson Cabral Semedo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 5492, 'name': 'Samuel Yves Umtiti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 17304, 'name': 'Héctor Junior Firpo Adames'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 24}, {'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 8118, 'name': 'Frenkie de Jong'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 11392, 'name': 'Arthur Henrique Ramos de Oliveira Melo'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 30756, 'name': 'Anssumane Fati'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 31}, {'player': {'id': 5487, 'name': 'Antoine Griezmann'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 17}]}",Barcelona,217,00:00:00.000,Starting XI,,2019/2020
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,ede1f6c5-68f2-4856-a4fd-a861421a37ea,2,,,303487,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 6795, 'name': 'Rubén Blanco Veiga'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 16555, 'name': 'Joseph Aidoo'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 18}, {'player': {'id': 11388, 'name': 'Néstor Alejandro Araújo Razo'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 4}, {'player': {'id': 24730, 'name': 'Lucas René Olaza Catrofe'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 6805, 'name': 'Hugo Mallo Novegil'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 2}, {'player': {'id': 6776, 'name': 'David Juncà Reñé'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 17}, {'player': {'id': 11389, 'name': 'Francisco José Beltrán Peinado'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 6798, 'name': 'Stanislav Lobotka'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 4558, 'name': 'Pape Cheikh Diop Gueye'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 24}, {'player': {'id': 5217, 'name': 'Iago Aspas Juncal'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 5516, 'name': 'Pione Sisto Ifolo Emirmija'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 11}]}",Celta Vigo,209,00:00:00.000,Starting XI,,2019/2020
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,91abf8a7-efff-485b-8600-03fe5f379667,3,,,303487,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['e2c07ce3-7cf7-409b-8218-c02c30f210fa'],0,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:00.000,Half Start,,2019/2020
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,e2c07ce3-7cf7-409b-8218-c02c30f210fa,4,,,303487,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['91abf8a7-efff-485b-8600-03fe5f379667'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2019/2020
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,c2bd535a-59a5-40a3-aa25-ed96ee9b3fa1,1915,,,303487,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,87,Barcelona,217,['2b7059f1-9d93-4e49-b24c-fc23c6d6075d'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2019/2020
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,2b7059f1-9d93-4e49-b24c-fc23c6d6075d,1916,,,303487,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,87,Barcelona,217,['c2bd535a-59a5-40a3-aa25-ed96ee9b3fa1'],0,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:00.000,Half Start,,2019/2020
,,,,,,,,,,,,,,,,1.122578,,,,,,,,,,,,,,b5cc730b-7737-44fe-a979-64a8bb3bc130,5,,"[61.0, 40.1]",303487,0,,,,,2.0816724,,Left Foot,,,"[52.2, 55.8]",Ground Pass,,17.998055,,,,,Stanislav Lobotka,6798.0,,,,,,Kick Off,1,From Kick Off,Iago Aspas Juncal,5217.0,Right Center Forward,2,Celta Vigo,209,['cc99f09d-0580-4423-8c41-05d93f1c145c'],0,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:00.144,Pass,,2019/2020
,,,,,,,,,,,,,,,,0.630539,,,,,,,,,,,,,,ec275e2a-18ee-475b-804a-8d1e0a8529ed,8,,"[50.0, 53.0]",303487,0,,,,,-2.2001696,,Right Foot,,,"[42.5, 42.7]",Ground Pass,,12.741272,,,,,Francisco José Beltrán Peinado,11389.0,,,,,,,1,From Kick Off,Stanislav Lobotka,6798.0,Right Center Midfield,2,Celta Vigo,209,['544977e4-cb5b-467b-acc0-00a2128c47f6'],2,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:02.004,Pass,,2019/2020
,,,,,,,,,,,,,,,,1.728318,,,,,,,,,,,,,,a679eab2-0afc-4075-959c-11d2c05b5eac,11,,"[42.1, 46.4]",303487,0,,,,,2.1836166,,Right Foot,,,"[33.1, 59.2]",Ground Pass,,15.647364,,,,,Joseph Aidoo,16555.0,,,,,,,1,From Kick Off,Francisco José Beltrán Peinado,11389.0,Center Defensive Midfield,2,Celta Vigo,209,['78c0eea4-cd9a-4363-b419-e64aa59919c7'],3,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:03.773,Pass,,2019/2020
,,,,,,,,,,,,,,,,2.336754,,,,,,,,,,,,,,dff20388-abeb-4aa5-8307-c5fc8e62d1de,14,,"[38.5, 57.7]",303487,0,,,,,-1.8562306,,Right Foot,,,"[28.2, 22.6]",Ground Pass,,36.580048,,,,,Lucas René Olaza Catrofe,24730.0,,,,,,,1,From Kick Off,Joseph Aidoo,16555.0,Right Center Back,2,Celta Vigo,209,['615e8f44-3b7c-4f9f-a250-135c568d3e21'],6,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:06.627,Pass,,2019/2020
