50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0015881a-f9bd-4561-9f81-1c49bc396be1,1,,,303493,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6374, 'name': 'Nélson Cabral Semedo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 6826, 'name': 'Clément Lenglet'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 11392, 'name': 'Arthur Henrique Ramos de Oliveira Melo'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 8206, 'name': 'Arturo Erasmo Vidal Pardo'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 22}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 5487, 'name': 'Antoine Griezmann'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2019/2020
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,4b9ac8f4-c13e-49ad-b38a-721495d9e633,2,,,303493,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 11748, 'name': 'Unai Simón Mendibil'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6649, 'name': 'Óscar de Marcos Arana'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 18}, {'player': {'id': 6397, 'name': 'Unai Núñez Gestoso'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 6877, 'name': 'Yeray Álvarez López'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 6789, 'name': 'Mikel Balenziaga Oruesagasti'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 24}, {'player': {'id': 11746, 'name': 'Unai López Cabrera'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 6667, 'name': 'Mikel Vesga Arruti'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 6392, 'name': 'Íñigo Lekue Martínez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 15}, {'player': {'id': 30225, 'name': 'Oihan Sancet Tirapu'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 34}, {'player': {'id': 6387, 'name': 'Iñigo Córdoba Kerejeta'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 6393, 'name': 'Iñaki Williams Arthuer'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Athletic Club,215,00:00:00.000,Starting XI,,2019/2020
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,be6b34cb-c000-4456-9274-9cb0704b88ef,3,,,303493,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['e0bd11b4-75c8-4d2a-9cf7-e06e1f1c987b'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2019/2020
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,e0bd11b4-75c8-4d2a-9cf7-e06e1f1c987b,4,,,303493,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['be6b34cb-c000-4456-9274-9cb0704b88ef'],0,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:00.000,Half Start,,2019/2020
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,156db478-c6cf-4a52-9ae2-b403a071481c,2039,,,303493,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,100,Barcelona,217,['875e3084-d0b4-4d5e-aa18-2a96bcda79ff'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2019/2020
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,875e3084-d0b4-4d5e-aa18-2a96bcda79ff,2040,,,303493,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,100,Barcelona,217,['156db478-c6cf-4a52-9ae2-b403a071481c'],0,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:00.000,Half Start,,2019/2020
,,,,,,,,,,,,,,,,,,,2.085482,,,,,,,,,,,,0724e411-a58e-41eb-ad08-d81fb3e7bb9a,5,,"[61.0, 40.1]",303493,0,,True,,,-2.7154274,,Right Foot,,,,"[44.7, 32.7]",Ground Pass,,17.901117,,,,Yeray Álvarez López,6877.0,,,,,Kick Off,1,From Kick Off,Oihan Sancet Tirapu,30225.0,Center Attacking Midfield,2,Athletic Club,215,['6804b42e-9db9-4566-b3de-92a858071ec5'],0,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:00.479,Pass,,2019/2020
,,,,,,,,,,,,,,,,,,,2.694588,,,,,,,,,,,,2b6029ef-d976-431a-b38e-b334daa06033,7,,"[44.7, 33.1]",303493,0,,,,,0.9709873,,Right Foot,,,,"[75.2, 77.7]",High Pass,,54.031567,,,,Íñigo Lekue Martínez,6392.0,,True,,,,1,From Kick Off,Yeray Álvarez López,6877.0,Left Center Back,2,Athletic Club,215,['ce8d18ba-9d33-457f-a5f1-b9923e351484'],2,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:02.709,Pass,,2019/2020
,,,,,,,,,,,,,,,,,,,2.643765,,,,,,,,,,,,74bb5576-9ba9-42f6-b9c9-ce4965c0efed,9,,"[74.9, 78.1]",303493,0,,,,,-1.2303087,,Head,,,,"[81.1, 60.6]",High Pass,,18.565828,,Incomplete,,Oihan Sancet Tirapu,30225.0,,,,,,1,From Kick Off,Íñigo Lekue Martínez,6392.0,Right Wing,2,Athletic Club,215,"['3a0489fa-0168-47ca-931d-22bfffea97eb', 'fe80d8ae-f8a6-4837-9cfc-8ee752c699be']",5,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:05.444,Pass,,2019/2020
,,,,,,,,,,,,,,,,,,,1.63393,,,,,,,,,,,,fe80d8ae-f8a6-4837-9cfc-8ee752c699be,12,,"[39.0, 19.5]",303493,0,,,,,0.47761875,,Right Foot,,,,"[58.9, 29.8]",Low Pass,,22.407587,,,,Luis Alberto Suárez Díaz,5246.0,,,,,Recovery,1,Regular Play,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,3,Barcelona,217,"['14a61604-f7bd-4c1f-b907-5f87c70e4e37', '74bb5576-9ba9-42f6-b9c9-ce4965c0efed', 'a962d01d-d786-4c84-9c47-cc9597ee43c5']",8,,,,,,,,,,,,,,,,,Barcelona,217,00:00:08.088,Pass,True,2019/2020
