50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,9684e340-dd29-47a8-b93b-4014236b3093,1,,,303504,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Levante UD,221,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 23344, 'name': 'Aitor Fernández Abarisketa'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 11676, 'name': 'Jorge Miramón Santagertrudis'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 6682, 'name': 'Sergio Postigo Redondo'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 6592, 'name': 'Rúben Miguel Nunes Vezo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 23948, 'name': 'Carlos Clerc Martínez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 6796, 'name': 'Nemanja Radoja'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 11669, 'name': 'Gonzalo Julián Melero Manzanares'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 22}, {'player': {'id': 6688, 'name': 'José Ángel Gómez Campaña'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 24}, {'player': {'id': 6782, 'name': 'Enis Bardhi'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 6668, 'name': 'José Luis Morales Nogales'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 11}, {'player': {'id': 21147, 'name': 'Borja Mayoral Moya'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 21}]}",Levante UD,221,00:00:00.000,Starting XI,,2019/2020
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,7f287319-1b3f-4857-a2a1-8e08fae7067b,2,,,303504,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Levante UD,221,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 6826, 'name': 'Clément Lenglet'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 6374, 'name': 'Nélson Cabral Semedo'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 8118, 'name': 'Frenkie de Jong'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 8206, 'name': 'Arturo Erasmo Vidal Pardo'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 22}, {'player': {'id': 11392, 'name': 'Arthur Henrique Ramos de Oliveira Melo'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 5487, 'name': 'Antoine Griezmann'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2019/2020
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,4ae1ec0b-3ecf-469d-85db-2a02a0560ba9,3,,,303504,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Levante UD,221,['2d6cf46e-231a-4f0c-9d8d-19fd3fbf63d2'],0,,,,,,,,,,,,,,,,,Levante UD,221,00:00:00.000,Half Start,,2019/2020
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,2d6cf46e-231a-4f0c-9d8d-19fd3fbf63d2,4,,,303504,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Levante UD,221,['4ae1ec0b-3ecf-469d-85db-2a02a0560ba9'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2019/2020
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,f653b881-794e-41e6-adb8-79b402cc8071,1889,,,303504,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,88,Barcelona,217,['6d055ea0-c51e-43ce-9187-73c85dcd1598'],0,,,,,,,,,,,,,,,,,Levante UD,221,00:00:00.000,Half Start,,2019/2020
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,6d055ea0-c51e-43ce-9187-73c85dcd1598,1890,,,303504,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,88,Barcelona,217,['f653b881-794e-41e6-adb8-79b402cc8071'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2019/2020
,,,,,,,,,,,,,,,,,0.947555,,,,,,,,,,,,,,892254e8-aa09-421a-9e6b-c23def1390f8,5,,"[60.0, 40.0]",303504,0,,,,-3.1082716,,Right Foot,,,,"[51.0, 39.7]",,Ground Pass,,9.004998,,,Nemanja Radoja,6796.0,,,,,,Kick Off,1,From Kick Off,Enis Bardhi,6782.0,Left Midfield,2,Levante UD,221,['8a65fac5-034d-446b-9f86-675e995c4a2a'],0,,,,,,,,,,,,,,,,,Levante UD,221,00:00:00.617,Pass,,2019/2020
,,,,,,,,,,,,,,,,,1.475597,,,,,,,,,,,,,,be26aed8-f7ef-4446-a4a8-e71bf8c3f696,8,,"[48.5, 45.1]",303504,0,,,,1.9191186,,Right Foot,,,,"[42.0, 63.0]",,Ground Pass,,19.043634,,,Jorge Miramón Santagertrudis,11676.0,,,,,,,1,From Kick Off,Nemanja Radoja,6796.0,Right Defensive Midfield,2,Levante UD,221,['7dee648c-72fd-468f-b79a-1955f9c823a3'],3,,,,,,,,,,,,,,,,,Levante UD,221,00:00:03.288,Pass,,2019/2020
,,,,,,,,,,,,,,,,,0.50068,,,,,,,,,,,,,,175f622d-dd15-47b8-b87e-e84906b3b653,11,,"[42.7, 61.8]",303504,0,,,,-0.658268,,Right Foot,,,,"[50.2, 56.0]",,Ground Pass,,9.481033,,,José Ángel Gómez Campaña,6688.0,,,,,,,1,From Kick Off,Jorge Miramón Santagertrudis,11676.0,Right Back,2,Levante UD,221,['42083300-d018-4675-aeed-14d5923a2d4e'],5,,,,,,,,,,,,,,,,,Levante UD,221,00:00:05.589,Pass,,2019/2020
,,,,,,,,,,,,,,,,,0.907019,,,,,,,,,,,,,,2ea35a99-a23a-403e-b5f7-a68847fc9a81,14,,"[49.7, 67.5]",303504,0,,,,-0.008733402,,Right Foot,,,,"[72.6, 67.3]",,Low Pass,,22.900873,,,Borja Mayoral Moya,21147.0,,,,,,,1,From Kick Off,José Ángel Gómez Campaña,6688.0,Right Midfield,2,Levante UD,221,['c2a3abe0-174b-4001-8127-d20f283be024'],7,,,,,,,,,,,,,,,,,Levante UD,221,00:00:07.868,Pass,,2019/2020
