ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b2d99be6-06b0-47f3-a456-3f50af73219a,1,,,303524,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Atlético Madrid,212,,0,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 6378, 'name': 'Jan Oblak'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 3308, 'name': 'Kieran Trippier'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 11167, 'name': 'Felipe Augusto de Almeida Monteiro'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 18}, {'player': {'id': 6790, 'name': 'Mario Hermoso Canseco'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 22}, {'player': {'id': 6381, 'name': 'Saúl Ñíguez Esclapez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 8}, {'player': {'id': 6377, 'name': 'Ángel Martín Correa'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 10}, {'player': {'id': 5575, 'name': 'Héctor Miguel Herrera López'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 6383, 'name': 'Thomas Teye Partey'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 5}, {'player': {'id': 5199, 'name': 'Jorge Resurrección Merodio'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 6}, {'player': {'id': 3477, 'name': 'Álvaro Borja Morata Martín'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 12041, 'name': 'João Félix Sequeira'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 7}]}",Atlético Madrid,212,00:00:00.000,Starting XI,,2019/2020
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4e2dcb1c-6012-4d4b-809e-48ba69b14e52,2,,,303524,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Atlético Madrid,212,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 6826, 'name': 'Clément Lenglet'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 17304, 'name': 'Héctor Junior Firpo Adames'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 24}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 11392, 'name': 'Arthur Henrique Ramos de Oliveira Melo'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 8118, 'name': 'Frenkie de Jong'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 5487, 'name': 'Antoine Griezmann'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2019/2020
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,643402f8-ff5f-491f-a260-230bccc195a5,3,,,303524,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Atlético Madrid,212,['4dc4998f-4503-48a6-b5c2-07166e6e51cd'],0,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:00.000,Half Start,,2019/2020
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4dc4998f-4503-48a6-b5c2-07166e6e51cd,4,,,303524,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Atlético Madrid,212,['643402f8-ff5f-491f-a260-230bccc195a5'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2019/2020
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0d7c1e6a-fa78-4b2e-99fb-91372daf0eb3,1991,,,303524,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,87,Barcelona,217,['8880ac9a-efba-4252-891f-549adc1758d2'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2019/2020
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8880ac9a-efba-4252-891f-549adc1758d2,1992,,,303524,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,87,Barcelona,217,['0d7c1e6a-fa78-4b2e-99fb-91372daf0eb3'],0,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:00.000,Half Start,,2019/2020
,,,,,,,,,,,,,,,,,0.979512,,,,,,,,,,,,,ffa40503-c7e9-45de-a2c9-b7ccf00a0345,5,,"[60.0, 40.0]",303524,0,,,,,-3.1158252,,Right Foot,,,,"[40.6, 39.5]",,Ground Pass,,19.406443,,,,Thomas Teye Partey,6383.0,,,,,Kick Off,1,From Kick Off,Héctor Miguel Herrera López,5575.0,Right Center Midfield,2,Atlético Madrid,212,['951c3f3e-9020-42a4-b188-cbb029e7f748'],0,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:00.080,Pass,,2019/2020
,,,,,,,,,,,,,,,,,3.23302,,,,,,,,,,,,,485d5214-4198-47c9-8c5a-709dfabdaca9,8,,"[44.7, 39.5]",303524,0,,,,,-0.61710775,,Right Foot,,,,"[96.0, 3.1]",,High Pass,,62.90191,,Incomplete,,Saúl Ñíguez Esclapez,6381.0,,,,,,1,From Kick Off,Thomas Teye Partey,6383.0,Left Center Midfield,2,Atlético Madrid,212,"['00406710-acc9-4d67-add3-bf5ced628df2', 'e536c49b-0234-4e55-b53a-8c17c3bee5c9']",2,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:02.785,Pass,,2019/2020
,,,,,,,,,,,,,,,,,1.518032,,,,,,,,,,,,,00406710-acc9-4d67-add3-bf5ced628df2,11,,"[24.1, 77.0]",303524,0,,,,True,-0.7076332,,,,,,"[32.4, 69.9]",,High Pass,,10.922454,,,,Arthur Henrique Ramos de Oliveira Melo,11392.0,,,,,Recovery,1,From Kick Off,Sergi Roberto Carnicer,6379.0,Right Back,2,Atlético Madrid,212,"['4503f1c1-2f25-48c3-b9f6-517b31371fbf', '485d5214-4198-47c9-8c5a-709dfabdaca9', 'c475838e-2f35-4a44-a20c-1c97a772ea36']",6,,,,,,,,,,,,,,,,Barcelona,217,00:00:06.018,Pass,True,2019/2020
,,,,,,,,,,,,,,,,,1.336331,,,,,,,,,,,,,a93313f3-1759-45f0-8aec-fd150363ce93,13,,"[31.6, 69.4]",303524,0,,,,,-0.39852244,,Head,,,,"[39.2, 66.2]",,Low Pass,,8.246211,,Incomplete,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,From Kick Off,Arthur Henrique Ramos de Oliveira Melo,11392.0,Right Center Midfield,2,Atlético Madrid,212,"['6a333d19-7e30-4002-90fd-cdd5f7ae4f95', '95f884be-a05a-4f0a-973a-d1c0ef33cbc0']",7,,,,,,,,,,,,,,,,Barcelona,217,00:00:07.616,Pass,,2019/2020
