50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,34ff56cb-1521-4daa-9b82-bc27c9d0732a,1,,,,303548,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Mallorca,1043,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 24083, 'name': 'Manuel Reina Rodríguez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 24613, 'name': 'Alejandro Pozo Pozo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 7}, {'player': {'id': 24084, 'name': 'Martin Valjent'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 24}, {'player': {'id': 24086, 'name': 'Antonio José Raillo Arenas'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 21}, {'player': {'id': 24089, 'name': 'Joan Sastre Vanrell'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 24269, 'name': 'Marc Pedraza Sarto'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 24072, 'name': 'Salvador Sevilla López'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 31090, 'name': 'Takefusa Kubo'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 26}, {'player': {'id': 24088, 'name': 'Daniel José Rodríguez Vázquez'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 14}, {'player': {'id': 11671, 'name': 'Juan Camilo Hernández Suárez'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 29}, {'player': {'id': 8654, 'name': 'Ante Budimir'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 22}]}",Mallorca,1043,00:00:00.000,Starting XI,,2019/2020
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8f1141b2-c153-4f8a-8e8a-06dc2b28e267,2,,,,303548,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Mallorca,1043,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 32480, 'name': 'Ronald Federico Araújo da Silva'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 33}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 8206, 'name': 'Arturo Erasmo Vidal Pardo'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 22}, {'player': {'id': 8118, 'name': 'Frenkie de Jong'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 4447, 'name': 'Martin Braithwaite Christensen'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 19}, {'player': {'id': 5487, 'name': 'Antoine Griezmann'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 17}]}",Barcelona,217,00:00:00.000,Starting XI,,2019/2020
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a97a5481-4321-4b89-be6d-9592434eda22,3,,,,303548,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Mallorca,1043,['920ad032-ea4d-4b03-a3f6-033a44f65158'],0,,,,,,,,,,,,,,,,,,Mallorca,1043,00:00:00.000,Half Start,,2019/2020
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,920ad032-ea4d-4b03-a3f6-033a44f65158,4,,,,303548,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Mallorca,1043,['a97a5481-4321-4b89-be6d-9592434eda22'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2019/2020
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a6ff03be-c3bb-47a3-a1ea-a04ab866a9c4,2031,,,,303548,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,82,Barcelona,217,['52f9df6e-4c95-40ec-93aa-e324c06be740'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2019/2020
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,52f9df6e-4c95-40ec-93aa-e324c06be740,2032,,,,303548,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,82,Barcelona,217,['a6ff03be-c3bb-47a3-a1ea-a04ab866a9c4'],0,,,,,,,,,,,,,,,,,,Mallorca,1043,00:00:00.000,Half Start,,2019/2020
,,,,,,,,,,,,,,,,0.975777,,,,,,,,,,,,,7eadb70b-59e8-4a32-b5ee-7fd2dd603139,5,,,"[60.0, 40.0]",303548,0,,,,,-3.1002939,,Left Foot,,,"[47.9, 39.5]",,Ground Pass,,12.110326,,,,Sergio Busquets i Burgos,5203.0,,,,,Kick Off,1,From Kick Off,Antoine Griezmann,5487.0,Center Forward,2,Barcelona,217,['6efe8343-687f-49e4-ab67-cdfdea48ba7c'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.479,Pass,,2019/2020
,,,,,,,,,,,,,,,,1.45343,,,,,,,,,,,,,0a7a2fbf-eec2-4430-959a-3b567d974bd6,8,,,"[53.8, 40.7]",303548,0,,,,,-2.1086874,,Right Foot,,,"[39.9, 17.4]",,Ground Pass,,27.131163,,,,Ronald Federico Araújo da Silva,32480.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['f3551c64-6ab2-4824-b361-2ae8b4b36d89'],3,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:03.610,Pass,,2019/2020
,,,,,,,,,,,,,,,,1.434617,,,,,,,,,,,,,07e6aa61-e1b8-442d-bc16-81bd1643c9cd,11,,,"[39.9, 15.8]",303548,0,,,,,-0.82067764,,Right Foot,,,"[48.1, 7.0]",,Ground Pass,,12.0283,,,,Jordi Alba Ramos,5211.0,,,,,,1,From Kick Off,Ronald Federico Araújo da Silva,32480.0,Left Center Back,2,Barcelona,217,['781b43ea-17b5-46a2-bcdb-092d879c85d8'],6,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:06.807,Pass,,2019/2020
,,,,,,,,,,,,,,,,1.399825,,,,,,,,,,,,,415fd1e7-c216-4202-8814-92d2bc0a3b6d,14,,,"[48.1, 7.7]",303548,0,,,,,1.294469,,Left Foot,,,"[53.8, 27.8]",,Ground Pass,,20.892582,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Back,2,Barcelona,217,['20074b2f-9f91-4ce1-870e-6940dd2e40a0'],8,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:08.646,Pass,,2019/2020
