50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,b78a40c7-b389-424d-ace1-9d626f4f0d4e,1,,,303596,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6374, 'name': 'Nélson Cabral Semedo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 6826, 'name': 'Clément Lenglet'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 8118, 'name': 'Frenkie de Jong'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 5487, 'name': 'Antoine Griezmann'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2019/2020
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,07a3ee14-8122-4cfa-90cc-c7e6a5476ab3,2,,,303596,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 3509, 'name': 'Thibaut Courtois'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 5721, 'name': 'Daniel Carvajal Ramos'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5485, 'name': 'Raphaël Varane'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 5201, 'name': 'Sergio Ramos García'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 3804, 'name': 'Ferland Mendy'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 5539, 'name': 'Carlos Henrique Casimiro'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 6773, 'name': 'Federico Santiago Valverde Dipetta'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 5574, 'name': 'Toni Kroos'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 4926, 'name': 'Francisco Román Alarcón Suárez'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 22}, {'player': {'id': 6399, 'name': 'Gareth Frank Bale'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 11}, {'player': {'id': 19677, 'name': 'Karim Benzema'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Real Madrid,220,00:00:00.000,Starting XI,,2019/2020
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0cf31b9d-6426-4ff5-8fda-3c2a32360c4b,3,,,303596,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['6744a050-b332-46a6-ba10-a3b71e07fa7a'],0,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.000,Half Start,,2019/2020
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,6744a050-b332-46a6-ba10-a3b71e07fa7a,4,,,303596,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['0cf31b9d-6426-4ff5-8fda-3c2a32360c4b'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2019/2020
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,8bd5978e-5036-49d6-ad03-865cd08f3aab,2067,,,303596,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,105,Barcelona,217,['39d4839d-5ba4-4034-ac4b-3b977f9c8499'],0,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.000,Half Start,,2019/2020
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,39d4839d-5ba4-4034-ac4b-3b977f9c8499,2068,,,303596,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,105,Barcelona,217,['8bd5978e-5036-49d6-ad03-865cd08f3aab'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2019/2020
,,,,,,,,,,,,,,,,1.532978,,,,,,,,,,,,e4422312-0438-4b6a-bc07-873768c96460,5,,"[61.0, 40.1]",303596,0,,,,,-3.1356046,,Right Foot,,,"[44.3, 40.0]",Ground Pass,,16.7003,,,,Carlos Henrique Casimiro,5539.0,,,,,Kick Off,1,From Kick Off,Karim Benzema,19677.0,Left Center Forward,2,Real Madrid,220,['5cf19c88-5a21-4d07-b201-043053d5562f'],0,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.440,Pass,,2019/2020
,,,,,,,,,,,,,,,,0.666245,,,,,,,,,,,,fcd3ef3e-0a24-4337-b9d1-23c72e85dce4,8,,"[43.5, 41.2]",303596,0,,,,,-1.0863184,,Left Foot,,,"[46.5, 35.5]",Ground Pass,,6.441273,,,,Toni Kroos,5574.0,,,,,,1,From Kick Off,Carlos Henrique Casimiro,5539.0,Center Defensive Midfield,2,Real Madrid,220,['a35515ca-b9d6-4b5e-b89c-c4e18f5dc915'],2,,,,,,,,,,,,,,,,Real Madrid,220,00:00:02.273,Pass,,2019/2020
,,,,,,,,,,,,,,,,0.758256,,,,,,,,,,,,e02765f6-f42b-4dca-82f8-8066777566e2,11,,"[45.4, 33.1]",303596,0,,,,,0.1367557,,Right Foot,,,"[56.3, 34.6]",Ground Pass,,11.002727,,,,Francisco Román Alarcón Suárez,4926.0,,,,,,1,From Kick Off,Toni Kroos,5574.0,Left Center Midfield,2,Real Madrid,220,['a3269e3d-a2db-4322-b16e-7b582fa0416e'],3,,,,,,,,,,,,,,,,Real Madrid,220,00:00:03.832,Pass,,2019/2020
,,,,,,,,,,,,,,,,0.781851,,,,,,,,,,,,ebe46ce9-1c00-4b98-8dfe-5f41f3bc606d,14,,"[56.1, 34.6]",303596,0,,,,,-3.0453992,,Left Foot,,,"[44.7, 33.5]",Ground Pass,,11.452948,,,,Toni Kroos,5574.0,,,,,,1,From Kick Off,Francisco Román Alarcón Suárez,4926.0,Center Attacking Midfield,2,Real Madrid,220,['783989f2-8d82-40b0-83ed-ac090d033bf0'],4,,,,,,,,,,,,,,,,Real Madrid,220,00:00:04.628,Pass,,2019/2020
