bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,158618b4-b594-408f-9071-f128b3b16ed5,1,,,303634,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6374, 'name': 'Nélson Cabral Semedo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 6826, 'name': 'Clément Lenglet'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 17304, 'name': 'Héctor Junior Firpo Adames'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 24}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 24841, 'name': 'Ricard Puig Martí'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 28}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 30756, 'name': 'Anssumane Fati'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 31}, {'player': {'id': 4447, 'name': 'Martin Braithwaite Christensen'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Barcelona,217,00:00:00.000,Starting XI,,2019/2020
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,c048732e-6899-4b6b-b9d9-b0ad923a91f6,2,,,303634,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 24211, 'name': 'Sergio Herrera Pirón'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 24212, 'name': 'Aridane Hernández Umpiérrez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 6693, 'name': 'Raúl Rodríguez Navas'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 3}, {'player': {'id': 23950, 'name': 'David García Zubiría'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 6591, 'name': 'Ignacio Vidal Miralles'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 2}, {'player': {'id': 24085, 'name': 'Pervis Josué Estupiñán Tenorio'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 30}, {'player': {'id': 30277, 'name': 'Jon Moncayola Tollar'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 27}, {'player': {'id': 6604, 'name': 'Darko Brašanac'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 23945, 'name': 'Iñigo Pérez Soto'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 6810, 'name': 'José Manuel Arnáiz Díaz'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 16}, {'player': {'id': 6735, 'name': 'Adrián López Álvarez'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 22}]}",Osasuna,422,00:00:00.000,Starting XI,,2019/2020
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,b82e6925-f3ef-4b62-a4b0-c93f53d854ce,3,,,303634,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['2345091c-f29a-452b-8ec1-a78da586811e'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2019/2020
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2345091c-f29a-452b-8ec1-a78da586811e,4,,,303634,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['b82e6925-f3ef-4b62-a4b0-c93f53d854ce'],0,,,,,,,,,,,,,,,,Osasuna,422,00:00:00.000,Half Start,,2019/2020
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,3eaf3c8a-d3f0-4901-b1ea-dd11c69eb3d0,1890,,,303634,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,105,Barcelona,217,['c2ff0bf8-f289-457e-888d-e4241a0c172b'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2019/2020
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,c2ff0bf8-f289-457e-888d-e4241a0c172b,1891,,,303634,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,105,Barcelona,217,['3eaf3c8a-d3f0-4901-b1ea-dd11c69eb3d0'],0,,,,,,,,,,,,,,,,Osasuna,422,00:00:00.000,Half Start,,2019/2020
,,,,,,,,,,,,,,,,,,2.135728,,,,,,,,,,,,ca291780-57c0-4335-95dd-3a7ae97816b3,5,,"[61.0, 40.1]",303634,0,,,,,-2.4363794,,Right Foot,,,,"[36.8, 19.5]",,Ground Pass,,31.780497,,,,,David García Zubiría,23950.0,,,,,Kick Off,1,From Kick Off,José Manuel Arnáiz Díaz,6810.0,Right Center Forward,2,Osasuna,422,['a7d3e3f2-4c74-44fa-b358-0153dc905974'],0,,,,,,,,,,,,,,,,Osasuna,422,00:00:00.800,Pass,,2019/2020
,,,,,,,,,,,,,,,,,,1.68445,,,,,,,,,,,,00562190-562d-48f8-bb49-ed6fc830c447,8,,"[40.5, 24.2]",303634,0,,,,,1.9773631,,Left Foot,,,,"[34.3, 38.6]",,Ground Pass,,15.67801,,,,,Raúl Rodríguez Navas,6693.0,,,,,,1,From Kick Off,David García Zubiría,23950.0,Left Center Back,2,Osasuna,422,['af51bd8b-023f-48da-ab81-c680464b293a'],4,,,,,,,,,,,,,,,,Osasuna,422,00:00:04.868,Pass,,2019/2020
,,,,,,,,,,,,,,,,,,1.119403,,,,,,,,,,,,58676dda-b7be-4f85-bebe-10e07f9db635,11,,"[32.2, 40.5]",303634,0,,,,,1.6549345,,Right Foot,,,,"[30.8, 57.1]",,Ground Pass,,16.658932,,,,,Aridane Hernández Umpiérrez,24212.0,,,,,,1,From Kick Off,Raúl Rodríguez Navas,6693.0,Center Back,2,Osasuna,422,['78b879b6-198b-4392-b4b5-164e7eda38d6'],7,,,,,,,,,,,,,,,,Osasuna,422,00:00:07.545,Pass,,2019/2020
,,,,,,,,,,,,,,,,,,3.073767,,,,,,,,,,,,eaf46246-3946-4090-a772-73622514577f,14,,"[37.1, 68.5]",303634,0,,,,,-0.33411255,,Right Foot,,,,"[80.6, 53.4]",,High Pass,,46.04628,,,,,Adrián López Álvarez,6735.0,,,,,,1,From Kick Off,Aridane Hernández Umpiérrez,24212.0,Right Center Back,2,Osasuna,422,['3b136682-5606-4a5a-aae9-81f7f76bf104'],11,,,,,,,,,,,,,,,,Osasuna,422,00:00:11.682,Pass,,2019/2020
