ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c5d3e4fe-2816-407d-a111-a7f2db9fc676,1,,,,303652,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Espanyol,214,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 6768, 'name': 'Diego López Rodríguez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6791, 'name': 'Javier López Rodríguez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 16}, {'player': {'id': 6769, 'name': 'Edinaldo Gomes Pereira'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 6573, 'name': 'Bernardo José Espinosa Zúñiga'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 20}, {'player': {'id': 6886, 'name': 'Dídac Vilá Rosselló'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 17}, {'player': {'id': 6754, 'name': 'David López Silva'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 6866, 'name': 'Marc Roca Junqué'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 32670, 'name': 'Víctor Gómez Perea'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 34}, {'player': {'id': 6902, 'name': 'Óscar Melendo Jiménez'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 14}, {'player': {'id': 6930, 'name': 'Jonathan Calleri'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 12}, {'player': {'id': 3236, 'name': 'Sergi Darder Moll'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 10}]}",Espanyol,214,00:00:00.000,Starting XI,,2019/2020
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ce6e38f2-c6f9-490f-87a5-9d30edc42df3,2,,,,303652,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Espanyol,214,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 6590, 'name': 'Norberto Murara Neto'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 6826, 'name': 'Clément Lenglet'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 8118, 'name': 'Frenkie de Jong'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 5487, 'name': 'Antoine Griezmann'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2019/2020
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9296d2af-0a18-4655-9b4c-0af9e8f27374,3,,,,303652,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Espanyol,214,['5b04e5b4-927a-48c9-b708-28ab3dd342ce'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2019/2020
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5b04e5b4-927a-48c9-b708-28ab3dd342ce,4,,,,303652,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Espanyol,214,['9296d2af-0a18-4655-9b4c-0af9e8f27374'],0,,,,,,,,,,,,,,,,,,Espanyol,214,00:00:00.000,Half Start,,2019/2020
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,611f7642-ab0b-441f-ba84-84dbedbbaf7a,1947,,,,303652,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,70,Barcelona,217,['349905d6-497b-4f04-85e4-be50cfc0371c'],0,,,,,,,,,,,,,,,,,,Espanyol,214,00:00:00.000,Half Start,,2019/2020
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,349905d6-497b-4f04-85e4-be50cfc0371c,1948,,,,303652,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,70,Barcelona,217,['611f7642-ab0b-441f-ba84-84dbedbbaf7a'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2019/2020
,,,,,,,,,,,,,,,,1.027294,,,,,,,,,,,,,c87fa80b-2ef2-42e7-b436-9d93eaf115dc,5,,,"[60.0, 40.0]",303652,0,,,,,-2.898626,,Right Foot,,,,"[48.3, 37.1]",,Ground Pass,,12.054045,,,,Sergio Busquets i Burgos,5203.0,,,,,Kick Off,1,From Kick Off,Luis Alberto Suárez Díaz,5246.0,Center Forward,2,Barcelona,217,['5a6b2665-85d3-4c62-8b25-193c016577c4'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.423,Pass,,2019/2020
,,,,,,,,,,,,,,,,1.768415,,,,,,,,,,,,,875b69fe-fa8e-4a9c-b3e7-707f113522a6,8,,,"[47.9, 37.3]",303652,0,,,,,1.5784885,,Right Foot,,,,"[47.7, 63.3]",,Ground Pass,,26.000769,,,,Ivan Rakitić,5470.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['ba7a76df-23cc-4be2-9773-1b7307ed92b6'],1,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.722,Pass,,2019/2020
,,,,,,,,,,,,,,,,1.304717,,,,,,,,,,,,,620102b0-b2ff-4bed-aade-d04bc9f9a803,11,,,"[49.3, 66.5]",303652,0,,,,,0.8023457,,Right Foot,,,,"[58.0, 75.5]",,Ground Pass,,12.517588,,,,Sergi Roberto Carnicer,6379.0,,,,,,1,From Kick Off,Ivan Rakitić,5470.0,Right Center Midfield,2,Barcelona,217,['78fcc6de-b47e-4b2b-b55c-046057b20068'],4,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:04.501,Pass,,2019/2020
,,,,,,,,,,,,,,,,2.652298,,,,,,,,,,,,,c97b38eb-608f-4d5f-8487-f12cf81bbcf2,14,,,"[49.8, 71.9]",303652,0,,,,,-2.697462,,Right Foot,,,,"[22.9, 59.1]",,Ground Pass,,29.790098,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Sergi Roberto Carnicer,6379.0,Right Back,2,Barcelona,217,['782ea292-c61b-43f6-977f-ccaecd70c334'],8,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:08.095,Pass,,2019/2020
