50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b26e15e1-ffdd-482f-9dce-3ccb87fc8d89,1,,,303680,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Valladolid,901,,0,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 11302, 'name': 'Jordi Masip López'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 11297, 'name': 'Javier Moyano Lujano'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 17}, {'player': {'id': 11304, 'name': 'Francisco José Olivas Alba'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 21225, 'name': 'Javier Sánchez de Felipe'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 6601, 'name': 'Raúl García Carnero'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 6}, {'player': {'id': 22020, 'name': 'Joaquín Fernández Moreno'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 24141, 'name': 'Federico San Emeterio Díaz'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 11300, 'name': 'Rubén Alcaraz Jiménez'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 40881, 'name': 'Enrique Pérez Muñoz'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 28}, {'player': {'id': 17027, 'name': 'Sergio Guardiola Navarro'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 7}, {'player': {'id': 11296, 'name': 'Óscar Plano Pedreño'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 10}]}",Real Valladolid,901,00:00:00.000,Starting XI,,2019/2020
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,eaacb458-bdab-4f88-ad35-789a55db2e43,2,,,303680,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Valladolid,901,,0,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6374, 'name': 'Nélson Cabral Semedo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 6826, 'name': 'Clément Lenglet'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 24841, 'name': 'Ricard Puig Martí'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 28}, {'player': {'id': 8206, 'name': 'Arturo Erasmo Vidal Pardo'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 22}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 5487, 'name': 'Antoine Griezmann'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 17}]}",Barcelona,217,00:00:00.000,Starting XI,,2019/2020
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,bad87d97-c9ab-4600-9c8b-606b96abdb17,3,,,303680,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Valladolid,901,['60c89801-5204-48ad-b95b-2101738257de'],0,,,,,,,,,,,,,,,,,Real Valladolid,901,00:00:00.000,Half Start,,2019/2020
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,60c89801-5204-48ad-b95b-2101738257de,4,,,303680,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Valladolid,901,['bad87d97-c9ab-4600-9c8b-606b96abdb17'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2019/2020
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2ea4a140-41c8-4279-87e8-564256e75624,2000,,,303680,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,83,Real Valladolid,901,['44073d6e-adf1-463e-9987-0d660a9be4ae'],0,,,,,,,,,,,,,,,,,Real Valladolid,901,00:00:00.000,Half Start,,2019/2020
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,44073d6e-adf1-463e-9987-0d660a9be4ae,2001,,,303680,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,83,Real Valladolid,901,['2ea4a140-41c8-4279-87e8-564256e75624'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2019/2020
,,,,,,,,,,,,,,,,,,1.045875,,,,,,,,,,,,,01467d95-ff49-4ba5-a689-7feff4a4cdee,5,,"[61.0, 40.1]",303680,0,,,,-2.7996428,,Left Foot,,,,"[49.2, 35.9]",,Ground Pass,,12.525175,,,,,Sergio Busquets i Burgos,5203.0,,,,,Kick Off,1,From Kick Off,Antoine Griezmann,5487.0,Left Center Forward,2,Barcelona,217,['99b06e9f-83c8-45f3-b50b-eafa00adf8e5'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.483,Pass,,2019/2020
,,,,,,,,,,,,,,,,,,0.699289,,,,,,,,,,,,,48ad3d33-3ff2-4da9-b04f-b2f3882bc749,7,,"[49.2, 35.7]",303680,0,,,,1.4704633,,Right Foot,,,,"[50.7, 50.6]",,Ground Pass,,14.975313,,,,,Arturo Erasmo Vidal Pardo,8206.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['93834af7-d0d2-4b76-abfc-8a17394d1bae'],1,,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.529,Pass,,2019/2020
,,,,,,,,,,,,,,,,,,1.30193,,,,,,,,,,,,,4661f027-13df-4950-aa7f-e20ecc5f6df2,10,,"[50.3, 51.7]",303680,0,,,,1.2940823,,Right Foot,,,,"[57.4, 76.7]",,Ground Pass,,25.988651,,,,,Nélson Cabral Semedo,6374.0,,,,,,1,From Kick Off,Arturo Erasmo Vidal Pardo,8206.0,Center Attacking Midfield,2,Barcelona,217,['d7b0af13-05d9-4aa1-9cfc-82ffe05dad98'],3,,,,,,,,,,,,,,,,,Barcelona,217,00:00:03.491,Pass,,2019/2020
,,,,,,,,,,,,,,,,,,0.64,,,,,,,,,,,,,ed00a28b-0733-4847-a7ea-a7dc2eea195a,13,,"[57.4, 76.7]",303680,0,,,,-2.720602,,Right Foot,,,,"[50.7, 73.7]",,Ground Pass,,7.340981,,,,,Sergi Roberto Carnicer,6379.0,,,,,,1,From Kick Off,Nélson Cabral Semedo,6374.0,Right Back,2,Barcelona,217,['8f36f570-1468-43ef-a766-ca2742bbec7e'],5,,,,,,,,,,,,,,,,,Barcelona,217,00:00:05.728,Pass,,2019/2020
