bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,3446ccfd-1398-4590-9698-e95409f7609f,1,,,303696,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6374, 'name': 'Nélson Cabral Semedo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 6826, 'name': 'Clément Lenglet'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 8206, 'name': 'Arturo Erasmo Vidal Pardo'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 22}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 24841, 'name': 'Ricard Puig Martí'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 28}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2019/2020
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,a0f123fa-13da-412e-b9d8-69d35a777306,2,,,303696,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 6378, 'name': 'Jan Oblak'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 5696, 'name': 'Santiago Arias Naranjo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 4}, {'player': {'id': 5259, 'name': 'José María Giménez de Vargas'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 11167, 'name': 'Felipe Augusto de Almeida Monteiro'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 18}, {'player': {'id': 26532, 'name': 'Renan Augusto Lodi dos Santos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 6383, 'name': 'Thomas Teye Partey'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 6381, 'name': 'Saúl Ñíguez Esclapez'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 6377, 'name': 'Ángel Martín Correa'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 10}, {'player': {'id': 5633, 'name': 'Yannick Ferreira Carrasco'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 21}, {'player': {'id': 6840, 'name': 'Marcos Llorente Moreno'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 14}, {'player': {'id': 5198, 'name': 'Diego da Silva Costa'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 19}]}",Atlético Madrid,212,00:00:00.000,Starting XI,,2019/2020
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0b1d8966-1910-463c-b588-8b8da121e59b,3,,,303696,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['ace728d3-9be4-4044-b6e2-6255b68c68c3'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2019/2020
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,ace728d3-9be4-4044-b6e2-6255b68c68c3,4,,,303696,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['0b1d8966-1910-463c-b588-8b8da121e59b'],0,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:00.000,Half Start,,2019/2020
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,b079ab68-ab6b-4cde-ab0c-0eea2107d579,1881,,,303696,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,75,Barcelona,217,['5c08a238-6e3d-4747-9000-a93adce138ff'],0,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:00.000,Half Start,,2019/2020
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,5c08a238-6e3d-4747-9000-a93adce138ff,1882,,,303696,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,75,Barcelona,217,['b079ab68-ab6b-4cde-ab0c-0eea2107d579'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2019/2020
,,,,,,,,,,,,,,,,,,1.754516,,,,,,,,,,,,,,,94ca8edd-292e-4799-adfe-012811b8558e,5,,"[61.0, 40.1]",303696,0,,,,-2.8672106,,Right Foot,,,"[34.0, 32.5]",Ground Pass,,28.049242,,,,José María Giménez de Vargas,5259.0,,,,,Kick Off,1,From Kick Off,Diego da Silva Costa,5198.0,Left Center Forward,2,Atlético Madrid,212,['644979f5-9d72-47c8-beb0-87c3d9231c0f'],0,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:00.610,Pass,,2019/2020
,,,,,,,,,,,,,,,,,,1.539598,,,,,,,,,,,,,,,545a4604-770c-4f07-be0d-61d33104401c,8,,"[35.5, 32.3]",303696,0,,,,-1.0003017,,Right Foot,,,"[43.2, 20.3]",Ground Pass,,14.25798,,,,Felipe Augusto de Almeida Monteiro,11167.0,,,,,,1,From Kick Off,José María Giménez de Vargas,5259.0,Right Center Back,2,Atlético Madrid,212,['f6aeb6cd-2abc-4add-888d-501efdd21264'],4,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:04.508,Pass,,2019/2020
,,,,,,,,,,,,,,,,,,0.900848,,,,,,,,,,,,,,,a6a8d973-c421-43a8-a93c-55534cab68d4,11,,"[43.4, 18.9]",303696,0,,,,-0.6694162,,Right Foot,,,"[54.9, 9.8]",Ground Pass,,14.664924,,,,Renan Augusto Lodi dos Santos,26532.0,,,,,,1,From Kick Off,Felipe Augusto de Almeida Monteiro,11167.0,Left Center Back,2,Atlético Madrid,212,['e66b3b77-eefc-4cd0-ac6b-835799336850'],7,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:07.128,Pass,,2019/2020
,,,,,,,,,,,,,,,,,,1.008769,,,,,,,,,,,,,,,aa24423e-bb96-4d71-a8e0-4dff46069756,14,,"[56.5, 5.0]",303696,0,,,,2.5173464,,Left Foot,,,"[44.7, 13.5]",Ground Pass,,14.542696,,,,Felipe Augusto de Almeida Monteiro,11167.0,,,,,,1,From Kick Off,Renan Augusto Lodi dos Santos,26532.0,Left Back,2,Atlético Madrid,212,['6059aa6b-dc89-473d-a71a-06f88faddd70'],10,,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:10.067,Pass,,2019/2020
