bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_lost_in_play,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,228e1928-fb72-4da1-83d0-57e6502d9dc8,1,,,,303700,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Eibar,322,,0,,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 6698, 'name': 'Marko Dmitrović'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 8555, 'name': 'Pablo Ezequiel De Blasis'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 16}, {'player': {'id': 6708, 'name': 'Paulo André Rodrigues de Oliveira'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 12}, {'player': {'id': 6709, 'name': 'Anaitz Arbilla Zabala'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 6705, 'name': 'José Ángel Valdés Díaz'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 6907, 'name': 'Pedro León Sánchez Gil'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 21}, {'player': {'id': 13107, 'name': 'Sergio Álvarez Díaz'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 6867, 'name': 'Papa Kouly Diop'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 7105, 'name': 'Fabián Ariel Orellana Valenzuela'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 14}, {'player': {'id': 6700, 'name': 'Sergio Enrich Ametller'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 6707, 'name': 'Charles Días Barbosa de Oliveira'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 19}]}",Eibar,322,00:00:00.000,Starting XI,,2019/2020
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0aab7963-b891-4fbd-9749-12728356a652,2,,,,303700,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Eibar,322,,0,,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 5492, 'name': 'Samuel Yves Umtiti'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 6826, 'name': 'Clément Lenglet'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 8118, 'name': 'Frenkie de Jong'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 11392, 'name': 'Arthur Henrique Ramos de Oliveira Melo'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 5487, 'name': 'Antoine Griezmann'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2019/2020
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,671e6718-2270-405e-b683-78772ef86cac,3,,,,303700,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Eibar,322,['f81cc773-0436-4fa0-89fc-7d5a0515fdf6'],0,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2019/2020
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,f81cc773-0436-4fa0-89fc-7d5a0515fdf6,4,,,,303700,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Eibar,322,['671e6718-2270-405e-b683-78772ef86cac'],0,,,,,,,,,,,,,,,,,,,Eibar,322,00:00:00.000,Half Start,,2019/2020
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,96db212e-cd73-4712-b0ab-3fcbdec1cfe9,1790,,,,303700,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,84,Barcelona,217,['41e127e9-7f9a-49fa-a0e0-58bf749403d1'],0,,,,,,,,,,,,,,,,,,,Eibar,322,00:00:00.000,Half Start,,2019/2020
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,41e127e9-7f9a-49fa-a0e0-58bf749403d1,1791,,,,303700,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,84,Barcelona,217,['96db212e-cd73-4712-b0ab-3fcbdec1cfe9'],0,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2019/2020
,,,,,,,,,,,,,,,,0.967997,,,,,,,,,,,,,,463199ed-c5e9-4510-9623-0775a2a75737,5,,,"[61.0, 40.1]",303700,0,,,,2.863293,,Right Foot,,,,"[52.6, 42.5]",,Ground Pass,,8.736132,,,,,Sergio Busquets i Burgos,5203.0,,,,,Kick Off,1,From Kick Off,Luis Alberto Suárez Díaz,5246.0,Center Forward,2,Barcelona,217,['e717aca0-c4d6-4f53-88ef-22cfc7643201'],0,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.862,Pass,,2019/2020
,,,,,,,,,,,,,,,,1.046988,,,,,,,,,,,,,,f902b823-7826-4d1d-8ddd-23850e3f30ec,8,,,"[53.7, 44.7]",303700,0,,,,2.011102,,Left Foot,,,,"[48.8, 55.1]",,Ground Pass,,11.496521,,,,,Frenkie de Jong,8118.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['e878fbef-e467-4f9a-bbbc-9be358fc5753'],3,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:03.120,Pass,,2019/2020
,,,,,,,,,,,,,,,,1.334144,,,,,,,,,,,,,,47d79ad5-e392-4386-a7e2-e14e7af00303,11,,,"[47.9, 55.0]",303700,0,,,,-2.0366762,,Right Foot,,,,"[38.9, 37.1]",,Ground Pass,,20.03522,,,,,Clément Lenglet,6826.0,,,,,,1,From Kick Off,Frenkie de Jong,8118.0,Right Center Midfield,2,Barcelona,217,['4105b02e-6498-4881-8e51-6dc40a10ba11'],5,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:05.499,Pass,,2019/2020
,,,,,,,,,,,,,,,,1.628814,,,,,,,,,,,,,,e7411911-92a6-41d9-9891-6d7546f441b9,15,,,"[37.4, 33.3]",303700,0,,,,-1.2381766,,Left Foot,,,,"[46.9, 5.8]",,Ground Pass,,29.094673,,,,,Jordi Alba Ramos,5211.0,,,,,,1,From Kick Off,Clément Lenglet,6826.0,Left Center Back,2,Barcelona,217,"['a5c39061-83d8-4705-b946-210b9ed50078', 'd8051d66-9955-4f2a-b3b3-08d29e5dd6fb']",7,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:07.765,Pass,True,2019/2020
