ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,8a0d7113-4624-455a-97d2-61c81aa5cde6,1,,,,303725,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Villarreal,222,,0,,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 6755, 'name': 'Sergio Asenjo Andrés'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6772, 'name': 'Mario Gaspar Pérez Martínez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 7030, 'name': 'Raúl Albiol i Tortajada'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 6892, 'name': 'Pau Francisco Torres'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 3515, 'name': 'Alberto Moreno Pérez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 3141, 'name': 'André-Frank Zambo Anguissa'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 19}, {'player': {'id': 3497, 'name': 'Vicente Iborra De La Fuente'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 16335, 'name': 'Samuel Chimerenka Chukwueze'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 11}, {'player': {'id': 11386, 'name': 'Santiago Cazorla González'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 8}, {'player': {'id': 6766, 'name': 'Gerard Moreno Balaguero'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 7}, {'player': {'id': 6402, 'name': 'Francisco Alcácer García'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 17}]}",Villarreal,222,00:00:00.000,Starting XI,,2019/2020
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,a895edcb-4e54-4132-a182-0b53411fae0e,2,,,,303725,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Villarreal,222,,0,,,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6374, 'name': 'Nélson Cabral Semedo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 6826, 'name': 'Clément Lenglet'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 8206, 'name': 'Arturo Erasmo Vidal Pardo'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 22}, {'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 5487, 'name': 'Antoine Griezmann'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 17}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2019/2020
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,7c70a786-9ca8-4720-8e2b-d2a40c81f686,3,,,,303725,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Villarreal,222,['13a9ba25-7ef6-4a2a-948b-bdc51a1c7c25'],0,,,,,,,,,,,,,,,,,,,Villarreal,222,00:00:00.000,Half Start,,2019/2020
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,13a9ba25-7ef6-4a2a-948b-bdc51a1c7c25,4,,,,303725,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Villarreal,222,['7c70a786-9ca8-4720-8e2b-d2a40c81f686'],0,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2019/2020
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,524f28de-1e7a-4a4e-a1f4-39ecba8e82ba,2032,,,,303725,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,68,Villarreal,222,['3f972f2e-4dc5-436a-90f2-3ed22a91051d'],0,,,,,,,,,,,,,,,,,,,Villarreal,222,00:00:00.000,Half Start,,2019/2020
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,3f972f2e-4dc5-436a-90f2-3ed22a91051d,2033,,,,303725,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,68,Villarreal,222,['524f28de-1e7a-4a4e-a1f4-39ecba8e82ba'],0,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2019/2020
,,,,,,,,,,,,,,,,0.588413,,,,,,,,,,,,27a23864-4b5b-4ad6-8de6-62ee3019e2e9,5,,,"[60.0, 40.0]",303725,0,,,,-2.8677506,,Right Foot,,"[51.1, 37.5]",,Ground Pass,,9.244458,,,,,Sergio Busquets i Burgos,5203.0,,,,,Kick Off,1,From Kick Off,Luis Alberto Suárez Díaz,5246.0,Left Center Forward,2,Barcelona,217,['c6573c03-81df-4b5e-b485-5e747944fdf7'],0,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.768,Pass,,2019/2020
,,,,,,,,,,,,,,,,1.007876,,,,,,,,,,,,9721a5b7-51f7-4af0-b159-64ed7a3dde9c,8,,,"[51.5, 37.5]",303725,0,,,,-1.5291537,,Right Foot,,"[52.0, 25.5]",,Ground Pass,,12.010412,,,,,Sergi Roberto Carnicer,6379.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['9fc7a982-4260-4458-8654-bf02c07494ae'],2,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:02.297,Pass,,2019/2020
,,,,,,,,,,,,,,,,1.25094,,,,,,,,,,,,606a1293-5037-4aa5-8808-845152665aee,11,,,"[56.2, 24.3]",303725,0,,,,-1.6830673,,Right Foot,,"[53.9, 3.9]",,Ground Pass,,20.529247,,,,,Jordi Alba Ramos,5211.0,,,,,,1,From Kick Off,Sergi Roberto Carnicer,6379.0,Left Center Midfield,2,Barcelona,217,['fee05991-69e4-44f3-a604-ae7105b3dd22'],4,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:04.898,Pass,,2019/2020
,,,,,,,,,,,,,,,,1.410059,,,,,,,,,,,,b346a5de-cb7d-43c2-84c0-d0ec6dd66b59,14,,,"[54.3, 3.8]",303725,0,,,,2.2840974,,Left Foot,,"[37.6, 23.1]",,Ground Pass,,25.522148,,,,,Clément Lenglet,6826.0,,,,,,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Back,2,Barcelona,217,['a9bf8b0c-29ee-4db2-9c3f-423a1bedb093'],6,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:06.637,Pass,,2019/2020
