50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d2bccfa7-36d1-408a-8146-73e352d06887,1,,,3773386,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Deportivo Alavés,206,,0,,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 6629, 'name': 'Fernando Pacheco Flores'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6923, 'name': 'Joaquín Navarro Jiménez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 6615, 'name': 'Víctor Laguardia Cisneros'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 3093, 'name': 'Florian Grégoire Claude Lejeune'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 22}, {'player': {'id': 6612, 'name': 'Rubén Duarte Sánchez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 10605, 'name': 'Rodrigo Andrés Battaglia'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 26387, 'name': 'Edgar Antonio Méndez Ortega'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 16}, {'player': {'id': 6622, 'name': 'Tomás Pina Isla'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 9462, 'name': 'José Ignacio Peleteiro Ramallo'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 24}, {'player': {'id': 24049, 'name': 'Luis Jesús Rioja González'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 25134, 'name': 'Deyverson Brum Silva Acosta'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 14}]}",Deportivo Alavés,206,00:00:00.000,Starting XI,,2020/2021
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2f5fae8c-fc9b-4319-914a-884e71023c3b,2,,,3773386,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Deportivo Alavés,206,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 6590, 'name': 'Norberto Murara Neto'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 6826, 'name': 'Clément Lenglet'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 8118, 'name': 'Frenkie de Jong'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 5477, 'name': 'Ousmane Dembélé'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 30756, 'name': 'Anssumane Fati'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 22}, {'player': {'id': 5487, 'name': 'Antoine Griezmann'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Barcelona,217,00:00:00.000,Starting XI,,2020/2021
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e864ed70-94fa-4f91-bc8f-a70bde42b33c,3,,,3773386,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Deportivo Alavés,206,['9425b991-43aa-41b3-8ed7-799c2d799967'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2020/2021
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9425b991-43aa-41b3-8ed7-799c2d799967,4,,,3773386,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Deportivo Alavés,206,['e864ed70-94fa-4f91-bc8f-a70bde42b33c'],0,,,,,,,,,,,,,,,,,,Deportivo Alavés,206,00:00:00.000,Half Start,,2020/2021
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,3bda6839-ca3a-41dc-8c80-6da870573d6b,1834,,,3773386,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,71,Deportivo Alavés,206,['1b62e83d-914e-4bcd-bc60-0bcec5841b14'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2020/2021
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1b62e83d-914e-4bcd-bc60-0bcec5841b14,1835,,,3773386,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,71,Deportivo Alavés,206,['3bda6839-ca3a-41dc-8c80-6da870573d6b'],0,,,,,,,,,,,,,,,,,,Deportivo Alavés,206,00:00:00.000,Half Start,,2020/2021
,,,,,,,,,,,,,,,,,0.963571,,,,,,,,,,,,,208f072d-cffa-4575-bd73-e9e9384c8fe1,5,,"[61.0, 40.1]",3773386,0,,,,,2.692596,,Left Foot,,,,"[50.0, 45.4]",Ground Pass,,12.210241,,,,Sergio Busquets i Burgos,5203.0,,,,,Kick Off,1,From Kick Off,Antoine Griezmann,5487.0,Center Forward,2,Barcelona,217,['1b0529a5-c699-44e4-b534-80a48503d3a8'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.689,Pass,,2020/2021
,,,,,,,,,,,,,,,,,0.998827,,,,,,,,,,,,,e1f11e14-fb24-4c82-868f-507385122b9c,7,,"[49.4, 44.9]",3773386,0,,,,,-1.7200059,,Right Foot,,,,"[47.1, 29.6]",Ground Pass,,15.47191,,,,Frenkie de Jong,8118.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Right Defensive Midfield,2,Barcelona,217,['b9c89821-9722-4c12-ada7-e1d09cc10a89'],1,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.653,Pass,,2020/2021
,,,,,,,,,,,,,,,,,1.263872,,,,,,,,,,,,,4d801bc4-907a-4474-9620-7c6ca2610ea7,10,,"[48.1, 29.6]",3773386,0,,,,,2.1112158,,Right Foot,,,,"[35.5, 50.6]",Ground Pass,,24.489998,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Frenkie de Jong,8118.0,Left Defensive Midfield,2,Barcelona,217,['c4d7296a-bcea-4f7d-bcc9-c1bf5dae6fe7'],5,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:05.344,Pass,,2020/2021
,,,,,,,,,,,,,,,,,1.331522,,,,,,,,,,,,,72a0c004-6d76-4ea8-b892-0f7881be9320,13,,"[44.3, 50.2]",3773386,0,,,,,-1.7304027,,Right Foot,,,,"[41.0, 29.7]",Ground Pass,,20.76391,,,,Clément Lenglet,6826.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['3d285d86-2ff7-45c9-8447-825fcbe5b5bc'],10,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:10.283,Pass,,2020/2021
,,,,,,,,,,,,,,,,,1.004666,,,,,,,,,,,,,ba9d104d-bddd-44bd-b156-991e7f5f0344,16,,"[49.0, 28.7]",3773386,0,,,,,0.49934673,,Left Foot,,,,"[57.8, 33.5]",Ground Pass,,10.023972,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Clément Lenglet,6826.0,Left Center Back,2,Barcelona,217,['ff18cfb6-31ba-4e71-bc9f-5fe07a9d2ceb'],14,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:14.201,Pass,,2020/2021
,,,,,,,,,,,,,,,,,1.793544,,,,,,,,,,,,,977772d7-a60d-4f97-a56d-4a4f634941e6,18,,"[57.1, 33.1]",3773386,0,,,,,2.2428365,,Right Foot,,,,"[42.7, 51.2]",Ground Pass,,23.12942,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Right Defensive Midfield,2,Barcelona,217,['bf97e630-9577-4a75-98b4-a058bfebd5b8'],15,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:15.206,Pass,,2020/2021
,,,,,,,,,,,,,,,,,1.639114,,,,,,,,,,,,,63231afc-ab0c-4535-9949-e19c03ab1bca,21,,"[49.1, 52.5]",3773386,0,,,,,-1.8519402,,Right Foot,,,,"[42.4, 29.3]",Ground Pass,,24.148085,,,,Clément Lenglet,6826.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['8c33086d-f664-46c3-a9c4-ae312233424b'],20,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:20.730,Pass,,2020/2021
,,,,,,,,,,,,,,,,,1.296817,,,,,,,,,,,,,959940e9-386f-4528-ae28-8038452e4d69,25,,"[41.3, 29.2]",3773386,0,,,,,-1.5408652,,Left Foot,,,,"[41.8, 12.5]",Ground Pass,,16.707483,,,,Jordi Alba Ramos,5211.0,,,,,,1,From Kick Off,Clément Lenglet,6826.0,Left Center Back,2,Barcelona,217,"['5aad9a22-ba37-4857-878b-7dc82a28226c', '7b9e7233-0d7d-4b6b-896a-fb8741e455d4']",23,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:23.290,Pass,True,2020/2021
,,,,,,,,,,,,,,,,,1.717365,,,,,,,,,,,,,6f723931-3dd4-4e1c-a2fb-c2499a531de5,29,,"[37.1, 14.6]",3773386,0,,,,,1.2403123,,Right Foot,,,,"[41.8, 28.3]",Ground Pass,,14.483784,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Back,2,Barcelona,217,"['16035528-aba8-45bc-9809-e4d073cfc80d', '3541f8e5-8806-42ef-b54b-66651d41d01e']",25,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:25.758,Pass,True,2020/2021
,,,,,,,,,,,,,,,,,1.824233,,,,,,,,,,,,,7ddb69ce-12c3-48fa-a7e5-a2e1be0672eb,32,,"[42.4, 27.6]",3773386,0,,,,,1.7901208,,Left Foot,,,,"[35.2, 59.9]",Ground Pass,,33.092747,,,,Sergi Roberto Carnicer,6379.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Right Defensive Midfield,2,Barcelona,217,['d4bb10c4-e102-4c5f-b9ca-e2b8fed19439'],27,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:27.497,Pass,,2020/2021
,,,,,,,,,,,,,,,,,1.26851,,,,,,,,,,,,,c3ab4afa-04ea-4d0d-ade8-5acc6966a37b,35,,"[36.1, 59.5]",3773386,0,,,,,-2.9323132,,Right Foot,,,,"[24.8, 57.1]",Ground Pass,,11.552056,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Sergi Roberto Carnicer,6379.0,Right Back,2,Barcelona,217,"['07f16a24-8a15-435d-944e-547e5b1fe0c4', '274ec044-ea30-405f-8313-c7bd235afeda']",29,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:29.321,Pass,True,2020/2021
,,,,,,,,,,,,,,,,,1.014398,,,,,,,,,,,,,e3ba887e-0ebb-4f78-827a-e9cfcc0b6d7e,39,,"[26.2, 57.7]",3773386,0,,,,,0.014813731,,Right Foot,,,,"[53.2, 58.1]",Low Pass,,27.002962,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,"['90adbdb5-b711-42e0-b27b-c881101b404e', '93c49b7b-f8ec-4b38-805a-5d75ac73a05b']",31,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:31.800,Pass,True,2020/2021
,,,,,,,,,,,,,,,,,0.633992,,,,,,,,,,,,,cb60f0a4-73dd-4f9d-b316-c8956cced6dc,43,,"[49.1, 56.9]",3773386,0,,,,,-2.7233684,,Left Foot,,,,"[45.5, 55.3]",Ground Pass,,3.939543,,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Center Attacking Midfield,2,Barcelona,217,"['2922d648-a673-4956-83bd-1c1fc4b36ec4', '9cd18f8d-5fce-482c-9109-9fc160227c3b']",34,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:34.853,Pass,True,2020/2021
