bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,4b75abec-7e9b-4dfd-a884-3e247844a09c,1,,,3773403,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 43728, 'name': 'Óscar Mingueza García'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 28}, {'player': {'id': 32480, 'name': 'Ronald Federico Araújo da Silva'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 5492, 'name': 'Samuel Yves Umtiti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 6947, 'name': 'Miralem Pjanić'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 8118, 'name': 'Frenkie de Jong'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 5477, 'name': 'Ousmane Dembélé'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 30486, 'name': 'Pedro González López'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 16}, {'player': {'id': 5487, 'name': 'Antoine Griezmann'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Barcelona,217,00:00:00.000,Starting XI,,2020/2021
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,3d5efc20-5d76-44e8-b38f-30cdd882aa57,2,,,3773403,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 11748, 'name': 'Unai Simón Mendibil'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6699, 'name': 'Ander Capa Rodríguez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 6877, 'name': 'Yeray Álvarez López'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 6665, 'name': 'Íñigo Martínez Berridi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 3023, 'name': 'Yuri Berchiche Izeta'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 17}, {'player': {'id': 6775, 'name': 'Daniel García Carrillo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 35473, 'name': 'Unai Vencedor Paris'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 27}, {'player': {'id': 6649, 'name': 'Óscar de Marcos Arana'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 18}, {'player': {'id': 6842, 'name': 'Iker Muniain Goñi'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 6391, 'name': 'Raúl García Escudero'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 22}, {'player': {'id': 6393, 'name': 'Iñaki Williams Arthuer'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Athletic Club,215,00:00:00.000,Starting XI,,2020/2021
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,54243c6c-3b3b-4b06-814f-0d5252a9b358,3,,,3773403,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['5d5a8554-4314-4992-8a8b-de16c902a432'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2020/2021
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,5d5a8554-4314-4992-8a8b-de16c902a432,4,,,3773403,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['54243c6c-3b3b-4b06-814f-0d5252a9b358'],0,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:00.000,Half Start,,2020/2021
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,5a1eaefa-bd81-409b-8b37-e99fde262227,1829,,,3773403,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,91,Barcelona,217,['26e1f5ca-0c98-447d-b2b2-d7db384d46e5'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2020/2021
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,26e1f5ca-0c98-447d-b2b2-d7db384d46e5,1830,,,3773403,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,91,Barcelona,217,['5a1eaefa-bd81-409b-8b37-e99fde262227'],0,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:00.000,Half Start,,2020/2021
,,,,,,,,,,,,,,,0.882284,,,,,,,,,,,,,,d5ef09bb-ac92-4554-b77f-65a4c01bf261,5,,"[61.0, 40.1]",3773403,0,,,,2.3825042,,Left Foot,,,"[57.1, 43.8]",,Ground Pass,,5.375872,,,,Miralem Pjanić,6947.0,,,,,,Kick Off,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,2,Barcelona,217,['dcdcbe51-01ae-416d-8717-3993b2c715c6'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.317,Pass,,2020/2021
,,,,,,,,,,,,,,,0.93675,,,,,,,,,,,,,,ded54c15-f6be-4d32-85a2-973d9c1ba563,8,,"[56.1, 43.5]",3773403,0,,,,-2.8753407,,Right Foot,,,"[46.2, 40.8]",,Ground Pass,,10.261579,,,,Frenkie de Jong,8118.0,,,,,,,1,From Kick Off,Miralem Pjanić,6947.0,Right Defensive Midfield,2,Barcelona,217,['dd5bf9e4-fd1e-4eb4-b388-d5e8423d2256'],1,,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.701,Pass,,2020/2021
,,,,,,,,,,,,,,,2.177294,,,,,,,,,,,,,,a32c29af-223c-475e-9712-4de832bf7169,11,,"[45.2, 36.3]",3773403,0,,,,-1.8681614,,Right Foot,,,"[39.5, 17.7]",,Ground Pass,,19.45379,,,,Samuel Yves Umtiti,5492.0,,,,,,,1,From Kick Off,Frenkie de Jong,8118.0,Left Defensive Midfield,2,Barcelona,217,['a3dc3f65-4a46-46d5-8f58-b5c4b56bd28b'],5,,,,,,,,,,,,,,,,,Barcelona,217,00:00:05.028,Pass,,2020/2021
,,,,,,,,,,,,,,,1.613005,,,,,,,,,,,,,,ad31dec5-e4d9-4885-a6a6-35545c5dfc5f,14,,"[38.3, 13.6]",3773403,0,,,,-0.8329813,,Left Foot,,,"[46.3, 4.8]",,Ground Pass,,11.892855,,,,Jordi Alba Ramos,5211.0,,,,,,,1,From Kick Off,Samuel Yves Umtiti,5492.0,Left Center Back,2,Barcelona,217,['631d8cfe-1b46-40f9-95f7-166f4457365d'],7,,,,,,,,,,,,,,,,,Barcelona,217,00:00:07.585,Pass,,2020/2021
