ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,9d9578b5-c08c-4279-8f74-b6b1497398c1,1,,,3773457,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 32480, 'name': 'Ronald Federico Araújo da Silva'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 3}, {'player': {'id': 6826, 'name': 'Clément Lenglet'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 5477, 'name': 'Ousmane Dembélé'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 11}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 39073, 'name': 'Moriba Kourouma Kourouma'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 27}, {'player': {'id': 30486, 'name': 'Pedro González López'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 5487, 'name': 'Antoine Griezmann'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 7}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 10}]}",Barcelona,217,00:00:00.000,Starting XI,,2020/2021
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,5008c221-4ae6-4f3c-b45f-151026e68e6e,2,,,3773457,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 40890, 'name': 'Iván Villar Martínez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 22029, 'name': 'Kevin Vázquez Comesaña'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 11388, 'name': 'Néstor Alejandro Araújo Razo'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 75546, 'name': 'Carlos Domínguez Cáceres'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 40}, {'player': {'id': 6757, 'name': 'Aarón Martín Caricol'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 6799, 'name': 'Brais Méndez Portela'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 23}, {'player': {'id': 11389, 'name': 'Francisco José Beltrán Peinado'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 6609, 'name': 'Denis Suárez Fernández'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 6724, 'name': 'Manuel Agudo Durán'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 9}, {'player': {'id': 5217, 'name': 'Iago Aspas Juncal'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 6594, 'name': 'Santiago Mina Lorenzo'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 22}]}",Celta Vigo,209,00:00:00.000,Starting XI,,2020/2021
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,35d940f0-f9ee-47a0-b922-84c0ddaef022,3,,,3773457,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['199204d2-f503-4720-a1a5-dbf9c61095d4'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2020/2021
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,199204d2-f503-4720-a1a5-dbf9c61095d4,4,,,3773457,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['35d940f0-f9ee-47a0-b922-84c0ddaef022'],0,,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:00.000,Half Start,,2020/2021
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0f945795-99a7-45ee-a879-f80566d9ec7e,2185,,,3773457,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,91,Celta Vigo,209,['c1955171-1a6b-47a8-a6ec-69d14552eb17'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2020/2021
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,c1955171-1a6b-47a8-a6ec-69d14552eb17,2186,,,3773457,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,91,Celta Vigo,209,['0f945795-99a7-45ee-a879-f80566d9ec7e'],0,,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:00.000,Half Start,,2020/2021
,,,,,,,,,,,,,,,,,0.799964,,,,,,,,,,,,daac9c8d-95b6-4e42-8cfa-b05779fd7755,5,,"[60.0, 40.0]",3773457,0,,,,,-2.9189317,,Left Foot,,,,"[49.4, 37.6]",,Ground Pass,,10.868302,,,Sergio Busquets i Burgos,5203.0,,,,,Kick Off,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Left Center Forward,2,Barcelona,217,['858471b5-e287-434a-b397-afe911c6968e'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.955,Pass,,2020/2021
,,,,,,,,,,,,,,,,,2.69615,,,,,,,,,,,,f29cb427-30ed-4011-89cb-9df2fcee58fb,8,,"[52.1, 37.6]",3773457,0,,,,,1.706324,,Left Foot,,,,"[49.4, 57.4]",,Ground Pass,,19.983242,,,Moriba Kourouma Kourouma,39073.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['ed15758c-502a-493a-a4d1-a4059b01de01'],2,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:02.742,Pass,,2020/2021
,,,,,,,,,,,,,,,,,1.194297,,,,,,,,,,,,257003ba-4790-4bba-bce1-39c95757ed84,10,,"[49.4, 57.4]",3773457,0,,,,,2.8012106,,Left Foot,,,,"[35.0, 62.5]",,Ground Pass,,15.276452,,,Ronald Federico Araújo da Silva,32480.0,,,,,,1,From Kick Off,Moriba Kourouma Kourouma,39073.0,Right Center Midfield,2,Barcelona,217,['4bc313bb-5da0-47f3-a1dc-72c59984086e'],5,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:05.438,Pass,,2020/2021
,,,,,,,,,,,,,,,,,1.811285,,,,,,,,,,,,6a6ccd2d-331b-47b6-b0ee-db12f169becd,14,,"[35.2, 62.3]",3773457,0,,,,,-2.4738846,,Right Foot,,,,"[7.3, 40.3]",,Ground Pass,,35.53041,,,Marc-André ter Stegen,20055.0,,,,,,1,From Kick Off,Ronald Federico Araújo da Silva,32480.0,Right Center Back,2,Barcelona,217,"['1dcf8ecb-8766-4773-8516-c144c33dea7e', 'b4abc49d-8c13-460e-811f-8bd5ce6aca97']",7,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:07.320,Pass,True,2020/2021
,,,,,,,,,,,,,,,,,1.493702,,,,,,,,,,,,a7325f8a-d0df-42f9-b10b-30165a67f45f,17,,"[8.7, 36.8]",3773457,0,,,,,-1.0412904,,Right Foot,,,,"[21.4, 15.1]",,Ground Pass,,25.14319,,,Clément Lenglet,6826.0,,,,,,1,From Kick Off,Marc-André ter Stegen,20055.0,Goalkeeper,2,Barcelona,217,['015dfa97-1caf-4edf-8e26-37ce13cfe24d'],10,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:10.195,Pass,,2020/2021
,,,,,,,,,,,,,,,,,1.134479,,,,,,,,,,,,4c08ae68-e94f-4f51-9d17-affd2892704c,21,,"[21.4, 11.8]",3773457,0,,,,,0.49988553,,Right Foot,,,,"[34.4, 18.9]",,Ground Pass,,14.812494,,,Pedro González López,30486.0,,,,,,1,From Kick Off,Clément Lenglet,6826.0,Left Center Back,2,Barcelona,217,"['465f7f8e-6821-4e4a-984a-8ab3d9fea87a', 'ed78c8b7-731f-426f-b293-ab049f2046ac']",13,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:13.044,Pass,True,2020/2021
,,,,,,,,,,,,,,,,,1.813753,,,,,,,,,,,,0a5fb135-7736-493e-aac9-577bb1375c39,23,,"[34.4, 18.9]",3773457,0,,,,,2.6519768,,Right Foot,,,,"[4.0, 35.1]",,Ground Pass,,34.44706,,,Marc-André ter Stegen,20055.0,,,,,,1,From Kick Off,Pedro González López,30486.0,Left Center Midfield,2,Barcelona,217,['169e007c-a112-4baf-a3e9-27d1f75c973c'],14,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:14.178,Pass,,2020/2021
,,,,,,,,,,,,,,,,,1.828817,,,,,,,,,,,,1d0280be-ddce-4d87-8ab2-ac0236c94480,27,,"[4.3, 36.8]",3773457,0,,,,,1.380808,,Left Foot,,,,"[10.3, 68.0]",,Ground Pass,,31.771685,,,Ronald Federico Araújo da Silva,32480.0,,,,,,1,From Kick Off,Marc-André ter Stegen,20055.0,Goalkeeper,2,Barcelona,217,"['1fae78c1-a6e9-4768-9cb1-72810482b8eb', 'd6513e5f-ec16-4f7e-a4e7-a7131a41cc12']",16,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:16.779,Pass,True,2020/2021
,,,,,,,,,,,,,,,,,1.058701,,,,,,,,,,,,95bdaf79-0ed3-48e4-a588-a2ff3e3e6c26,30,,"[19.5, 70.7]",3773457,0,,,,,-1.0242718,,Right Foot,,,,"[26.8, 58.7]",,Ground Pass,,14.045996,,,Sergio Busquets i Burgos,5203.0,,,,,,1,From Kick Off,Ronald Federico Araújo da Silva,32480.0,Right Center Back,2,Barcelona,217,['71196564-73cf-4ee0-a4f9-8765c305c7ab'],21,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:21.372,Pass,,2020/2021
,,,,,,,,,,,,,,,,,1.070888,,,,,,,,,,,,e6b77e3f-dd61-4f7d-b422-136218cd7202,33,,"[28.5, 58.5]",3773457,0,,,,,0.9985292,,Right Foot,,,,"[39.0, 74.8]",,Ground Pass,,19.389172,,,Ousmane Dembélé,5477.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,"['325f9e23-0496-4a80-84fd-2c13feaa72b4', 'd9976068-e283-4646-81a6-a5aeacc5e1b0']",22,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:22.431,Pass,True,2020/2021
,,,,,,,,,,,,,,,,,0.897234,,,,,,,,,,,,915aa748-68b5-4bf9-af61-5e9b687b731f,36,,"[39.6, 74.5]",3773457,0,,,,,-1.1457561,,Left Foot,,,,"[43.9, 65.0]",,Low Pass,,10.427847,,Incomplete,Moriba Kourouma Kourouma,39073.0,,,,,,1,From Kick Off,Ousmane Dembélé,5477.0,Right Wing Back,2,Barcelona,217,"['0b0afb67-85f1-4a17-b6aa-ebaa4412b76b', 'bfc876ee-18c1-453d-bf73-eec6bf099f20', 'db61a9c8-98db-4fba-8819-2a5936ce0c36']",23,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:23.502,Pass,True,2020/2021
,,,,,,,,,,,True,,,,,,0.978629,,,,,,,,,,,,db61a9c8-98db-4fba-8819-2a5936ce0c36,39,,"[76.2, 15.1]",3773457,0,,,,,-1.3258177,,Left Foot,,,,"[78.3, 6.7]",,Low Pass,,8.658522,,,Aarón Martín Caricol,6757.0,,,,,Interception,1,Regular Play,Denis Suárez Fernández,6609.0,Left Center Midfield,3,Celta Vigo,209,"['174c24d2-fe31-4282-a19d-b873572e1efb', '915aa748-68b5-4bf9-af61-5e9b687b731f', 'f8c448e2-f60f-45fa-935e-8a176a628cec']",24,,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:24.399,Pass,True,2020/2021
