bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,21e8b625-3428-41c9-9a23-123097f14b5e,1,,,3773565,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Granada,1049,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 24140, 'name': 'Rui Tiago Dantas da Silva'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4546, 'name': 'Dimitri Foulquier'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 23807, 'name': 'Domingos Sousa Coutinho Meneses Duarte'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 22}, {'player': {'id': 24134, 'name': 'Germán Sánchez Barahona'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 25702, 'name': 'Carlos Neva Tey'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 16249, 'name': 'Yangel Clemente Herrera Ravelo'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 24052, 'name': 'Yan Brice Eteki'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 24126, 'name': 'José Antonio Rodríguez Díaz'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 24144, 'name': 'Ángel Montoro Sánchez'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 19}, {'player': {'id': 11501, 'name': 'Darwin Daniel Machís Marcano'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 26009, 'name': 'Roberto Soldado Rillo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Granada,1049,00:00:00.000,Starting XI,,2020/2021
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,48d929f7-34f5-4bbb-93bd-febfa94ceec8,2,,,3773565,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Granada,1049,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 21881, 'name': 'Sergino Dest'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 43728, 'name': 'Óscar Mingueza García'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 28}, {'player': {'id': 5492, 'name': 'Samuel Yves Umtiti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 8118, 'name': 'Frenkie de Jong'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 30486, 'name': 'Pedro González López'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 5477, 'name': 'Ousmane Dembélé'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 5487, 'name': 'Antoine Griezmann'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Barcelona,217,00:00:00.000,Starting XI,,2020/2021
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,71abfc51-39a9-4e83-8dc2-3b566b67187b,3,,,3773565,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Granada,1049,['0ac02dc3-4924-462e-bb52-6475e88c7664'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2020/2021
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0ac02dc3-4924-462e-bb52-6475e88c7664,4,,,3773565,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Granada,1049,['71abfc51-39a9-4e83-8dc2-3b566b67187b'],0,,,,,,,,,,,,,,,,Granada,1049,00:00:00.000,Half Start,,2020/2021
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,ed1ae9ab-21b5-46aa-ba42-389ddae6b74b,1714,,,3773565,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,77,Barcelona,217,['043b2574-434c-4051-9bf6-3d6158412f65'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2020/2021
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,043b2574-434c-4051-9bf6-3d6158412f65,1715,,,3773565,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,77,Barcelona,217,['ed1ae9ab-21b5-46aa-ba42-389ddae6b74b'],0,,,,,,,,,,,,,,,,Granada,1049,00:00:00.000,Half Start,,2020/2021
,,,,,,,,,,,,,,,1.0,,,,,,,,,,,ed41e519-cb15-4ee3-ba31-d833f0182a7d,5,,"[60.0, 40.0]",3773565,0,,,,-2.937085,,Left Foot,,,"[46.5, 37.2]",,Ground Pass,,13.787313,,,Sergio Busquets i Burgos,5203.0,,,,,,Kick Off,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,2,Barcelona,217,['01a8babb-95a9-4bb1-b7a1-489a8fd3d95d'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.747,Pass,,2020/2021
,,,,,,,,,,,,,,,0.674666,,,,,,,,,,,4f7dd7d2-7958-4d48-bdce-723d5335d8b3,8,,"[47.0, 40.8]",3773565,0,,,,1.7515959,,Right Foot,,,"[45.3, 50.1]",,Ground Pass,,9.4541,,,Frenkie de Jong,8118.0,,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['c524e897-0289-4537-a307-6e8df18783a0'],3,,,,,,,,,,,,,,,,Barcelona,217,00:00:03.810,Pass,,2020/2021
,,,,,,,,,,,,,,,0.945528,,,,,,,,,,,02eebbdc-0ce4-45c9-8e5b-571829c685df,11,,"[44.1, 51.8]",3773565,0,,,,-2.9996955,,Right Foot,,,"[30.8, 49.9]",,Ground Pass,,13.435029,,,Óscar Mingueza García,43728.0,,,,,,,1,From Kick Off,Frenkie de Jong,8118.0,Right Center Midfield,2,Barcelona,217,['6a8b7b60-b85d-49b7-93aa-f66fb1b86b63'],6,,,,,,,,,,,,,,,,Barcelona,217,00:00:06.249,Pass,,2020/2021
,,,,,,,,,,,,,,,1.457914,,,,,,,,,,,b2b36594-6765-4b16-ab60-3fbd8761cdee,14,,"[29.3, 49.2]",3773565,0,,,,-1.6178819,,Right Foot,,,"[28.4, 30.1]",,Ground Pass,,19.121193,,,Samuel Yves Umtiti,5492.0,,,,,,,1,From Kick Off,Óscar Mingueza García,43728.0,Right Center Back,2,Barcelona,217,['702a6da3-ea99-489d-bd58-8b0d2088c2da'],7,,,,,,,,,,,,,,,,Barcelona,217,00:00:07.692,Pass,,2020/2021
,,,,,,,,,,,,,,,0.789398,,,,,,,,,,,670ec4a4-35eb-401f-a3f2-dc57e621a50d,17,,"[28.4, 30.1]",3773565,0,,,,0.16839015,,Left Foot,,,"[38.4, 31.8]",,Ground Pass,,10.143471,,,Sergio Busquets i Burgos,5203.0,,,,,,,1,From Kick Off,Samuel Yves Umtiti,5492.0,Left Center Back,2,Barcelona,217,['5b3e022e-df39-4a5a-9527-3cb698ec9a6e'],9,,,,,,,,,,,,,,,,Barcelona,217,00:00:09.893,Pass,,2020/2021
,,,,,,,,,,,,,,,1.962173,,,,,,,,,,,4c97d57c-7d70-4797-9b1f-bc3c46849b93,19,,"[38.9, 32.2]",3773565,0,,,,-1.464206,,Left Foot,,,"[41.5, 7.9]",,Ground Pass,,24.4387,,,Jordi Alba Ramos,5211.0,,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['c80d9bc0-ab0f-4666-a9b7-9bee1770f1c7'],10,,,,,,,,,,,,,,,,Barcelona,217,00:00:10.682,Pass,,2020/2021
,,,,,,,,,,,,,,,0.180169,,,,,,,,,,,7f6b19dd-b355-46fb-9667-294e597e1b32,22,,"[40.8, 8.2]",3773565,0,,,,0.047583103,,Left Foot,,,"[45.0, 8.4]",,Low Pass,,4.204759,,Incomplete,Antoine Griezmann,5487.0,,,,,,,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Back,2,Barcelona,217,"['66a3f123-ddfb-4a7f-9252-6d6050189455', '99334ece-25ac-4ee9-8d33-ea7c77df4718']",13,,,,,,,,,,,,,,,,Barcelona,217,00:00:13.715,Pass,,2020/2021
,,,,,,,,,,,,,,,0.760084,,,,,,,,,,,77337edc-6b48-4e4d-b4dd-a51cf8a82481,25,,"[46.5, 0.1]",3773565,0,,,,1.1485451,,,,,"[49.6, 7.0]",,Low Pass,,7.56439,,,Antoine Griezmann,5487.0,,,,,,Throw-in,1,From Throw In,Jordi Alba Ramos,5211.0,Left Back,3,Barcelona,217,['b2335238-fd7c-4014-9abb-7850a131ea6f'],32,,,,,,,,,,,,,,,,Barcelona,217,00:00:32.090,Pass,,2020/2021
,,,,,,,,,,,,,,,0.943232,,,,,,,,,,,98d64484-f4b2-4caa-8473-b68b08ea8c8d,27,,"[49.6, 7.0]",3773565,0,,,,-2.3765998,,Left Foot,,,"[44.6, 2.2]",,Ground Pass,,6.9310894,,,Jordi Alba Ramos,5211.0,,,,,,,1,From Throw In,Antoine Griezmann,5487.0,Left Wing,3,Barcelona,217,['373c22b2-0f0a-43ce-855c-d961f7385b19'],32,,,,,,,,,,,,,,,,Barcelona,217,00:00:32.850,Pass,,2020/2021
,,,,,,,,,,,,,,,0.749497,,,,,,,,,,,a06232ee-4b47-4ba7-8d73-16cde0c4a097,30,,"[44.6, 2.2]",3773565,0,,,,2.566168,,Left Foot,,,"[37.2, 7.0]",,Ground Pass,,8.820431,,,Sergio Busquets i Burgos,5203.0,,,,,,,1,From Throw In,Jordi Alba Ramos,5211.0,Left Back,3,Barcelona,217,['7e7a4d61-df29-4f6f-a31e-947ddbbfe632'],33,,,,,,,,,,,,,,,,Barcelona,217,00:00:33.860,Pass,,2020/2021
,,,,,,,,,,,,,,,6.048444,,,,,,,,,,,8fc7583b-4653-48d4-b6ae-b7bf07f58468,32,,"[37.2, 7.0]",3773565,0,,,,0.17707315,,Left Foot,,,"[103.7, 18.9]",,High Pass,,67.55634,,Incomplete,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,1,From Throw In,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,3,Barcelona,217,"['88586a44-4b5d-4724-9836-61a2d634b536', '88965395-a669-4d5d-b28b-b3910e12265e']",34,,,,,,,,,,,,,,,,Barcelona,217,00:00:34.609,Pass,,2020/2021
,,,,,,,,,,,,,,,2.43057,,,,,,,,,,,b6efc644-8184-416f-87d6-c9c0506faeb1,36,,"[9.8, 54.5]",3773565,0,,,,-1.4162748,,Left Foot,,,"[14.8, 22.4]",,Ground Pass,,32.487076,,,Germán Sánchez Barahona,24134.0,,,,,,,1,Regular Play,Rui Tiago Dantas da Silva,24140.0,Goalkeeper,4,Granada,1049,['ea26a9dd-6e65-4df1-99fa-ca2a4e303017'],43,,,,,,,,,,,,,,,,Granada,1049,00:00:43.253,Pass,,2020/2021
