ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,a489b744-478f-436c-b72b-1bfe9ce39b87,1,,,3773571,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Valladolid,901,,0,,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 11302, 'name': 'Jordi Masip López'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 12073, 'name': 'Pablo Hervías Ruiz'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 11}, {'player': {'id': 22020, 'name': 'Joaquín Fernández Moreno'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 24}, {'player': {'id': 21225, 'name': 'Javier Sánchez de Felipe'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 11298, 'name': 'José Ignacio Martínez García'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 23627, 'name': 'João Pedro Neves Filipe'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 40}, {'player': {'id': 11301, 'name': 'Miguel Alfonso Herrero Javaloyas'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 11300, 'name': 'Rubén Alcaraz Jiménez'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 11296, 'name': 'Óscar Plano Pedreño'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 29310, 'name': 'Shon Zalman Weissman'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 31235, 'name': 'Marcos André de Sousa Mendonça'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 16}]}",Real Valladolid,901,00:00:00.000,Starting XI,,2020/2021
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,ff9f7a8e-3e22-42e4-a718-1238674343ab,2,,,3773571,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Valladolid,901,,0,,,,,,,,,,,,,,,,,,"{'formation': 3421, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 43728, 'name': 'Óscar Mingueza García'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 28}, {'player': {'id': 32480, 'name': 'Ronald Federico Araújo da Silva'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 4}, {'player': {'id': 6826, 'name': 'Clément Lenglet'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 21881, 'name': 'Sergino Dest'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 2}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 18}, {'player': {'id': 6947, 'name': 'Miralem Pjanić'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 8118, 'name': 'Frenkie de Jong'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 30486, 'name': 'Pedro González López'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 16}, {'player': {'id': 4447, 'name': 'Martin Braithwaite Christensen'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2020/2021
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0520c6a0-2dca-4d54-a01e-d700fd719066,3,,,3773571,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Valladolid,901,['e125d167-3eff-4df3-9a84-77d025d627ff'],0,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2020/2021
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,e125d167-3eff-4df3-9a84-77d025d627ff,4,,,3773571,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Valladolid,901,['0520c6a0-2dca-4d54-a01e-d700fd719066'],0,,,,,,,,,,,,,,,,,,,Real Valladolid,901,00:00:00.000,Half Start,,2020/2021
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,68a5c03b-729b-4f9f-a3cb-2bda8861c0ff,2068,,,3773571,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,109,Real Valladolid,901,['60abda1f-f503-4d20-97ab-a4bb5c9a327b'],0,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2020/2021
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,60abda1f-f503-4d20-97ab-a4bb5c9a327b,2069,,,3773571,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,109,Real Valladolid,901,['68a5c03b-729b-4f9f-a3cb-2bda8861c0ff'],0,,,,,,,,,,,,,,,,,,,Real Valladolid,901,00:00:00.000,Half Start,,2020/2021
,,,,,,,,,,,,,,,1.022487,,,,,,,,,,,07c9ef0a-c66a-4690-8492-a50c029d64b1,5,,"[61.0, 40.1]",3773571,0,,,,2.9304993,,Right Foot,,,"[54.0, 41.6]",,Ground Pass,,7.1589108,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,Kick Off,1,From Kick Off,Martin Braithwaite Christensen,4447.0,Center Forward,2,Barcelona,217,['7ce519f9-7931-45d8-b610-3d817f1f53ed'],0,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.519,Pass,,2020/2021
,,,,,,,,,,,,,,,1.027709,,,,,,,,,,,68dfe2b9-4af4-4d43-bffb-273e6444921e,8,,"[54.0, 42.5]",3773571,0,,,,-2.1910458,,Right Foot,,,"[47.5, 33.4]",,Ground Pass,,11.1830225,,,,Frenkie de Jong,8118.0,,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Right Attacking Midfield,2,Barcelona,217,['3f47a1b5-b442-4b34-9d80-afe694cd09de'],1,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.848,Pass,,2020/2021
,,,,,,,,,,,,,,,1.03296,,,,,,,,,,,2097f583-70da-449c-814d-f32b9845df33,11,,"[47.5, 34.0]",3773571,0,,,,-2.3599398,,Right Foot,,,"[34.1, 20.7]",,Ground Pass,,18.879883,,,,Clément Lenglet,6826.0,,,,,,,1,From Kick Off,Frenkie de Jong,8118.0,Left Defensive Midfield,2,Barcelona,217,['b84643c8-5f4f-4d62-abfb-3df76a7e204c'],3,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:03.765,Pass,,2020/2021
,,,,,,,,,,,,,,,1.757864,,,,,,,,,,,027fc805-436e-48a9-85fc-6b064d9ad05a,14,,"[34.1, 20.7]",3773571,0,,,,2.55359,,Left Foot,,,"[12.5, 35.1]",,Ground Pass,,25.959969,,,,Marc-André ter Stegen,20055.0,,,,,,,1,From Kick Off,Clément Lenglet,6826.0,Left Center Back,2,Barcelona,217,['f8cb5aaf-d4d1-4a6a-b7be-4bd45076e364'],5,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:05.576,Pass,,2020/2021
