ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b721672c-14e8-4275-a09d-520c50435908,1,,,,3773597,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Sociedad,210,,0,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 32185, 'name': 'Alejandro Remiro Gargallo'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6676, 'name': 'Igor Zubeldia Elorza'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 24921, 'name': 'Martín Zubimendi Ibáñez'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 36}, {'player': {'id': 22128, 'name': 'Robin Aime Robert Le Normand'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 6670, 'name': 'Andoni Gorosabel Espinosa'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 18}, {'player': {'id': 23212, 'name': 'Martín Merquelanz Castellanos'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 17}, {'player': {'id': 24236, 'name': 'Ander Guevara Lajo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 3042, 'name': 'Mikel Merino Zazón'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 6582, 'name': 'Cristian Portugués Manzanera'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 6685, 'name': 'Mikel Oyarzabal Ugarte'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 8819, 'name': 'Alexander Isak'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Real Sociedad,210,00:00:00.000,Starting XI,,2020/2021
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8e52d9b2-ea2a-4f4a-bd85-7600fa8d60e6,2,,,,3773597,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Sociedad,210,,0,,,,,,,,,,,,,,,"{'formation': 3421, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 43728, 'name': 'Óscar Mingueza García'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 28}, {'player': {'id': 8118, 'name': 'Frenkie de Jong'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 21}, {'player': {'id': 6826, 'name': 'Clément Lenglet'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 21881, 'name': 'Sergino Dest'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 2}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 30486, 'name': 'Pedro González López'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 5487, 'name': 'Antoine Griezmann'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 5477, 'name': 'Ousmane Dembélé'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Barcelona,217,00:00:00.000,Starting XI,,2020/2021
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,047d423e-6892-42fe-acb1-7904e97b2c03,3,,,,3773597,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Sociedad,210,['0c9b51cb-c87a-4466-a0d1-3cdeac32bcd6'],0,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:00.000,Half Start,,2020/2021
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0c9b51cb-c87a-4466-a0d1-3cdeac32bcd6,4,,,,3773597,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Sociedad,210,['047d423e-6892-42fe-acb1-7904e97b2c03'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2020/2021
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8530bc5c-e0af-4a9b-b339-73bbdbf2e2d5,1851,,,,3773597,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,79,Barcelona,217,['d7079710-704b-40d7-9a87-edf53262d84d'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2020/2021
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d7079710-704b-40d7-9a87-edf53262d84d,1852,,,,3773597,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,79,Barcelona,217,['8530bc5c-e0af-4a9b-b339-73bbdbf2e2d5'],0,,,,,,,,,,,,,,,,Real Sociedad,210,00:00:00.000,Half Start,,2020/2021
,,,,,,,,,,,,,,0.989599,,,,,,,,,,,,,dcade4b2-948e-4927-9a35-898e9ba4f535,5,,,"[60.0, 40.0]",3773597,0,,,,2.6744115,,Left Foot,,,,"[48.7, 45.7]",,Ground Pass,,12.656223,,,,Sergio Busquets i Burgos,5203.0,,,,,Kick Off,1,From Kick Off,Ousmane Dembélé,5477.0,Center Forward,2,Barcelona,217,['25097cac-9fbf-4efe-a451-6fe534973cc6'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.929,Pass,,2020/2021
,,,,,,,,,,,,,,1.484481,,,,,,,,,,,,,18d7d670-7620-4bdb-80e8-ffc1c86cbcb3,8,,,"[49.2, 44.9]",3773597,0,,,,-2.2008302,,Right Foot,,,,"[35.2, 25.7]",,Ground Pass,,23.762156,,,,Clément Lenglet,6826.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Right Defensive Midfield,2,Barcelona,217,['1cd0b3e1-fb17-447d-8c8a-5bca9a797d0d'],2,,,,,,,,,,,,,,,,Barcelona,217,00:00:02.273,Pass,,2020/2021
,,,,,,,,,,,,,,0.999529,,,,,,,,,,,,,0cd57ed2-0ee7-4498-a84c-40e976730825,11,,,"[36.0, 26.7]",3773597,0,,,,1.8925469,,Left Foot,,,,"[32.8, 36.3]",,Ground Pass,,10.119288,,,,Frenkie de Jong,8118.0,,,,,,1,From Kick Off,Clément Lenglet,6826.0,Left Center Back,2,Barcelona,217,['426b5f90-71fe-49d9-813b-8ce6cd95f397'],4,,,,,,,,,,,,,,,,Barcelona,217,00:00:04.721,Pass,,2020/2021
,,,,,,,,,,,,,,1.380678,,,,,,,,,,,,,9a7389f1-9d99-443e-bbab-7fcb341b68d6,14,,,"[36.5, 30.5]",3773597,0,,,,-2.193621,,Right Foot,,,,"[28.6, 19.5]",,Ground Pass,,13.542894,,,,Clément Lenglet,6826.0,,,,,,1,From Kick Off,Frenkie de Jong,8118.0,Center Back,2,Barcelona,217,['489e5c33-3a44-4529-b0b3-a413b1f2d31b'],7,,,,,,,,,,,,,,,,Barcelona,217,00:00:07.085,Pass,,2020/2021
