50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,d4d0bacd-5c2f-4f08-8cd9-625de01abd3e,1,,,3773656,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Atlético Madrid,212,,0,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 6378, 'name': 'Jan Oblak'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6376, 'name': 'Stefan Savić'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 5259, 'name': 'José María Giménez de Vargas'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 2}, {'player': {'id': 6790, 'name': 'Mario Hermoso Canseco'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 22}, {'player': {'id': 3308, 'name': 'Kieran Trippier'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 23}, {'player': {'id': 5633, 'name': 'Yannick Ferreira Carrasco'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 21}, {'player': {'id': 5199, 'name': 'Jorge Resurrección Merodio'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 6840, 'name': 'Marcos Llorente Moreno'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 14}, {'player': {'id': 6381, 'name': 'Saúl Ñíguez Esclapez'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 6377, 'name': 'Ángel Martín Correa'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 12041, 'name': 'João Félix Sequeira'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 7}]}",Atlético Madrid,212,00:00:00.000,Starting XI,,2020/2021
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,9740c515-1b3f-4a66-a767-f386b6354f33,2,,,3773656,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Atlético Madrid,212,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 6826, 'name': 'Clément Lenglet'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 6947, 'name': 'Miralem Pjanić'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 8118, 'name': 'Frenkie de Jong'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 5477, 'name': 'Ousmane Dembélé'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 30486, 'name': 'Pedro González López'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 16}, {'player': {'id': 5487, 'name': 'Antoine Griezmann'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Barcelona,217,00:00:00.000,Starting XI,,2020/2021
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,ffd70c7c-73da-4a7c-913e-863758b7736a,3,,,3773656,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Atlético Madrid,212,['b7358584-5311-42ad-9125-56de267ea5af'],0,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:00.000,Half Start,,2020/2021
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,b7358584-5311-42ad-9125-56de267ea5af,4,,,3773656,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Atlético Madrid,212,['ffd70c7c-73da-4a7c-913e-863758b7736a'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2020/2021
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,99c86e99-6c40-4e06-bf61-c791f4ad0caf,2191,,,3773656,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,75,Atlético Madrid,212,['6ed8225d-9c2b-40aa-a2d9-15189d66efb8'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2020/2021
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,6ed8225d-9c2b-40aa-a2d9-15189d66efb8,2192,,,3773656,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,75,Atlético Madrid,212,['99c86e99-6c40-4e06-bf61-c791f4ad0caf'],0,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:00.000,Half Start,,2020/2021
,,,,,,,,,,,,,,,,0.769273,,,,,,,,,,,ddd8c4d0-3dd2-4ebc-bb2a-cbefeba8d23d,5,,"[60.0, 40.0]",3773656,0,,,,3.0804446,,Left Foot,,,,"[55.1, 40.3]",,Ground Pass,,4.909175,,,,Miralem Pjanić,6947.0,,,,,Kick Off,1,From Kick Off,Antoine Griezmann,5487.0,Center Forward,2,Barcelona,217,['8e04d54e-61f8-4b32-9198-c5df7702695c'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.828,Pass,,2020/2021
,,,,,,,,,,,,,,,,1.480623,,,,,,,,,,,ea3ffc90-6ee0-480d-ac0d-08d8ee36334a,8,,"[52.8, 41.3]",3773656,0,,,,2.3255293,,Right Foot,,,,"[37.0, 58.1]",,Ground Pass,,23.062523,,,,Sergi Roberto Carnicer,6379.0,,,,,,1,From Kick Off,Miralem Pjanić,6947.0,Right Defensive Midfield,2,Barcelona,217,['73b5463a-4a54-4c15-995a-5d24387327dc'],2,,,,,,,,,,,,,,,,,Barcelona,217,00:00:02.717,Pass,,2020/2021
,,,,,,,,,,,,,,,,1.117804,,,,,,,,,,,45bdb747-de74-4fbd-8611-4af94a133994,10,,"[37.0, 58.1]",3773656,0,,,,-1.8697765,,Right Foot,,,,"[32.5, 43.5]",,Ground Pass,,15.277761,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Sergi Roberto Carnicer,6379.0,Right Back,2,Barcelona,217,['333c6268-3ec2-4fbd-8b9a-43b621867ba0'],4,,,,,,,,,,,,,,,,,Barcelona,217,00:00:04.198,Pass,,2020/2021
,,,,,,,,,,,,,,,,2.055889,,,,,,,,,,,76c8772d-37b7-4eb4-b671-344f0f654bb5,13,,"[35.4, 44.4]",3773656,0,,,,1.0154302,,Right Foot,,,,"[47.5, 63.9]",,Ground Pass,,22.949074,,,,Sergi Roberto Carnicer,6379.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['34b97958-b8b9-4713-9ad1-7a07c643989e'],8,,,,,,,,,,,,,,,,,Barcelona,217,00:00:08.080,Pass,,2020/2021
,,,,,,,,,,,,,,,,1.730074,,,,,,,,,,,49ec4546-fa4b-45e9-b00e-cd90654ec6b9,16,,"[54.8, 65.3]",3773656,0,,,,-2.3399093,,Right Foot,,,,"[39.7, 49.7]",,Ground Pass,,21.711058,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Sergi Roberto Carnicer,6379.0,Right Back,2,Barcelona,217,['2fdf10fe-75ad-4ec0-a6be-36c34bb1b9c3'],12,,,,,,,,,,,,,,,,,Barcelona,217,00:00:12.055,Pass,,2020/2021
,,,,,,,,,,,,,,,,1.443387,,,,,,,,,,,0a1c87a7-5692-471d-b5ca-857937cca17f,19,,"[41.6, 48.0]",3773656,0,,,,-1.3879558,,Right Foot,,,,"[46.5, 21.5]",,Ground Pass,,26.949211,,,,Clément Lenglet,6826.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['43177a87-647a-4ad1-8190-88945df2e3a1'],14,,,,,,,,,,,,,,,,,Barcelona,217,00:00:14.746,Pass,,2020/2021
,,,,,,,,,,,,,,,,0.927316,,,,,,,,,,,ced26291-a6d6-4bf9-9c08-c7f2620a9e3d,23,,"[48.1, 20.6]",3773656,0,,,,-1.1092674,,Right Foot,,,,"[57.5, 1.7]",,Low Pass,,21.108528,,,,Jordi Alba Ramos,5211.0,,,,,,1,From Kick Off,Clément Lenglet,6826.0,Left Center Back,2,Barcelona,217,"['d475ca0b-6a1e-4d63-bd14-16a7094d99fe', 'e5b54c24-e474-4e06-b131-e252ed438077']",17,,,,,,,,,,,,,,,,,Barcelona,217,00:00:17.053,Pass,True,2020/2021
,,,,,,,,,,,,,,,,0.168521,,,,,,,,,,,10315b84-091c-47a3-8a8c-a6652c1b5ace,27,,"[60.6, 1.7]",3773656,0,,,,-0.11065722,,Left Foot,,,,"[62.4, 1.5]",,High Pass,,1.811077,,Incomplete,,,,,,,,,1,From Kick Off,Jordi Alba Ramos,5211.0,Left Back,2,Barcelona,217,"['37df8191-5991-4b64-8331-730de5b887ab', 'ef372319-c138-4d02-b248-9f7cf00aaf4f']",19,,,,,,,,,,,,,,,,,Barcelona,217,00:00:19.020,Pass,True,2020/2021
,,,,,,,,,,,,,,,,1.690272,,,,,,,,,,,442d5c30-bc60-4d05-8f51-c0c53f8a597f,29,,"[73.3, 0.1]",3773656,0,,,,2.976444,,,,,,"[56.5, 2.9]",,Low Pass,,17.031734,,,,Clément Lenglet,6826.0,,,,,Throw-in,1,From Throw In,Jordi Alba Ramos,5211.0,Left Back,3,Barcelona,217,['731e6cb6-ba27-481a-9c56-9f3e5aff368c'],31,,,,,,,,,,,,,,,,,Barcelona,217,00:00:31.834,Pass,,2020/2021
,,,,,,,,,,,,,,,,1.430326,,,,,,,,,,,b0eceea7-7186-4744-8338-9cc62c7997f6,32,,"[56.5, 6.0]",3773656,0,,,,2.1600728,,Left Foot,,,,"[44.4, 24.1]",,Ground Pass,,21.772001,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Throw In,Clément Lenglet,6826.0,Left Center Back,3,Barcelona,217,['1a8872a1-f2ec-4951-a413-cac7c05b8d95'],34,,,,,,,,,,,,,,,,,Barcelona,217,00:00:34.299,Pass,,2020/2021
,,,,,,,,,,,,,,,,1.616797,,,,,,,,,,,491758ab-0fe2-4434-ac3a-7a78c07510bd,35,,"[40.3, 27.0]",3773656,0,,,,1.3222737,,Right Foot,,,,"[50.4, 66.8]",,Low Pass,,41.06154,,,,Sergi Roberto Carnicer,6379.0,,,,,,1,From Throw In,Gerard Piqué Bernabéu,5213.0,Right Center Back,3,Barcelona,217,['517ebcd3-81dd-4814-a718-cdf2665b1cc3'],37,,,,,,,,,,,,,,,,,Barcelona,217,00:00:37.618,Pass,,2020/2021
,,,,,,,,,,,,,,,,1.192824,,,,,,,,,,,0bb6c7cb-a485-46ac-bbbf-97cada01de72,39,,"[54.2, 67.6]",3773656,0,,,,0.48724204,,Right Foot,,,,"[67.6, 74.7]",,Ground Pass,,15.164762,,,,Ousmane Dembélé,5477.0,,,,,,1,From Throw In,Sergi Roberto Carnicer,6379.0,Right Back,3,Barcelona,217,"['312456b6-1fbf-43d7-bcd9-223745d05b40', 'fcd97fef-7541-44ac-bf56-4299df03e3c1']",40,,,,,,,,,,,,,,,,,Barcelona,217,00:00:40.465,Pass,True,2020/2021
,,,,,,,,,,,,,,,,2.336778,,,,,,,,,,,c63212e0-8d40-4d6e-887f-7ee4d23e7718,41,,"[67.6, 74.7]",3773656,0,,,,-2.4369583,,Right Foot,,,,"[46.9, 57.1]",,Ground Pass,,27.170755,,Incomplete,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Throw In,Ousmane Dembélé,5477.0,Right Wing,3,Barcelona,217,"['19f82845-e674-4866-a18f-a6b549445195', 'fe246f12-949b-4739-b4bf-0556ec5d3ece']",41,,,,,,,,,,,,,,,,,Barcelona,217,00:00:41.657,Pass,,2020/2021
,,,,,,,,,,,,,,,,0.858248,,,,,,,,,,,dff1a856-d49a-40df-a686-dcbbb674c17d,45,,"[75.7, 15.6]",3773656,0,,,,-1.5152978,,Right Foot,,,,"[76.1, 8.4]",,Ground Pass,,7.2111025,,,,João Félix Sequeira,12041.0,,,,,,1,From Throw In,Ángel Martín Correa,6377.0,Right Center Forward,3,Barcelona,217,['87b3fc0e-9cd8-4350-a4a3-1f0bdf53ce51'],44,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:44.863,Pass,,2020/2021
,,,,,,,,,,,,,,,,0.430636,,,,,,,,,,,7145ef40-2c89-4417-839f-6d7860c1ff29,48,,"[90.9, 14.4]",3773656,0,,,,0.96934164,,Right Foot,,,,"[94.4, 19.5]",,Ground Pass,,6.185467,,Incomplete,,Ángel Martín Correa,6377.0,,,,,,1,From Throw In,João Félix Sequeira,12041.0,Left Center Forward,3,Barcelona,217,"['2d7aeaa8-0dc8-4ef0-a005-ed6ad2a46364', '9824ce51-1281-49df-8356-11b0d63c44a6']",47,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:47.951,Pass,,2020/2021
,,,,,,,,,,,,,,,,0.475393,,,,,,,,,,,565eb1fc-ca5b-4a0b-aa83-f90329b92868,51,,"[25.5, 56.9]",3773656,0,,,,2.714965,,Right Foot,,,,"[21.1, 58.9]",,Ground Pass,,4.8332186,,,,Sergi Roberto Carnicer,6379.0,,,,,Recovery,1,From Throw In,Miralem Pjanić,6947.0,Right Defensive Midfield,3,Barcelona,217,['fe17989a-ff83-4437-a973-d25808b77f4a'],49,,,,,,,,,,,,,,,,,Barcelona,217,00:00:49.031,Pass,,2020/2021
,,,,,,,,,,,,,,,,1.084179,,,,,,,,,,,62b0385c-bc06-4780-a582-97868ebaf815,55,,"[20.2, 71.4]",3773656,0,,,,-0.80391455,,Right Foot,,,,"[25.5, 65.9]",,Ground Pass,,7.6380625,,,,Miralem Pjanić,6947.0,,,,,,1,From Throw In,Sergi Roberto Carnicer,6379.0,Right Back,3,Barcelona,217,['e09ba7ce-060e-42e1-bc72-67ca9ec3581e'],52,,,,,,,,,,,,,,,,,Barcelona,217,00:00:52.261,Pass,,2020/2021
,,,,,,,,,,,,,,,,1.032135,,,,,,,,,,,21bd328a-64f5-4dad-ad68-0bcac7da01ee,59,,"[26.3, 64.5]",3773656,0,,,,-1.0205492,,Right Foot,,,,"[33.6, 52.6]",,Ground Pass,,13.960659,,,,Frenkie de Jong,8118.0,,,,,,1,From Throw In,Miralem Pjanić,6947.0,Right Defensive Midfield,3,Barcelona,217,"['1b1de3a3-e0cc-4c7c-bde5-1d8bd3ff1cdd', '4c00e251-e056-45af-8632-bb5439a351db']",53,,,,,,,,,,,,,,,,,Barcelona,217,00:00:53.817,Pass,True,2020/2021
,,,,,,,,,,,,,,,,1.209472,,,,,,,,,,,9e4c2a4c-f402-483d-b140-a8a7c65d4f77,62,,"[33.6, 52.6]",3773656,0,,,,-0.31290123,,Right Foot,,,,"[43.8, 49.3]",,Ground Pass,,10.720541,,,,Pedro González López,30486.0,,,,,,1,From Throw In,Frenkie de Jong,8118.0,Left Defensive Midfield,3,Barcelona,217,['3e4016c5-2e11-4008-834d-3d7c78f3d82f'],54,,,,,,,,,,,,,,,,,Barcelona,217,00:00:54.889,Pass,,2020/2021
,,,,,,,,,,,,,,,,1.658029,,,,,,,,,,,e7ea22d7-7287-480b-b4ec-4aaca93ffdf4,65,,"[44.0, 48.7]",3773656,0,,,,-1.9583857,,Left Foot,,,,"[33.1, 22.0]",,High Pass,,28.839209,,,,Jordi Alba Ramos,5211.0,,,,,,1,From Throw In,Pedro González López,30486.0,Left Wing,3,Barcelona,217,['56e6c6f2-97c2-405b-b5a9-a7f8ef827902'],56,,,,,,,,,,,,,,,,,Barcelona,217,00:00:56.099,Pass,,2020/2021
,,,,,,,,,,,,,,,,1.34844,,,,,,,,,,,613168de-43b2-4d99-a745-af2e86c1c716,68,,"[42.0, 19.7]",3773656,0,,,,1.3271475,,Left Foot,,,,"[46.4, 37.4]",,Ground Pass,,18.238695,,,,Miralem Pjanić,6947.0,,,,,,1,From Throw In,Jordi Alba Ramos,5211.0,Left Back,3,Barcelona,217,['159706a2-1379-403b-b82c-3a378533c56d'],59,,,,,,,,,,,,,,,,,Barcelona,217,00:00:59.916,Pass,,2020/2021
