50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,475f697d-0c3d-4d61-ac0b-1203d1a27a71,1,,,,3773660,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 21881, 'name': 'Sergino Dest'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 32480, 'name': 'Ronald Federico Araújo da Silva'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 6826, 'name': 'Clément Lenglet'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 5}, {'player': {'id': 8118, 'name': 'Frenkie de Jong'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 5487, 'name': 'Antoine Griezmann'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 3501, 'name': 'Philippe Coutinho Correia'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 14}, {'player': {'id': 4447, 'name': 'Martin Braithwaite Christensen'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 9}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Barcelona,217,00:00:00.000,Starting XI,,2020/2021
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,89af0e83-2fd9-4802-a356-b4928c3b4ab9,2,,,,3773660,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 23344, 'name': 'Aitor Fernández Abarisketa'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6672, 'name': 'Jorge Andújar Moreno'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 6682, 'name': 'Sergio Postigo Redondo'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 6592, 'name': 'Rúben Miguel Nunes Vezo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 23948, 'name': 'Carlos Clerc Martínez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 17303, 'name': 'Nikola Vukčević'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 23966, 'name': 'Mickaël Malsa'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 32673, 'name': 'Jorge De Frutos Sebastián'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 18}, {'player': {'id': 11669, 'name': 'Gonzalo Julián Melero Manzanares'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 22}, {'player': {'id': 30593, 'name': 'Daniel Gómez Alcón'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 21}, {'player': {'id': 6684, 'name': 'Roger Martí Salvador'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Levante UD,221,00:00:00.000,Starting XI,,2020/2021
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,52776e02-3931-4f01-9bf6-7eed04caae82,3,,,,3773660,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['3982eb2e-a485-4ea0-b118-22949d155542'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2020/2021
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,3982eb2e-a485-4ea0-b118-22949d155542,4,,,,3773660,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['52776e02-3931-4f01-9bf6-7eed04caae82'],0,,,,,,,,,,,,,,,,,Levante UD,221,00:00:00.000,Half Start,,2020/2021
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,be98bf34-8e52-47b3-a94c-112403c498e2,1875,,,,3773660,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,99,Barcelona,217,['0460e8de-0b43-4417-baab-5c52dc1e6f83'],0,,,,,,,,,,,,,,,,,Levante UD,221,00:00:00.000,Half Start,,2020/2021
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0460e8de-0b43-4417-baab-5c52dc1e6f83,1876,,,,3773660,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,99,Barcelona,217,['be98bf34-8e52-47b3-a94c-112403c498e2'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2020/2021
,,,,,,,,,,,,,,,,,0.680553,,,,,,,,,,,,,9dfd4b17-5922-4b96-803c-9316a6be42ba,5,,,"[61.0, 40.1]",3773660,0,,,,2.9733858,,Right Foot,,,,"[55.7, 41.0]",,Ground Pass,,5.375872,,,,Gonzalo Julián Melero Manzanares,11669.0,,,,,,Kick Off,1,From Kick Off,Roger Martí Salvador,6684.0,Left Center Forward,2,Levante UD,221,['0911b11d-c01e-48f4-9e12-b0900ad4314f'],0,,,,,,,,,,,,,,,,,Levante UD,221,00:00:00.364,Pass,,2020/2021
,,,,,,,,,,,,,,,,,1.529717,,,,,,,,,,,,,82d5439e-39b0-417f-98b5-1ea23e1a0512,8,,,"[58.2, 42.1]",3773660,0,,,,2.2311025,,Left Foot,,,,"[50.9, 51.5]",,Ground Pass,,11.901681,,,,Nikola Vukčević,17303.0,,,,,,,1,From Kick Off,Gonzalo Julián Melero Manzanares,11669.0,Left Midfield,2,Levante UD,221,['7bdb1d24-8245-4463-9734-325d70335a32'],2,,,,,,,,,,,,,,,,,Levante UD,221,00:00:02.591,Pass,,2020/2021
,,,,,,,,,,,,,,,,,1.69454,,,,,,,,,,,,,51f48cea-8439-4a8c-bbda-63c673c72993,11,,,"[49.9, 52.6]",3773660,0,,,,1.6452851,,Left Foot,,,,"[48.4, 72.7]",,Ground Pass,,20.155893,,,,Jorge Andújar Moreno,6672.0,,,,,,,1,From Kick Off,Nikola Vukčević,17303.0,Right Defensive Midfield,2,Levante UD,221,['458ab881-f7f7-4752-a03d-42df6410b337'],4,,,,,,,,,,,,,,,,,Levante UD,221,00:00:04.161,Pass,,2020/2021
,,,,,,,,,,,,,,,,,1.158725,,,,,,,,,,,,,d1a9cc69-d492-4211-b793-a9f75e41becc,14,,,"[47.5, 70.3]",3773660,0,,,,-2.28654,,Right Foot,,,,"[37.5, 58.8]",,Ground Pass,,15.239751,,,,Sergio Postigo Redondo,6682.0,,,,,,,1,From Kick Off,Jorge Andújar Moreno,6672.0,Right Back,2,Levante UD,221,['3b56e2b3-1745-49a0-9b24-89aae7a5833e'],7,,,,,,,,,,,,,,,,,Levante UD,221,00:00:07.000,Pass,,2020/2021
