ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0f7899bf-6895-4953-974d-cdbc06d04fd5,1,,,,3773665,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Osasuna,422,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 24211, 'name': 'Sergio Herrera Pirón'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6591, 'name': 'Ignacio Vidal Miralles'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 24212, 'name': 'Aridane Hernández Umpiérrez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 23950, 'name': 'David García Zubiría'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 33339, 'name': 'Manuel Sánchez De La Peña'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 39}, {'player': {'id': 12419, 'name': 'Lucas Torró Marset'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 30277, 'name': 'Jon Moncayola Tollar'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 27}, {'player': {'id': 23947, 'name': 'Roberto Torres Morales'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 10}, {'player': {'id': 23943, 'name': 'Rubén García Santos'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 14}, {'player': {'id': 6930, 'name': 'Jonathan Calleri'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 16}, {'player': {'id': 24315, 'name': 'Enrique Barja Afonso'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 11}]}",Osasuna,422,00:00:00.000,Starting XI,,2020/2021
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,169aa423-72a2-431c-8dc9-132edbfa893a,2,,,,3773665,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Osasuna,422,,0,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 43728, 'name': 'Óscar Mingueza García'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 28}, {'player': {'id': 6826, 'name': 'Clément Lenglet'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 15}, {'player': {'id': 5492, 'name': 'Samuel Yves Umtiti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 21881, 'name': 'Sergino Dest'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 2}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 8118, 'name': 'Frenkie de Jong'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 30486, 'name': 'Pedro González López'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 5487, 'name': 'Antoine Griezmann'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 7}]}",Barcelona,217,00:00:00.000,Starting XI,,2020/2021
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1309946d-5ab0-4e12-b352-e0de78872037,3,,,,3773665,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Osasuna,422,['ec29d7bf-0900-4c63-a0ec-6abbad9bb813'],0,,,,,,,,,,,,,,,,,Osasuna,422,00:00:00.000,Half Start,,2020/2021
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ec29d7bf-0900-4c63-a0ec-6abbad9bb813,4,,,,3773665,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Osasuna,422,['1309946d-5ab0-4e12-b352-e0de78872037'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2020/2021
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4168464d-010f-448d-aa97-584c6aa09ff5,2135,,,,3773665,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,85,Barcelona,217,['e361aba8-d6d3-4516-8d9f-6ff21f4bf145'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2020/2021
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e361aba8-d6d3-4516-8d9f-6ff21f4bf145,2136,,,,3773665,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,85,Barcelona,217,['4168464d-010f-448d-aa97-584c6aa09ff5'],0,,,,,,,,,,,,,,,,,Osasuna,422,00:00:00.000,Half Start,,2020/2021
,,,,,,,,,,,,,1.199879,,,,,,,,,,,,,755ae873-44e1-406c-a3f2-0c88edebf965,5,,,"[60.0, 40.0]",3773665,0,,,,,3.1237373,,Left Foot,,,"[48.8, 40.2]",,Ground Pass,,11.201786,,,,,Sergio Busquets i Burgos,5203.0,,,,,Kick Off,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Right Center Forward,2,Barcelona,217,['5086f420-0a75-4b58-afae-6786a224365f'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.280,Pass,,2020/2021
,,,,,,,,,,,,,1.513846,,,,,,,,,,,,,c233725b-17b1-4a73-be57-08ba74e2e9be,8,,,"[47.9, 41.8]",3773665,0,,,,,1.5617468,,Right Foot,,,"[48.1, 63.9]",,Ground Pass,,22.100904,,,,,Frenkie de Jong,8118.0,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['c2acfac2-c40d-4cff-93c6-48f30d91326c'],1,,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.812,Pass,,2020/2021
,,,,,,,,,,,,,1.59979,,,,,,,,,,,,,26f0b41c-9466-46a4-bdc9-ffbd232614c6,11,,,"[49.7, 53.9]",3773665,0,,,,,-2.1652713,,Right Foot,,,"[40.1, 39.7]",,Ground Pass,,17.140594,,,,,Clément Lenglet,6826.0,,,,,,1,From Kick Off,Frenkie de Jong,8118.0,Right Center Midfield,2,Barcelona,217,['e66be0f0-1520-4652-a05e-41ceda9beab6'],5,,,,,,,,,,,,,,,,,Barcelona,217,00:00:05.001,Pass,,2020/2021
,,,,,,,,,,,,,2.079223,,,,,,,,,,,,,7375da75-3895-448d-87cd-46164cb87038,14,,,"[40.1, 37.7]",3773665,0,,,,,-1.2023295,,Left Foot,,,"[50.1, 11.8]",,Ground Pass,,27.763466,,,,,Samuel Yves Umtiti,5492.0,,,,,,1,From Kick Off,Clément Lenglet,6826.0,Center Back,2,Barcelona,217,['05174b64-962f-4894-916b-98d580dcaae3'],6,,,,,,,,,,,,,,,,,Barcelona,217,00:00:06.946,Pass,,2020/2021
