bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,af62529a-c9d9-4beb-a7f1-fba8e2848062,1,,,3773689,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Villarreal,222,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 6755, 'name': 'Sergio Asenjo Andrés'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 21081, 'name': 'Juan Marcos Foyth'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 8}, {'player': {'id': 7030, 'name': 'Raúl Albiol i Tortajada'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 6892, 'name': 'Pau Francisco Torres'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 3515, 'name': 'Alberto Moreno Pérez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 16335, 'name': 'Samuel Chimerenka Chukwueze'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 11}, {'player': {'id': 3721, 'name': 'Etienne Capoue'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 25}, {'player': {'id': 6595, 'name': 'Daniel Parejo Muñoz'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 5}, {'player': {'id': 6771, 'name': 'Manuel Trigueros Muñoz'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 14}, {'player': {'id': 6766, 'name': 'Gerard Moreno Balaguero'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 7}, {'player': {'id': 6402, 'name': 'Francisco Alcácer García'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 17}]}",Villarreal,222,00:00:00.000,Starting XI,,2020/2021
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,c51375e2-1c7c-4bd0-81ec-d47771f684f4,2,,,3773689,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Villarreal,222,,0,,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 20055, 'name': 'Marc-André ter Stegen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 43728, 'name': 'Óscar Mingueza García'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 28}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 3}, {'player': {'id': 6826, 'name': 'Clément Lenglet'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 21881, 'name': 'Sergino Dest'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 2}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 8118, 'name': 'Frenkie de Jong'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 30486, 'name': 'Pedro González López'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 5487, 'name': 'Antoine Griezmann'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 7}]}",Barcelona,217,00:00:00.000,Starting XI,,2020/2021
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,cee53ae0-2297-4dfe-8f8c-cc9c43d267c3,3,,,3773689,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Villarreal,222,['2117a465-a340-4c2a-878b-64968341209f'],0,,,,,,,,,,,,,,,,,,Villarreal,222,00:00:00.000,Half Start,,2020/2021
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,2117a465-a340-4c2a-878b-64968341209f,4,,,3773689,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Villarreal,222,['cee53ae0-2297-4dfe-8f8c-cc9c43d267c3'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2020/2021
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,68e10e89-380f-467b-9551-6761dbb5de12,1980,,,3773689,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,80,Barcelona,217,['a70b3b4b-f729-49fa-a602-c52f75d7d69d'],0,,,,,,,,,,,,,,,,,,Villarreal,222,00:00:00.000,Half Start,,2020/2021
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,a70b3b4b-f729-49fa-a602-c52f75d7d69d,1981,,,3773689,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,80,Barcelona,217,['68e10e89-380f-467b-9551-6761dbb5de12'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2020/2021
,,,,,,,,,,,,,,,0.966925,,,,,,,,,,,,,,11cc18ab-1d15-4b2f-be66-b481f23ca65c,5,,"[61.0, 40.1]",3773689,0,,,,1.6575347,,Right Foot,,,"[60.8, 42.4]",,Ground Pass,,2.3086793,,,Gerard Moreno Balaguero,6766.0,,,,,Kick Off,1,From Kick Off,Francisco Alcácer García,6402.0,Left Center Forward,2,Villarreal,222,['9730775a-1cbb-426e-a04d-0d975a7e31da'],1,,,,,,,,,,,,,,,,,,Villarreal,222,00:00:01.456,Pass,,2020/2021
,,,,,,,,,,,,,,,1.369507,,,,,,,,,,,,,,c8b088ce-a6f5-48f8-b45d-e26e4d9cdd85,9,,"[62.1, 42.6]",3773689,0,,,,-2.241318,,Left Foot,,,"[50.6, 28.1]",,Ground Pass,,18.506756,,,Daniel Parejo Muñoz,6595.0,,,,,,1,From Kick Off,Gerard Moreno Balaguero,6766.0,Right Center Forward,2,Villarreal,222,"['2037a01f-e78c-48c3-b7d9-94c78d2cd6d5', '6b0aadee-d820-4fa1-80ab-13e1559915a1']",2,,,,,,,,,,,,,,,,,,Villarreal,222,00:00:02.825,Pass,True,2020/2021
,,,,,,,,,,,,,,,1.634354,,,,,,,,,,,,,,9090169f-feff-45b2-a848-d257370ed0bb,12,,"[48.0, 28.7]",3773689,0,,,,2.5712094,,Right Foot,,,"[32.1, 38.9]",,Ground Pass,,18.890474,,,Raúl Albiol i Tortajada,7030.0,,,,,,1,From Kick Off,Daniel Parejo Muñoz,6595.0,Left Center Midfield,2,Villarreal,222,['25ad3495-a470-42c2-862e-209ec3795b3e'],5,,,,,,,,,,,,,,,,,,Villarreal,222,00:00:05.827,Pass,,2020/2021
,,,,,,,,,,,,,,,1.147959,,,,,,,,,,,,,,d62d2de9-be32-4802-873f-7025a5806b3c,15,,"[27.6, 36.1]",3773689,0,,,,0.119428925,,Left Foot,,,"[37.6, 37.3]",,Ground Pass,,10.071743,,,Etienne Capoue,3721.0,,,,,,1,From Kick Off,Raúl Albiol i Tortajada,7030.0,Right Center Back,2,Villarreal,222,['f3e8130d-c35f-4a54-a960-5d1d18177a61'],10,,,,,,,,,,,,,,,,,,Villarreal,222,00:00:10.793,Pass,,2020/2021
