ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,5dae8323-2637-4453-82d1-6a41df6e2a0a,1,,,,3825645,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Getafe,216,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 6625, 'name': 'Vicente Guaita Panadero'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 6627, 'name': 'Damián Nicolás Suárez Suárez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 19}, {'player': {'id': 27403, 'name': 'Santiago Vergini'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 6614, 'name': 'Alexis Ruano Delgado'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 27054, 'name': 'Roberto Lago Soto'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 25881, 'name': 'Juan Antonio Rodríguez Villamuela'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 22}, {'player': {'id': 6745, 'name': 'Mehdi Lacen'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 6907, 'name': 'Pedro León Sánchez Gil'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 14}, {'player': {'id': 15893, 'name': 'Víctor Rodríguez Romero'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 18}, {'player': {'id': 6720, 'name': 'Pablo Sarabia García'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 23416, 'name': 'Stefan Šćepović'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 12}]}",Getafe,216,00:00:00.000,Starting XI,,2015/2016
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,5a6c1230-24aa-422b-b614-828107853893,2,,,,3825645,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Getafe,216,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 4691, 'name': 'Claudio Andrés Bravo Muñoz'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 6}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 10609, 'name': 'Jérémy Mathieu'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 5211, 'name': 'Jordi Alba Ramos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 6379, 'name': 'Sergi Roberto Carnicer'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 5470, 'name': 'Ivan Rakitić'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 6616, 'name': 'Munir El Haddadi Mohamed'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 4320, 'name': 'Neymar da Silva Santos Junior'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 5246, 'name': 'Luis Alberto Suárez Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2015/2016
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,e29f04e5-c4b9-4ab4-8867-608020aaa2e8,3,,,,3825645,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Getafe,216,['569d01d7-652e-4bbc-a8c2-6c20cd3aa1e8'],0,,,,,,,,,,,,,,,,,Getafe,216,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,569d01d7-652e-4bbc-a8c2-6c20cd3aa1e8,4,,,,3825645,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Getafe,216,['e29f04e5-c4b9-4ab4-8867-608020aaa2e8'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,65fe1285-4d65-48c6-883e-16fb499592d1,1938,,,,3825645,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,104,Getafe,216,['8e63581b-5606-4aaa-9523-213b616df9ce'],0,,,,,,,,,,,,,,,,,Getafe,216,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,8e63581b-5606-4aaa-9523-213b616df9ce,1939,,,,3825645,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,104,Getafe,216,['65fe1285-4d65-48c6-883e-16fb499592d1'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2015/2016
,,,,,,,,,,,,,,,,0.792296,,,,,,,,,,,944806b6-4f8b-461c-9310-7377a2396a5b,5,,,"[61.0, 40.1]",3825645,0,,True,,,1.2793396,,Left Foot,,,"[62.5, 45.1]",,Ground Pass,,5.2201533,,,,Pablo Sarabia García,6720.0,,,,,Kick Off,1,From Kick Off,Juan Antonio Rodríguez Villamuela,25881.0,Right Defensive Midfield,2,Getafe,216,['1800835d-77b6-4023-87b1-0df0c100cbfd'],1,,,,,,,,,,,,,,,,,Getafe,216,00:00:01.002,Pass,,2015/2016
,,,,,,,,,,,,,,,,1.646551,,,,,,,,,,,4599799e-3ce8-4d30-8a27-768cfd862727,7,,,"[63.1, 48.2]",3825645,0,,,,,1.1853422,,Left Foot,,,"[75.8, 79.5]",,Ground Pass,,33.778397,,,,Damián Nicolás Suárez Suárez,6627.0,,,,,,1,From Kick Off,Pablo Sarabia García,6720.0,Right Center Forward,2,Getafe,216,['5c87dfb5-5b81-4aab-9e59-c7818a6cfaa7'],3,,,,,,,,,,,,,,,,,Getafe,216,00:00:03.478,Pass,,2015/2016
,,,,,,,,,,,,,,,,2.055337,,,,,,,,,,,6d86c8a4-8c29-4308-9a09-41d8940f8ee0,10,,,"[76.1, 76.8]",3825645,0,,,,,-1.1168658,,Right Foot,,,"[98.3, 31.3]",,High Pass,,50.62697,,Incomplete,,Stefan Šćepović,23416.0,,True,,,,1,From Kick Off,Damián Nicolás Suárez Suárez,6627.0,Right Back,2,Getafe,216,"['2b963ded-f2c0-4d98-9be3-d6757cc375c1', '4a1e163a-0c4b-4547-af12-7f9e01d60e23']",6,,,,,,,,,,,,,,,,,Getafe,216,00:00:06.678,Pass,,2015/2016
,,,,,,,,,,True,,,,,,0.892248,,,,,,,,,,,4a1e163a-0c4b-4547-af12-7f9e01d60e23,12,,,"[21.8, 48.8]",3825645,0,,,,,-0.88417476,,Other,,,"[26.8, 42.7]",,Low Pass,,7.8873315,,,,Ivan Rakitić,5470.0,,,,,Interception,1,Regular Play,Daniel Alves da Silva,4324.0,Right Back,3,Barcelona,217,"['05592356-6dcd-4552-9cf7-471fe8fda306', '6d86c8a4-8c29-4308-9a09-41d8940f8ee0']",8,,,,,,,,,,,,,,,,,Barcelona,217,00:00:08.733,Pass,,2015/2016
