ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,e3111add-5b7c-4fd8-83da-4fd67e238c47,1,,,68313,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 25863, 'name': 'Juliano Haus Belletti'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 25873, 'name': 'Oleguer Presas Renom'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 17797, 'name': 'Giovanni van Bronckhorst'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 5558, 'name': 'Rafael Márquez Álvarez'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 19757, 'name': 'Anderson Luís de Souza'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 25878, 'name': 'Ludovic Giuly'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 8}, {'player': {'id': 25879, 'name': 'Ronaldo de Assis Moreira'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 19298, 'name': ""Samuel Eto''o Fils""}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2004/2005
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,5aee3e22-df39-4db7-8533-27a2990b729d,2,,,68313,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 25858, 'name': 'Ricardo Sanzol Goñi'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 25871, 'name': 'José Izquierdo Martínez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 25867, 'name': 'César Cruchaga Lasa'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 7}, {'player': {'id': 25865, 'name': 'José Romero Urtasun'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 25860, 'name': 'Enrique Corrales Martín'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 25874, 'name': 'Francisco Puñal Martínez'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 25861, 'name': 'Iñaki Muñoz Oroz'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 22}, {'player': {'id': 25869, 'name': 'David López Moreno'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 16}, {'player': {'id': 25872, 'name': 'Valmiro Lópes Rocha'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 21}, {'player': {'id': 25864, 'name': 'Mohamed El Yaagoubi'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 25876, 'name': 'Pierre Achille Webó Kouamo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 15}]}",Osasuna,422,00:00:00.000,Starting XI,,2004/2005
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,9fe587df-cd59-4dae-b4f6-6dd9baf10444,3,,,68313,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['c9e7cb9f-2eda-41f0-98bc-645cf3c45a47'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2004/2005
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,c9e7cb9f-2eda-41f0-98bc-645cf3c45a47,4,,,68313,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['9fe587df-cd59-4dae-b4f6-6dd9baf10444'],0,,,,,,,,,,,,,,,,,Osasuna,422,00:00:00.000,Half Start,,2004/2005
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,6a0acd68-1ce1-4e3a-8377-64de9d509956,1470,,,68313,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,109,Barcelona,217,['f7980a22-2664-49fc-b9c6-c996f17ba771'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2004/2005
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,f7980a22-2664-49fc-b9c6-c996f17ba771,1471,,,68313,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,109,Barcelona,217,['6a0acd68-1ce1-4e3a-8377-64de9d509956'],0,,,,,,,,,,,,,,,,,Osasuna,422,00:00:00.000,Half Start,,2004/2005
,,,,,,,,,,,,,,,2.789269,,,,,,,,,,,,,,a879b641-edcc-4440-a25f-1f743ebc30c1,5,,"[61.0, 41.0]",68313,0,,True,,,-0.21109334,,Right Foot,,,,"[73.6, 38.3]",,Ground Pass,,12.886039,,,,Francisco Puñal Martínez,25874.0,,,,,Kick Off,1,From Kick Off,Pierre Achille Webó Kouamo,25876.0,Center Forward,2,Osasuna,422,['7a0f5c2c-aa3e-449e-b4d3-53f3da1fad0f'],0,,,,,,,,,,,,,,,,,Osasuna,422,00:00:00.100,Pass,,2004/2005
,,,,,,,,,,,,,,,2.070185,,,,,,,,,,,,,,8aeb12ab-a798-4b03-951c-a3fa4c643cfd,7,,"[73.6, 38.3]",68313,0,,,,,1.3765553,,Right Foot,,,,"[74.8, 44.4]",,Ground Pass,,6.2169123,,,,Pierre Achille Webó Kouamo,25876.0,,,,,,1,From Kick Off,Francisco Puñal Martínez,25874.0,Right Defensive Midfield,2,Osasuna,422,['2240c3ae-813d-4139-b2d5-07c318bda9c7'],3,,,,,,,,,,,,,,,,,Osasuna,422,00:00:03.176,Pass,,2004/2005
,,,,,,,,,,,,,,,1.3467,,,,,,,,,,,,,,ed21b2ac-83c5-486e-88f5-ea7e2185e433,11,,"[79.8, 38.6]",68313,0,,,,,2.1527014,,Right Foot,,,,"[74.8, 46.2]",,Ground Pass,,9.097252,,,,Valmiro Lópes Rocha,25872.0,,,,,,1,From Kick Off,Pierre Achille Webó Kouamo,25876.0,Center Forward,2,Osasuna,422,"['00fad92b-8fb1-4d03-9a82-52cce173d5a4', '158b1409-08b1-4746-adcb-77e5bff8ad5f']",6,,,,,,,,,,,,,,,,,Osasuna,422,00:00:06.616,Pass,True,2004/2005
,,,,,,,,,,,,,,,0.78133,,,,,,,,,,,,,,4c413334-6f2e-48a0-ab2c-ef576e97e18a,15,,"[75.2, 40.7]",68313,0,,,,,3.0932434,,Right Foot,,,,"[69.0, 41.0]",,Ground Pass,,6.207254,,,,Francisco Puñal Martínez,25874.0,,,,,,1,From Kick Off,Valmiro Lópes Rocha,25872.0,Center Attacking Midfield,2,Osasuna,422,['21c4824b-ed35-41d8-a9ae-37d0df7133fd'],10,,,,,,,,,,,,,,,,,Osasuna,422,00:00:10.342,Pass,,2004/2005
