bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d51d2e26-c2ed-4313-908d-73376c5bd609,1,,,68315,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 6730, 'name': 'Rubén Iván Martínez Andrade'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 28}, {'player': {'id': 25896, 'name': 'Damià Abella Pérez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 32}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 25873, 'name': 'Oleguer Presas Renom'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 17797, 'name': 'Giovanni van Bronckhorst'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 19757, 'name': 'Anderson Luís de Souza'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 24}, {'player': {'id': 25863, 'name': 'Juliano Haus Belletti'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 2}, {'player': {'id': 25879, 'name': 'Ronaldo de Assis Moreira'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 19298, 'name': ""Samuel Eto''o Fils""}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2004/2005
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8af7995d-ff3d-46e3-a1f2-a8505f8ba46c,2,,,68315,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 25891, 'name': 'Juan Luis Mora Palacios'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 25889, 'name': 'Pablo Pinillos Caro'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 14}, {'player': {'id': 25888, 'name': 'Jose Antonio Culebras Arenas'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 24}, {'player': {'id': 25887, 'name': 'José Alejandro Suárez Martín'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 25894, 'name': 'Iñaki Descarga Retegi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 20321, 'name': 'Fabio Celestini'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 25893, 'name': 'Alberto Rivera Pizarro'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 25895, 'name': 'Felix Dja Ettien Yohou'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 25892, 'name': 'Ignacio Pérez Santamaría'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 15}, {'player': {'id': 25890, 'name': 'Jofre González Mateu'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 20182, 'name': 'Vladimir Manchev'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 18}]}",Levante UD,221,00:00:00.000,Starting XI,,2004/2005
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2486cce6-ffec-4693-982f-825128ed5466,3,,,68315,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['1ed7820a-3667-45ed-845b-ac03abe3f77b'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2004/2005
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1ed7820a-3667-45ed-845b-ac03abe3f77b,4,,,68315,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['2486cce6-ffec-4693-982f-825128ed5466'],0,,,,,,,,,,,,,,,,,Levante UD,221,00:00:00.000,Half Start,,2004/2005
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2baff1ca-21ac-4ecb-8b6a-cc701592b39f,1701,,,68315,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,112,Barcelona,217,['362c9827-b428-4a33-9235-1510f895517d'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2004/2005
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,362c9827-b428-4a33-9235-1510f895517d,1702,,,68315,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,112,Barcelona,217,['2baff1ca-21ac-4ecb-8b6a-cc701592b39f'],0,,,,,,,,,,,,,,,,,Levante UD,221,00:00:00.000,Half Start,,2004/2005
,,,,,,,,,,,,,,,,,1.216535,,,,,,,,,,,,,7c939c81-e785-473b-90ab-463894679010,5,,"[61.0, 41.0]",68315,0,,,,,3.1161745,,Left Foot,,,"[49.2, 41.3]",,Ground Pass,,11.803813,,,,Fabio Celestini,20321.0,,,,,Kick Off,1,From Kick Off,Vladimir Manchev,20182.0,Center Forward,2,Levante UD,221,['cdc2b1d1-2909-4932-82d0-b34cc7819c0d'],0,,,,,,,,,,,,,,,,,Levante UD,221,00:00:00.927,Pass,,2004/2005
,,,,,,,,,,,,,,,,,2.933729,,,,,,,,,,,,,3f0fb18b-55c1-4d5e-9f3a-a52519914abb,9,,"[46.5, 41.1]",68315,0,,,,,1.1314802,,Right Foot,,,"[63.7, 77.7]",,High Pass,,40.44008,,,,Felix Dja Ettien Yohou,25895.0,,,,,,1,From Kick Off,Fabio Celestini,20321.0,Right Defensive Midfield,2,Levante UD,221,"['72d3188c-cb43-4565-aae9-9ee7a97968c6', '990411b1-9ed5-4e39-baf0-2a0e082dacbf']",2,,,,,,,,,,,,,,,,,Levante UD,221,00:00:02.715,Pass,True,2004/2005
,,,,,,,,,,,,,,,,,1.1465,,,,,,,,,,,,,76815057-b4cd-4ba8-aa66-f0d328716e42,12,,"[58.7, 78.7]",68315,0,,,,,3.1205432,,Right Foot,,,"[49.2, 78.9]",,Ground Pass,,9.502105,,,,Iñaki Descarga Retegi,25894.0,,,,,,1,From Kick Off,Felix Dja Ettien Yohou,25895.0,Right Wing,2,Levante UD,221,['28af3a8d-7fbb-47fc-b548-7a9ea8e3a002'],7,,,,,,,,,,,,,,,,,Levante UD,221,00:00:07.896,Pass,,2004/2005
,,,,,,,,,,,,,,,,,2.382,,,,,,,,,,,,,cd2273d0-0fa1-4e00-b6b2-93b58f8503e9,15,,"[49.2, 78.9]",68315,0,,,,,-0.056795042,,Right Foot,,,"[79.1, 77.2]",,High Pass,,29.948288,,,,Vladimir Manchev,20182.0,,,,,,1,From Kick Off,Iñaki Descarga Retegi,25894.0,Left Back,2,Levante UD,221,['ee9de484-75b4-44ed-953f-08b1ac2cd82f'],9,,,,,,,,,,,,,,,,,Levante UD,221,00:00:09.138,Pass,,2004/2005
