bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,863684db-e88c-4fa8-8486-4ebc484c2998,1,,,68319,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Madrid,220,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 11179, 'name': 'Iker Casillas Fernández'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 15601, 'name': 'Miguel Ángel Salgado Fernández'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5201, 'name': 'Sergio Ramos García'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 15584, 'name': 'Iván Helguera Bujía'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 25926, 'name': 'Roberto Carlos da Silva'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 25932, 'name': 'Pablo Gabriel García Pérez'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 15661, 'name': 'David Beckham'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 15607, 'name': 'Raúl González Blanco'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 15074, 'name': 'Zinédine Zidane'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 5}, {'player': {'id': 25930, 'name': 'Róbson de Souza'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 25928, 'name': 'Ronaldo Luíz Nazário de Lima'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Real Madrid,220,00:00:00.000,Starting XI,,2005/2006
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,756fd822-a6bc-43b2-8529-497b4534cdaf,2,,,68319,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Madrid,220,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 25873, 'name': 'Oleguer Presas Renom'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 5558, 'name': 'Rafael Márquez Álvarez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 17797, 'name': 'Giovanni van Bronckhorst'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 25910, 'name': 'José Edmílson Gomes de Moraes'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 19757, 'name': 'Anderson Luís de Souza'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 30}, {'player': {'id': 25879, 'name': 'Ronaldo de Assis Moreira'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 19298, 'name': ""Samuel Eto''o Fils""}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2005/2006
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,9b9b4ba2-9f89-4540-8e42-396f2e320e68,3,,,68319,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Madrid,220,['351c817d-fadd-4ac6-a683-e7900ad7e449'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2005/2006
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,351c817d-fadd-4ac6-a683-e7900ad7e449,4,,,68319,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Madrid,220,['9b9b4ba2-9f89-4540-8e42-396f2e320e68'],0,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.000,Half Start,,2005/2006
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,caa53f15-beac-4633-8c66-cd6563e47fd0,1786,,,68319,45,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,97,Barcelona,217,['6c31a8f2-5cdb-4344-9860-b333c757e627'],0,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.000,Half Start,,2005/2006
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,6c31a8f2-5cdb-4344-9860-b333c757e627,1787,,,68319,45,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,97,Barcelona,217,['caa53f15-beac-4633-8c66-cd6563e47fd0'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2005/2006
,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,a30b2459-21df-40bf-bac4-89fd63016ea5,5,,"[61.0, 41.0]",68319,0,,,,1.7506498,,Left Foot,,,"[60.6, 43.2]",,Ground Pass,,2.236068,,,Samuel Eto''o Fils,19298.0,,,,,Kick Off,1,From Kick Off,Ronaldo de Assis Moreira,25879.0,Left Wing,2,Barcelona,217,['df20d4ec-4a17-43d3-80de-4f26917ef998'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.665,Pass,,2005/2006
,,,,,,,,,,,,,,,,1.219348,,,,,,,,,,,,d098180f-ff12-4d40-9d66-604891bb904d,8,,"[60.6, 43.8]",68319,0,,,,-2.8041365,,Right Foot,,,"[43.5, 37.8]",,Ground Pass,,18.122086,,,José Edmílson Gomes de Moraes,25910.0,,,,,,1,From Kick Off,Samuel Eto''o Fils,19298.0,Center Forward,2,Barcelona,217,['a620b9d9-947c-46e7-9529-7467ecce98ce'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.726,Pass,,2005/2006
,,,,,,,,,,,,,,,,1.122903,,,,,,,,,,,,b7934404-ddb5-4c00-9467-2bcecd8b6f32,11,,"[43.5, 37.8]",68319,0,,,,1.3200871,,Right Foot,,,"[45.6, 46.0]",,Ground Pass,,8.464632,,,Xavier Hernández Creus,20131.0,,,,,,1,From Kick Off,José Edmílson Gomes de Moraes,25910.0,Center Defensive Midfield,2,Barcelona,217,['c1ba274d-1e85-4e50-b7d3-045de9bdc326'],2,,,,,,,,,,,,,,,,,Barcelona,217,00:00:02.956,Pass,,2005/2006
,,,,,,,,,,,,,,,,1.435592,,,,,,,,,,,,d1b168fe-4cf0-43f0-91d7-aafe9a92070c,14,,"[46.1, 44.9]",68319,0,,,,-2.068139,,Right Foot,,,"[40.4, 34.4]",,Ground Pass,,11.947385,,,José Edmílson Gomes de Moraes,25910.0,,,,,,1,From Kick Off,Xavier Hernández Creus,20131.0,Right Center Midfield,2,Barcelona,217,['ce4c5fff-ab31-41e2-b7d3-96271c6a8f1f'],5,,,,,,,,,,,,,,,,,Barcelona,217,00:00:05.012,Pass,,2005/2006
