ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_success_in_play,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,56583385-e7d1-4ad1-b2b8-1633fc848d4c,1,,,68320,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Villarreal,222,,0,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 25936, 'name': 'Mario Sebastián Viera Galain'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 25937, 'name': 'Javier Rodríguez Venta'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 17}, {'player': {'id': 25931, 'name': 'Gonzalo Javier Rodríguez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 25933, 'name': 'Juan Manuel Peña Montaño'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 22}, {'player': {'id': 25935, 'name': 'Rodolfo Martín Arruabarrena'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 25939, 'name': 'José Joaquín Moreno Verdú'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 20135, 'name': 'Marcos Antonio Senna da Silva'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 25934, 'name': 'Juan Román Riquelme'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 8}, {'player': {'id': 25940, 'name': 'José María Romero Poyón'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 23}, {'player': {'id': 25938, 'name': 'Juan Pablo Sorín'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 12}, {'player': {'id': 25941, 'name': 'Luciano Gabriel Figueroa Herrera'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Villarreal,222,00:00:00.000,Starting XI,,2005/2006
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,08f12018-2728-4acc-826f-a64d93eebf19,2,,,68320,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Villarreal,222,,0,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 25873, 'name': 'Oleguer Presas Renom'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 5558, 'name': 'Rafael Márquez Álvarez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 25854, 'name': 'Sylvio Mendes Campos Junior'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 16}, {'player': {'id': 25910, 'name': 'José Edmílson Gomes de Moraes'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 4325, 'name': 'Thiago Motta'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 3}, {'player': {'id': 19757, 'name': 'Anderson Luís de Souza'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 30}, {'player': {'id': 25879, 'name': 'Ronaldo de Assis Moreira'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 19298, 'name': ""Samuel Eto''o Fils""}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2005/2006
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,fd84aa96-50c8-40fb-a8f2-5678b17c3612,3,,,68320,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Villarreal,222,['686e96ed-5ff6-4d79-821e-85522835415b'],0,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2005/2006
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,686e96ed-5ff6-4d79-821e-85522835415b,4,,,68320,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Villarreal,222,['fd84aa96-50c8-40fb-a8f2-5678b17c3612'],0,,,,,,,,,,,,,,,Villarreal,222,00:00:00.000,Half Start,,2005/2006
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,075c397a-1767-495e-807a-8a97f32a1e01,1708,,,68320,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,100,Barcelona,217,['4eedae93-dcef-4ded-b665-ac783a820b2f'],0,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2005/2006
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,4eedae93-dcef-4ded-b665-ac783a820b2f,1709,,,68320,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,100,Barcelona,217,['075c397a-1767-495e-807a-8a97f32a1e01'],0,,,,,,,,,,,,,,,Villarreal,222,00:00:00.000,Half Start,,2005/2006
,,,,,,,,,,,,,,,0.2437,,,,,,,,,,,,,,,3d6d9955-c0f7-46e8-870f-b0be3b053d21,5,,"[61.0, 41.0]",68320,0,,,,1.8925469,,Right Foot,,,,"[60.3, 43.1]",,Ground Pass,,2.2135944,,,,José María Romero Poyón,25940.0,,,,,,Kick Off,1,From Kick Off,Luciano Gabriel Figueroa Herrera,25941.0,Center Forward,2,Villarreal,222,['20656dff-fdab-4ff3-86f9-6ca41dd94ae1'],0,,,,,,,,,,,,,,,Villarreal,222,00:00:00.200,Pass,,2005/2006
,,,,,,,,,,,,,,,1.6194,,,,,,,,,,,,,,,0df36983-4d73-482e-a7e6-b85aa29f5644,8,,"[60.7, 43.4]",68320,0,,,,-2.776168,,Right Foot,,,,"[49.2, 39.0]",,Ground Pass,,12.313002,,,,Juan Román Riquelme,25934.0,,,,,,,1,From Kick Off,José María Romero Poyón,25940.0,Center Attacking Midfield,2,Villarreal,222,['1c4553ca-81ab-460b-93b6-a55579e9f679'],0,,,,,,,,,,,,,,,Villarreal,222,00:00:00.483,Pass,,2005/2006
,,,,,,,,,,,,,,,1.882764,,,,,,,,,,,,,,,65c0b190-530a-47f9-ab63-e41020145c91,11,,"[51.6, 43.1]",68320,0,,,,0.67283255,,Right Foot,,,,"[64.4, 53.3]",,High Pass,,16.36704,,Incomplete,,José María Romero Poyón,25940.0,,,,,,,1,From Kick Off,Juan Román Riquelme,25934.0,Right Wing,2,Villarreal,222,"['7eea4eed-350c-4d73-bdad-a33663a52af1', 'bed5f4f8-01b7-424f-ac32-5b0fbfda781f']",3,,,,,,,,,,,,,,,Villarreal,222,00:00:03.162,Pass,,2005/2006
,,,,,,,,,,,,,,,0.649,,,,,,,,,,,,,,,bed5f4f8-01b7-424f-ac32-5b0fbfda781f,14,,"[56.6, 27.7]",68320,0,,,,2.6779451,,Head,,,,"[55.0, 28.5]",,Low Pass,,1.7888544,,,,Ronaldo de Assis Moreira,25879.0,,,,,,Recovery,1,From Kick Off,Sylvio Mendes Campos Junior,25854.0,Left Back,2,Villarreal,222,"['65c0b190-530a-47f9-ab63-e41020145c91', 'e1db9031-efa9-486b-9e58-064a466b1778']",5,,,,,,,,,,,,,,,Barcelona,217,00:00:05.045,Pass,,2005/2006
