50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0b683743-3309-4f70-9d30-cab46b032878,1,,,68323,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 25873, 'name': 'Oleguer Presas Renom'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 5558, 'name': 'Rafael Márquez Álvarez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 25854, 'name': 'Sylvio Mendes Campos Junior'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 16}, {'player': {'id': 25910, 'name': 'José Edmílson Gomes de Moraes'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 24}, {'player': {'id': 19757, 'name': 'Anderson Luís de Souza'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 30}, {'player': {'id': 25879, 'name': 'Ronaldo de Assis Moreira'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 19298, 'name': ""Samuel Eto''o Fils""}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2005/2006
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c7f1d2e3-da48-4cbd-924e-34fbfb1ee043,2,,,68323,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 25971, 'name': 'Esteban Andrés Suárez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 25984, 'name': 'Ángel Domingo López Ruano'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 8}, {'player': {'id': 25969, 'name': 'Sergio Fernández González'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 25973, 'name': 'Matías Emanuel Lequi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 25976, 'name': 'Diego Rodolfo Placente'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 25978, 'name': 'Iriney Santos Da Silva'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 25}, {'player': {'id': 25986, 'name': 'Borja Oubiña Meléndez'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 25982, 'name': 'Antonio Núñez Tena'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 25980, 'name': 'Néstor Fabián Canobbio Bentaberry'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 24}, {'player': {'id': 3064, 'name': 'David Josué Jiménez Silva'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 16}, {'player': {'id': 25988, 'name': 'João Fernando Nelo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 18}]}",Celta Vigo,209,00:00:00.000,Starting XI,,2005/2006
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a8d2cd96-2fd9-4dd2-b7e4-ad405366b802,3,,,68323,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['48fb7d93-5bf2-40c6-a088-c11462b0b0d8'],0,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:00.000,Half Start,,2005/2006
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,48fb7d93-5bf2-40c6-a088-c11462b0b0d8,4,,,68323,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['a8d2cd96-2fd9-4dd2-b7e4-ad405366b802'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2005/2006
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,401e22b7-885d-4c4d-a203-9fd3774c65ca,1776,,,68323,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,120,Barcelona,217,['626b3971-a759-4b20-bdfa-f5c6fc18b5a6'],0,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:00.000,Half Start,,2005/2006
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,626b3971-a759-4b20-bdfa-f5c6fc18b5a6,1777,,,68323,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,120,Barcelona,217,['401e22b7-885d-4c4d-a203-9fd3774c65ca'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2005/2006
,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,16e6d251-9a97-43be-8cdc-51fcd81d2a10,5,,"[61.0, 41.0]",68323,0,,,,,-0.38050637,,Right Foot,,"[62.5, 40.4]",,Ground Pass,,1.6155494,,,Néstor Fabián Canobbio Bentaberry,25980.0,,,,,,Kick Off,1,From Kick Off,João Fernando Nelo,25988.0,Center Forward,2,Celta Vigo,209,['72b2c7a4-82bb-40c7-8942-85abb6549b08'],0,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:00.009,Pass,,2005/2006
,,,,,,,,,,,,,,,,,,1.947172,,,,,,,,,,,,,0fefd645-d307-4d87-a9ec-3d5daa45c94a,8,,"[61.7, 41.5]",68323,0,,,,,-2.6234536,,Right Foot,,"[51.0, 35.4]",,Ground Pass,,12.316655,,,Borja Oubiña Meléndez,25986.0,,,,,,,1,From Kick Off,Néstor Fabián Canobbio Bentaberry,25980.0,Center Attacking Midfield,2,Celta Vigo,209,['f29f673d-83c3-4e5c-a58e-f9eb823a54d9'],1,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:01.117,Pass,,2005/2006
,,,,,,,,,,,,,,,,,,1.5472,,,,,,,,,,,,,8440fed1-f500-496e-9d45-cf5a4bb1f491,11,,"[49.3, 36.2]",68323,0,,,,,1.8827019,,Right Foot,,"[42.4, 57.6]",,Ground Pass,,22.484884,,,Ángel Domingo López Ruano,25984.0,,,,,,,1,From Kick Off,Borja Oubiña Meléndez,25986.0,Left Defensive Midfield,2,Celta Vigo,209,['127f1bec-5735-4453-82f9-750328a635f6'],6,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:06.038,Pass,,2005/2006
,,,,,,,,,,,,,,,,,,1.4343,,,,,,,,,,,,,e0011659-6091-4f49-aa7c-fe82334b68c3,15,,"[42.8, 58.3]",68323,0,,,,,0.9155483,,Right Foot,,"[51.1, 69.1]",,Ground Pass,,13.62094,Incomplete,,,,,,,,,,1,From Kick Off,Ángel Domingo López Ruano,25984.0,Right Back,2,Celta Vigo,209,"['115616f7-b581-4e57-b2e1-d223884f7a4e', 'cf4bb2ec-bf90-4c78-9995-05aa37e4f354']",7,,,,,,,,,,,,,,,,,Celta Vigo,209,00:00:07.673,Pass,True,2005/2006
