ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,83ca9a05-8210-483e-900e-4020c013b4f9,1,,,68324,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 25873, 'name': 'Oleguer Presas Renom'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 5558, 'name': 'Rafael Márquez Álvarez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 25854, 'name': 'Sylvio Mendes Campos Junior'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 16}, {'player': {'id': 25910, 'name': 'José Edmílson Gomes de Moraes'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 19296, 'name': 'Mark van Bommel'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 24}, {'player': {'id': 25878, 'name': 'Ludovic Giuly'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 8}, {'player': {'id': 25879, 'name': 'Ronaldo de Assis Moreira'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 15743, 'name': 'Henrik Larsson'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Barcelona,217,00:00:00.000,Starting XI,,2005/2006
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,bb8980fb-540e-4639-9d0c-8a36865a9bfb,2,,,68324,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 25974, 'name': 'Franco Costanzo'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 25979, 'name': 'Eduardo Alonso Álvarez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 17}, {'player': {'id': 25983, 'name': 'Josu Sarriegi Zumárraga'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 25883, 'name': 'Juan Jesús Gutiérrez Robles'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 25985, 'name': 'David Coromina Pararols'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 25975, 'name': 'Blagoy Georgiev'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 7}, {'player': {'id': 25981, 'name': 'Santiago Carpintero Fernández'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 25977, 'name': 'Alejandro Castro Fernández'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 25764, 'name': 'Anderson Luis de Carvalho'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 23}, {'player': {'id': 25856, 'name': 'John Aloisi'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 22}, {'player': {'id': 25987, 'name': 'Rodolfo Bodipo Díaz'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 19}]}",Deportivo Alavés,206,00:00:00.000,Starting XI,,2005/2006
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,ea2982bd-de80-463f-81b1-c396b8561fd2,3,,,68324,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['6cfd5f47-f944-414d-9041-58debbe3b201'],0,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2005/2006
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,6cfd5f47-f944-414d-9041-58debbe3b201,4,,,68324,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['ea2982bd-de80-463f-81b1-c396b8561fd2'],0,,,,,,,,,,,,,,,,,,,Deportivo Alavés,206,00:00:00.000,Half Start,,2005/2006
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,8ad041c5-812e-4ce5-a448-f49f36b8988a,1727,,,68324,45,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,116,Deportivo Alavés,206,['6e63554e-b073-4090-9e38-ead7c1d40db4'],0,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2005/2006
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,6e63554e-b073-4090-9e38-ead7c1d40db4,1728,,,68324,45,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,116,Deportivo Alavés,206,['8ad041c5-812e-4ce5-a448-f49f36b8988a'],0,,,,,,,,,,,,,,,,,,,Deportivo Alavés,206,00:00:00.000,Half Start,,2005/2006
,,,,,,,,,,,,,,,,,0.3502,,,,,,,,,,,,,,,,39eb168a-ccc9-4546-8a41-f0d4f0a4f451,5,,"[60.0, 40.0]",68324,0,True,,,1.6207547,,Right Foot,,"[59.9, 42.0]",Ground Pass,,2.0024984,,,,Andrés Iniesta Luján,5216.0,,,,,Kick Off,1,From Kick Off,Henrik Larsson,15743.0,Center Forward,2,Barcelona,217,['0fae4ca0-2fe0-43b8-b09d-f81b71194d33'],0,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.400,Pass,,2005/2006
,,,,,,,,,,,,,,,,,1.1617,,,,,,,,,,,,,,,,7b7ada73-86b1-4d66-a21b-ced3d480d7f7,7,,"[59.8, 41.4]",68324,0,,,,-2.9060476,,Right Foot,,"[49.8, 39.0]",Ground Pass,,10.283968,,,,Ronaldo de Assis Moreira,25879.0,,,,,,1,From Kick Off,Andrés Iniesta Luján,5216.0,Left Center Midfield,2,Barcelona,217,['d4de6412-b731-4533-9c33-967961ec3fd9'],0,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.750,Pass,,2005/2006
,,,,,,,,,,,,,,,,,2.2389,,,,,,,,,,,,,,,,524621f5-9900-43f9-8951-92756455104c,11,,"[48.2, 39.0]",68324,0,,,,-2.2787983,,Right Foot,,"[36.9, 25.8]",Ground Pass,,17.376133,,,,Carles Puyol i Saforcada,20125.0,,,,,,1,From Kick Off,Ronaldo de Assis Moreira,25879.0,Left Wing,2,Barcelona,217,"['8397008b-a76a-4cb8-b314-4355e7c77fd2', 'c7d10d90-2c0c-4972-9464-b46b4e29171c']",3,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:03.363,Pass,True,2005/2006
,,,,,,,,,,,,,,,,,1.6764,,,,,,,,,,,,,,,,7ba78ec2-8405-4564-91e3-2d507bffebdd,14,,"[37.4, 24.8]",68324,0,,,,1.4992852,,Right Foot,,"[39.9, 59.7]",Ground Pass,,34.989426,,,,Rafael Márquez Álvarez,5558.0,,,,,,1,From Kick Off,Carles Puyol i Saforcada,20125.0,Left Center Back,2,Barcelona,217,['7b9d0381-a471-435f-81e5-fb294e14ed5f'],6,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:06.965,Pass,,2005/2006
