bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5ca799a7-da37-498f-96c7-77ff2f5df272,1,,,68325,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Mallorca,1043,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 7069, 'name': 'Miguel Ángel Moyà Rumbo'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 25994, 'name': 'David Cortés Caballero'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 8}, {'player': {'id': 25991, 'name': 'Eduardo Nicolás Tuzzio'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 20}, {'player': {'id': 25992, 'name': 'José Carlos de Araújo Nunes'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 16}, {'player': {'id': 6913, 'name': 'Fernando Navarro i Corbacho'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 25996, 'name': 'Cristiano Doni'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 25998, 'name': 'Francisco Javier Farinós Zapata'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 25997, 'name': 'Jonás Manuel Gutiérrez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 25993, 'name': 'Yoshito Ōkubo'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 17}, {'player': {'id': 25995, 'name': 'Juan Fernando Arango Sáenz'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 18}, {'player': {'id': 23791, 'name': 'Víctor Casadesús Castaño'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Mallorca,1043,00:00:00.000,Starting XI,,2005/2006
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c4a95513-a43e-4ac4-bbaa-25f45a23cdbd,2,,,68325,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Mallorca,1043,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 25873, 'name': 'Oleguer Presas Renom'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 5558, 'name': 'Rafael Márquez Álvarez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 25854, 'name': 'Sylvio Mendes Campos Junior'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 16}, {'player': {'id': 25910, 'name': 'José Edmílson Gomes de Moraes'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 19296, 'name': 'Mark van Bommel'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 19757, 'name': 'Anderson Luís de Souza'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 25878, 'name': 'Ludovic Giuly'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 8}, {'player': {'id': 25879, 'name': 'Ronaldo de Assis Moreira'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 15743, 'name': 'Henrik Larsson'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Barcelona,217,00:00:00.000,Starting XI,,2005/2006
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,add82d1b-9b53-4dd4-95c7-401bd3afedf0,3,,,68325,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Mallorca,1043,['a0df79d2-d85b-40e2-a6d7-c18516fa352c'],0,,,,,,,,,,,,,,,,,Mallorca,1043,00:00:00.000,Half Start,,2005/2006
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a0df79d2-d85b-40e2-a6d7-c18516fa352c,4,,,68325,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Mallorca,1043,['add82d1b-9b53-4dd4-95c7-401bd3afedf0'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2005/2006
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,033ba248-a9d8-447c-9d89-2725aa6f187d,1778,,,68325,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,118,Barcelona,217,['0d846ccf-b514-4562-b83e-4b5037d3e8b2'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2005/2006
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0d846ccf-b514-4562-b83e-4b5037d3e8b2,1779,,,68325,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,118,Barcelona,217,['033ba248-a9d8-447c-9d89-2725aa6f187d'],0,,,,,,,,,,,,,,,,,Mallorca,1043,00:00:00.000,Half Start,,2005/2006
,,,,,,,,,,,,,,,2.62796,,,,,,,,,,,,,0da5bc5a-f1ff-4b3a-8828-55373d7bc007,5,,"[60.0, 40.0]",68325,0,,,,,-3.0828369,,Right Foot,,,,"[43.0, 39.0]",,Ground Pass,,17.029387,,,,Francisco Javier Farinós Zapata,25998.0,,,,,,Kick Off,1,From Kick Off,Víctor Casadesús Castaño,23791.0,Center Forward,2,Mallorca,1043,['b5039205-edf8-4d63-8cbf-182c3b86849a'],0,,,,,,,,,,,,,,,,,Mallorca,1043,00:00:00.546,Pass,,2005/2006
,,,,,,,,,,,,,,,2.0915,,,,,,,,,,,,,9e08abd6-8ed8-4c87-904c-0a9c60ca0f5c,9,,"[43.8, 39.4]",68325,0,,,,,0.9181997,,Right Foot,,,,"[66.5, 69.1]",,High Pass,,37.381546,,,,Jonás Manuel Gutiérrez,25997.0,,,,,,,1,From Kick Off,Francisco Javier Farinós Zapata,25998.0,Left Defensive Midfield,2,Mallorca,1043,"['3683cf9e-9568-4294-8a33-1e5606addcc9', 'ca71377b-7852-4b65-b829-08fa8d5b1be3']",4,,,,,,,,,,,,,,,,,Mallorca,1043,00:00:04.226,Pass,True,2005/2006
,,,,,,,,,,,,,,,1.090919,,,,,,,,,,,,,529627c7-afca-404b-affb-ac55701a2318,11,,"[66.7, 69.1]",68325,0,,,,,-2.0683293,,Head,,,,"[60.4, 57.5]",,High Pass,,13.200378,,,,Cristiano Doni,25996.0,,,,,,,1,From Kick Off,Jonás Manuel Gutiérrez,25997.0,Right Wing,2,Mallorca,1043,['cdd1ab5e-c9f1-405f-a12c-e57b62738796'],6,,,,,,,,,,,,,,,,,Mallorca,1043,00:00:06.358,Pass,,2005/2006
,,,,,,,,,,,,,,,3.954027,,,,,,,,,,,,,ed1a9899-f8bb-4a0f-ba1e-93cf11930804,14,,"[59.8, 62.4]",68325,0,,,,,0.5323225,,Right Foot,,,,"[89.0, 79.6]",,High Pass,,33.889233,,Out,,,,,,,,,,1,From Kick Off,Cristiano Doni,25996.0,Right Defensive Midfield,2,Mallorca,1043,,7,,,,,,,,,,,,,,,,,Mallorca,1043,00:00:07.962,Pass,,2005/2006
