bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_success_in_play,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,198e540a-7daa-4522-97c9-7c89b970430b,1,,,68330,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Madrid,220,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 11179, 'name': 'Iker Casillas Fernández'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5201, 'name': 'Sergio Ramos García'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 4}, {'player': {'id': 15584, 'name': 'Iván Helguera Bujía'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 21}, {'player': {'id': 15775, 'name': 'Fabio Cannavaro'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 25926, 'name': 'Roberto Carlos da Silva'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 26021, 'name': 'Mahamadou Diarra'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 26019, 'name': 'Émerson Ferreira da Rosa'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 15607, 'name': 'Raúl González Blanco'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 25924, 'name': 'José Maria Gutiérrez Hernández'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 14}, {'player': {'id': 25930, 'name': 'Róbson de Souza'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 19729, 'name': 'Ruud van Nistelrooy'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 17}]}",Real Madrid,220,00:00:00.000,Starting XI,,2006/2007
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,1cc098cb-9225-4504-956c-43a6235791d3,2,,,68330,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Madrid,220,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 15774, 'name': 'Gianluca Zambrotta'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 11}, {'player': {'id': 15071, 'name': 'Lilian Thuram'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 21}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 25854, 'name': 'Sylvio Mendes Campos Junior'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 16}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 24}, {'player': {'id': 19757, 'name': 'Anderson Luís de Souza'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 30}, {'player': {'id': 25879, 'name': 'Ronaldo de Assis Moreira'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 11270, 'name': 'Eiður Smári Guðjohnsen'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Barcelona,217,00:00:00.000,Starting XI,,2006/2007
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,217e2540-d58d-402e-bbf1-af7368b9cee6,3,,,68330,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Madrid,220,['8748eea8-747a-491d-9c07-a0db1ff3679e'],0,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.000,Half Start,,2006/2007
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,8748eea8-747a-491d-9c07-a0db1ff3679e,4,,,68330,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Madrid,220,['217e2540-d58d-402e-bbf1-af7368b9cee6'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2006/2007
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,69269bb0-646f-42ed-99c8-bacca06b78ea,1789,,,68330,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,104,Barcelona,217,['54ff5243-b35c-429c-9654-5e279973573c'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2006/2007
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,54ff5243-b35c-429c-9654-5e279973573c,1790,,,68330,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,104,Barcelona,217,['69269bb0-646f-42ed-99c8-bacca06b78ea'],0,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.000,Half Start,,2006/2007
,,,,,,,,,,,,,,,0.7477,,,,,,,,,,,,2d4d86fd-a661-4081-9b2a-ca62b7782258,5,,"[60.0, 40.0]",68330,0,,,,-1.487655,,Right Foot,,,,"[60.2, 37.6]",,Ground Pass,,2.408319,,,Ruud van Nistelrooy,19729.0,,,,,Kick Off,1,From Kick Off,Raúl González Blanco,15607.0,Right Wing,2,Real Madrid,220,['b7581323-5e5c-47a1-9fbc-1d2b3c94759d'],0,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.200,Pass,,2006/2007
,,,,,,,,,,,,,,,1.035819,,,,,,,,,,,,be8b9c40-4e0b-4464-a494-4359e74e87b7,7,,"[59.8, 36.7]",68330,0,,,,2.4092846,,Left Foot,,,,"[48.9, 46.5]",,Ground Pass,,14.657763,,,Mahamadou Diarra,26021.0,,,,,,1,From Kick Off,Ruud van Nistelrooy,19729.0,Center Forward,2,Real Madrid,220,['9fedd862-2fd7-494e-9009-d1df9f5a24fb'],0,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.947,Pass,,2006/2007
,,,,,,,,,,,,,,,4.416339,,,,,,,,,,,,e42477a9-ead1-4610-a61f-b96f7d6625fb,15,,"[93.4, 30.2]",68330,0,,,,0.9048271,,Right Foot,,,,"[120.9, 65.2]",,Ground Pass,,44.511234,Out,,Eiður Smári Guðjohnsen,11270.0,,,,,,1,From Kick Off,Anderson Luís de Souza,19757.0,Left Center Midfield,2,Real Madrid,220,"['08df3cb3-5294-4ff4-b3f1-b8f8b67bdd18', '8eb1ae57-c8fa-4979-b893-9f03499bdecc']",7,,,,,,,,,,,,,,,,Barcelona,217,00:00:07.982,Pass,True,2006/2007
,,,,,,,,,,,,,,,2.8251,,,,,,,,,,,,3a6df872-8265-4448-929b-15e55577b472,17,,"[6.0, 36.0]",68330,0,True,,,-0.12397156,,Left Foot,,,,"[70.2, 28.0]",,High Pass,,64.696526,,,Mahamadou Diarra,26021.0,,,,,Goal Kick,1,From Goal Kick,Iker Casillas Fernández,11179.0,Goalkeeper,3,Real Madrid,220,['c4f1b453-c023-4849-99c8-96fe5ee2443e'],31,,,,,,,,,,,,,,,,Real Madrid,220,00:00:31.022,Pass,,2006/2007
