50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,b6e9287e-396d-4d53-8a73-c3b613282878,1,,,68331,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 15774, 'name': 'Gianluca Zambrotta'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 11}, {'player': {'id': 5558, 'name': 'Rafael Márquez Álvarez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 25854, 'name': 'Sylvio Mendes Campos Junior'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 16}, {'player': {'id': 25910, 'name': 'José Edmílson Gomes de Moraes'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 24}, {'player': {'id': 19757, 'name': 'Anderson Luís de Souza'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 25879, 'name': 'Ronaldo de Assis Moreira'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 11270, 'name': 'Eiður Smári Guðjohnsen'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Barcelona,217,00:00:00.000,Starting XI,,2006/2007
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,39d9d078-b42d-48b6-98d7-ebc84ff1d809,2,,,68331,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 25917, 'name': 'César Sánchez Domínguez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 26022, 'name': 'Carlos Andrés Diogo Enseñat'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 25969, 'name': 'Sergio Fernández González'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 25919, 'name': 'Gabriel Alejandro Milito'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 26023, 'name': 'Juan Francisco García García'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 11}, {'player': {'id': 25410, 'name': ""Andrés Nicolás D''Alessandro""}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 10}, {'player': {'id': 24520, 'name': 'Alberto Zapater Arjol'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 25909, 'name': 'Albert Celades López'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 26024, 'name': 'Pablo César Aimar Giordano'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 8}, {'player': {'id': 25916, 'name': 'Ewerthon Henrique de Souza'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 17}, {'player': {'id': 19294, 'name': 'Diego Alberto Milito'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 22}]}",Real Zaragoza,395,00:00:00.000,Starting XI,,2006/2007
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,903aebb2-6423-401c-bce8-a1feaea145d4,3,,,68331,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['330ccfad-b9cf-4588-8541-1f4623e23fe1'],0,,,,,,,,,,,,,,,,Real Zaragoza,395,00:00:00.000,Half Start,,2006/2007
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,330ccfad-b9cf-4588-8541-1f4623e23fe1,4,,,68331,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['903aebb2-6423-401c-bce8-a1feaea145d4'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2006/2007
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,1d5747c7-37bf-4b96-ae11-2f636504b80d,1871,,,68331,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,111,Barcelona,217,['5cc0dd6d-1736-411a-bdbd-fa463145b543'],0,,,,,,,,,,,,,,,,Real Zaragoza,395,00:00:00.000,Half Start,,2006/2007
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,5cc0dd6d-1736-411a-bdbd-fa463145b543,1872,,,68331,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,111,Barcelona,217,['1d5747c7-37bf-4b96-ae11-2f636504b80d'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2006/2007
,,,,,,,,,,,,,,,0.787488,,,,,,,,,,,,a15a8520-1609-44f3-a7de-042e7eadaefa,5,,"[61.0, 41.0]",68331,0,,,,,-1.923532,,Right Foot,,"[54.3, 22.8]",,Ground Pass,,19.394072,,,,Pablo César Aimar Giordano,26024.0,,,,,,Kick Off,1,From Kick Off,Ewerthon Henrique de Souza,25916.0,Right Center Forward,2,Real Zaragoza,395,['746f6178-72e0-448c-9804-17f927b4dc56'],0,,,,,,,,,,,,,,,,Real Zaragoza,395,00:00:00.206,Pass,,2006/2007
,,,,,,,,,,,,,,,1.376804,,,,,,,,,,,,c0abf26e-f0a9-4573-baec-aadbac8bf573,8,,"[50.6, 28.0]",68331,0,,,,,2.1751742,,Right Foot,,"[35.2, 50.3]",,Ground Pass,,27.100739,,,,Sergio Fernández González,25969.0,,,,,,,1,From Kick Off,Pablo César Aimar Giordano,26024.0,Left Midfield,2,Real Zaragoza,395,['c582bc77-66c8-4b45-a51d-d13d733aa155'],3,,,,,,,,,,,,,,,,Real Zaragoza,395,00:00:03.142,Pass,,2006/2007
,,,,,,,,,,,,,,,1.889405,,,,,,,,,,,,30935824-0a0d-4548-88b0-71b8784e6b32,11,,"[35.7, 49.9]",68331,0,,,,,-1.6387544,,Right Foot,,"[34.4, 30.8]",,Ground Pass,,19.14419,,,,Gabriel Alejandro Milito,25919.0,,,,,,,1,From Kick Off,Sergio Fernández González,25969.0,Right Center Back,2,Real Zaragoza,395,['fe3d2029-5613-4b71-9be3-f63fb225b712'],7,,,,,,,,,,,,,,,,Real Zaragoza,395,00:00:07.138,Pass,,2006/2007
,,,,,,,,,,,,,,,4.174407,,,,,,,,,,,,2a743c54-9a4c-4af9-80b4-a63a660a228f,15,,"[33.7, 21.2]",68331,0,,,,,-0.08063287,,Left Foot,,"[93.1, 16.4]",,High Pass,,59.593624,,,,Ewerthon Henrique de Souza,25916.0,,,,,,,1,From Kick Off,Gabriel Alejandro Milito,25919.0,Left Center Back,2,Real Zaragoza,395,['cc69a0d2-813a-41f2-bb7d-5e7cbd859e21'],10,,,,,,,,,,,,,,,,Real Zaragoza,395,00:00:10.578,Pass,,2006/2007
