ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1d2077bb-c405-44bd-ba2c-3f4f7049d8d9,1,,,68333,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 25873, 'name': 'Oleguer Presas Renom'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 15071, 'name': 'Lilian Thuram'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 21}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 17797, 'name': 'Giovanni van Bronckhorst'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 25910, 'name': 'José Edmílson Gomes de Moraes'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 24}, {'player': {'id': 25878, 'name': 'Ludovic Giuly'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 8}, {'player': {'id': 25879, 'name': 'Ronaldo de Assis Moreira'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 19298, 'name': ""Samuel Eto''o Fils""}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2006/2007
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,dffdb3eb-359c-413b-ba85-c9e33862ee0f,2,,,68333,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 26029, 'name': 'Daniel Aranzubia Aguado'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 26032, 'name': 'Unai Expósito Medina'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 25983, 'name': 'Josu Sarriegi Zumárraga'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 26028, 'name': 'Fernando Amorebieta Mardaras'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 26033, 'name': 'Javier Casas Cuevas'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 26030, 'name': 'Ander Murillo García'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 19}, {'player': {'id': 26031, 'name': 'Andoni Iraola Sagarna'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 9399, 'name': 'Javier Martínez Aginaga'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 24}, {'player': {'id': 26034, 'name': 'Igor Gabilondo del Campo'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 26035, 'name': 'Francisco Javier Yeste Navarro'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 15608, 'name': 'Ismael Urzáiz Aranda'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 20}]}",Athletic Club,215,00:00:00.000,Starting XI,,2006/2007
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,44543ee4-c9ba-402b-9c0a-77c56dd9c961,3,,,68333,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['699388f3-8ee1-4a6d-96fc-59fc166d1bf7'],0,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:00.000,Half Start,,2006/2007
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,699388f3-8ee1-4a6d-96fc-59fc166d1bf7,4,,,68333,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['44543ee4-c9ba-402b-9c0a-77c56dd9c961'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2006/2007
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1fa6d17f-78b9-4888-88e7-1ce391e9f2fe,1862,,,68333,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,108,Athletic Club,215,['4999161e-1652-4815-8556-57ade6d351d6'],0,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:00.000,Half Start,,2006/2007
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4999161e-1652-4815-8556-57ade6d351d6,1863,,,68333,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,108,Athletic Club,215,['1fa6d17f-78b9-4888-88e7-1ce391e9f2fe'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2006/2007
,,,,,,,,,,,,,,0.556859,,,,,,,,,,,,,7df61437-587e-4bec-b70b-768b314f661f,5,,"[60.0, 40.0]",68333,0,,,,,-2.1840036,,Right Foot,,,,"[58.1, 37.3]",,Ground Pass,,3.3015149,,,,,Andrés Iniesta Luján,5216.0,,,,,,Kick Off,1,From Kick Off,Samuel Eto''o Fils,19298.0,Center Forward,2,Barcelona,217,['b58eaa0b-b632-4640-8783-e052e84e2ed6'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.903,Pass,,2006/2007
,,,,,,,,,,,,,,0.9884,,,,,,,,,,,,,284570e8-cb95-4e92-aa1c-d0aedf332cdb,8,,"[55.6, 42.8]",68333,0,,,,,1.94013,,Left Foot,,,,"[52.0, 52.1]",,Ground Pass,,9.972462,,,,,Xavier Hernández Creus,20131.0,,,,,,,1,From Kick Off,Andrés Iniesta Luján,5216.0,Left Center Midfield,2,Barcelona,217,['b681cd11-2b55-4d55-b9e8-b02f20f1c926'],3,,,,,,,,,,,,,,,,,Barcelona,217,00:00:03.200,Pass,,2006/2007
,,,,,,,,,,,,,,1.081443,,,,,,,,,,,,,942cd8bb-d267-404d-846e-120e02ad9a93,11,,"[51.0, 50.5]",68333,0,,,,,-2.1962814,,Right Foot,,,,"[44.5, 41.5]",,Ground Pass,,11.101802,,,,,José Edmílson Gomes de Moraes,25910.0,,,,,,,1,From Kick Off,Xavier Hernández Creus,20131.0,Right Center Midfield,2,Barcelona,217,['2e90651d-1f8f-43b1-a707-4f01f96bfb57'],4,,,,,,,,,,,,,,,,,Barcelona,217,00:00:04.189,Pass,,2006/2007
,,,,,,,,,,,,,,2.202508,,,,,,,,,,,,,be872db1-aa84-4aba-9599-c3bc18c34491,15,,"[41.1, 47.4]",68333,0,,,,,1.4062461,,Right Foot,,,,"[45.6, 74.5]",,Ground Pass,,27.471075,,,,,Oleguer Presas Renom,25873.0,,,,,,,1,From Kick Off,José Edmílson Gomes de Moraes,25910.0,Center Defensive Midfield,2,Barcelona,217,['f488dcf8-e8e7-44f1-b5cf-e56d55bfc7c6'],6,,,,,,,,,,,,,,,,,Barcelona,217,00:00:06.243,Pass,,2006/2007
