50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,ab7ffe15-fabc-49f2-b1bd-d2038ae9bd67,1,,,68335,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 25873, 'name': 'Oleguer Presas Renom'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 15071, 'name': 'Lilian Thuram'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 21}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 5558, 'name': 'Rafael Márquez Álvarez'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 19757, 'name': 'Anderson Luís de Souza'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 24}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 25879, 'name': 'Ronaldo de Assis Moreira'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 19298, 'name': ""Samuel Eto''o Fils""}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2006/2007
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,41fd338c-a8e7-4393-9776-f592568f6818,2,,,68335,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 11179, 'name': 'Iker Casillas Fernández'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 15601, 'name': 'Miguel Ángel Salgado Fernández'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 15584, 'name': 'Iván Helguera Bujía'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 21}, {'player': {'id': 5201, 'name': 'Sergio Ramos García'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 6878, 'name': 'Miguel Torres Gómez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 38}, {'player': {'id': 26021, 'name': 'Mahamadou Diarra'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 26036, 'name': 'Fernando Rubén Gago'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 15607, 'name': 'Raúl González Blanco'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 25924, 'name': 'José Maria Gutiérrez Hernández'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 14}, {'player': {'id': 5497, 'name': 'Gonzalo Gerardo Higuaín'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 20}, {'player': {'id': 19729, 'name': 'Ruud van Nistelrooy'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 17}]}",Real Madrid,220,00:00:00.000,Starting XI,,2006/2007
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,c9da6433-cc72-4779-b545-99742a258a00,3,,,68335,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['262dbc52-df9e-4ea2-a621-bbdd13700aac'],0,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2006/2007
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,262dbc52-df9e-4ea2-a621-bbdd13700aac,4,,,68335,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['c9da6433-cc72-4779-b545-99742a258a00'],0,,,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.000,Half Start,,2006/2007
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,4d0feb87-2c66-4c94-a984-b5236ed19956,1761,,,68335,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,103,Real Madrid,220,['4aed2c2f-3152-436a-983c-7acb5dc1cf0a'],0,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2006/2007
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,4aed2c2f-3152-436a-983c-7acb5dc1cf0a,1762,,,68335,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,103,Real Madrid,220,['4d0feb87-2c66-4c94-a984-b5236ed19956'],0,,,,,,,,,,,,,,,,,,,Real Madrid,220,00:00:00.000,Half Start,,2006/2007
,,,,,,,,,,,,,,,,,1.7781,,,,,,,,,,,,,,,,0e96d57c-a6d2-4866-824b-5c2854597a35,5,,"[60.0, 40.0]",68335,0,,,,,1.0714496,,Right Foot,,,,"[62.4, 44.4]",,Ground Pass,,5.011986,,,Xavier Hernández Creus,20131.0,,,,,Kick Off,1,From Kick Off,Samuel Eto''o Fils,19298.0,Center Forward,2,Barcelona,217,['e339454c-d908-4a25-ae4a-1bcc7511f1fc'],0,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.120,Pass,,2006/2007
,,,,,,,,,,,,,,,,,2.611409,,,,,,,,,,,,,,,,25dda782-9cdf-429a-8415-13c1814bc77a,8,,"[61.2, 44.8]",68335,0,,,,,1.7083309,,Left Foot,,,,"[57.2, 73.7]",,Low Pass,,29.175503,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,1,From Kick Off,Xavier Hernández Creus,20131.0,Right Defensive Midfield,2,Barcelona,217,['adc0d70e-66f5-4791-ac24-656197cb7052'],1,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.997,Pass,,2006/2007
,,,,,,,,,,,,,,,,,1.9077,,,,,,,,,,,,,,,,c3832586-b03f-47f6-a6bf-b2b8e1fad23d,11,,"[60.4, 74.9]",68335,0,,,,,-3.0430121,,Right Foot,,,,"[42.2, 73.1]",,Ground Pass,,18.288794,,,Oleguer Presas Renom,25873.0,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,2,Barcelona,217,['ebb4b887-5c2f-4f9f-8b69-5077fe74b72d'],5,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:05.892,Pass,,2006/2007
,,,,,,,,,,,,,,,,,1.217039,,,,,,,,,,,,,,,,1c52fd9a-290a-427c-9804-f1c578a6f603,13,,"[42.2, 73.1]",68335,0,,,,,-1.191965,,Right Foot,,,,"[46.3, 62.8]",,Ground Pass,,11.086027,,,Andrés Iniesta Luján,5216.0,,,,,,1,From Kick Off,Oleguer Presas Renom,25873.0,Right Center Back,2,Barcelona,217,['5607ffca-da21-4f7d-9b70-4781eeaa7ccc'],7,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:07.800,Pass,,2006/2007
