ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5328437c-ffb0-4c34-b376-ffde7d7725f2,1,,,68341,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Recreativo Huelva,1220,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 26079, 'name': 'Javier López Vallejo'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 26082, 'name': 'Juan Merino Ruíz'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 6}, {'player': {'id': 26081, 'name': 'Pedro Mario Álvarez Abrante'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 15656, 'name': 'Roberto Luis Gaspar de Deus Severo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 16}, {'player': {'id': 26076, 'name': 'Daniel Bautista Pina'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 24}, {'player': {'id': 26077, 'name': 'Antonio Jesús Vázquez Muñoz'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 26080, 'name': 'Rafael Barber Rodríguez'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 25885, 'name': 'Juan Manuel Gómez Sánchez'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 22}, {'player': {'id': 26078, 'name': 'Aitor Tornavaca Fernández'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 21}, {'player': {'id': 23930, 'name': 'Ikechukwu Uche'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 18}, {'player': {'id': 26083, 'name': 'Florent Sinama-Pongolle'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 14}]}",Recreativo Huelva,1220,00:00:00.000,Starting XI,,2006/2007
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,664793d8-b251-4117-b0d2-aab0b8202a7b,2,,,68341,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Recreativo Huelva,1220,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 15774, 'name': 'Gianluca Zambrotta'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 11}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 15071, 'name': 'Lilian Thuram'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 21}, {'player': {'id': 25854, 'name': 'Sylvio Mendes Campos Junior'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 16}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 24}, {'player': {'id': 19757, 'name': 'Anderson Luís de Souza'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 25879, 'name': 'Ronaldo de Assis Moreira'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 19298, 'name': ""Samuel Eto''o Fils""}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2006/2007
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,88575864-0949-43a3-bcf5-27d77f71e130,3,,,68341,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Recreativo Huelva,1220,['8cddd638-e5a7-461a-9fa2-43b996f68c7c'],0,,,,,,,,,,,,,,,,,Recreativo Huelva,1220,00:00:00.000,Half Start,,2006/2007
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8cddd638-e5a7-461a-9fa2-43b996f68c7c,4,,,68341,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Recreativo Huelva,1220,['88575864-0949-43a3-bcf5-27d77f71e130'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2006/2007
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,32c88922-1d34-4604-b7d2-b9387400c9dc,2148,,,68341,45,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,80,Recreativo Huelva,1220,['f3232b7e-93e9-4737-a3c2-4d16a779eb5c'],0,,,,,,,,,,,,,,,,,Recreativo Huelva,1220,00:00:00.000,Half Start,,2006/2007
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f3232b7e-93e9-4737-a3c2-4d16a779eb5c,2149,,,68341,45,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,80,Recreativo Huelva,1220,['32c88922-1d34-4604-b7d2-b9387400c9dc'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2006/2007
,,,,,,,,,,,,,,,0.892213,,,,,,,,,,,,,680d39af-2774-4309-88d0-e62f2e4c68d4,5,,"[61.0, 40.1]",68341,0,,,,1.2298174,,Right Foot,,,"[62.1, 43.2]",,Ground Pass,3.2893767,,,,Anderson Luís de Souza,19757.0,,,,,Kick Off,1,From Kick Off,Samuel Eto''o Fils,19298.0,Center Forward,2,Barcelona,217,['d679d485-b233-4508-a8fa-dd06b31b84b1'],1,,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.079,Pass,,2006/2007
,,,,,,,,,,,,,,,0.95804,,,,,,,,,,,,,468ec2e2-84f0-4310-9d54-156a124766bf,8,,"[57.4, 42.5]",68341,0,,,,2.3561945,,Right Foot,,,"[46.8, 53.1]",,Ground Pass,14.990664,,,,Xavier Hernández Creus,20131.0,,,,,,1,From Kick Off,Anderson Luís de Souza,19757.0,Left Center Midfield,2,Barcelona,217,['35d7ad19-86e1-4074-9eed-0747b40c357a'],3,,,,,,,,,,,,,,,,,Barcelona,217,00:00:03.009,Pass,,2006/2007
,,,,,,,,,,,,,,,1.067238,,,,,,,,,,,,,8118386b-491f-4f8d-90c2-9380ce1c1da0,12,,"[48.8, 57.2]",68341,0,,,,2.2959228,,Left Foot,,,"[37.9, 69.5]",,Ground Pass,16.43472,,,,Gianluca Zambrotta,15774.0,,,,,,1,From Kick Off,Xavier Hernández Creus,20131.0,Center Defensive Midfield,2,Barcelona,217,['eaf71708-dd2e-4985-9c48-66341e98fd8b'],5,,,,,,,,,,,,,,,,,Barcelona,217,00:00:05.222,Pass,,2006/2007
,,,,,,,,,,,,,,,2.305126,,,,,,,,,,,,,d3a1bfaa-0837-4a83-ab31-bcd3880d8bb0,15,,"[35.5, 69.7]",68341,0,,,,-1.87338,,Right Foot,,,"[23.7, 31.9]",,Ground Pass,39.59899,,,,Carles Puyol i Saforcada,20125.0,,,,,,1,From Kick Off,Gianluca Zambrotta,15774.0,Right Back,2,Barcelona,217,['012535e8-e452-4b40-8e70-79f000178b40'],7,,,,,,,,,,,,,,,,,Barcelona,217,00:00:07.726,Pass,,2006/2007
