50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,half_end_early_video_end,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,d4c31264-f289-4d7e-835f-ece4ae162662,1,,,68347,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Athletic Club,215,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 26084, 'name': 'Iñaki Lafuente Sancha'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 26031, 'name': 'Andoni Iraola Sagarna'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 25983, 'name': 'Josu Sarriegi Zumárraga'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 26100, 'name': 'Ustaritz Aldekoaotalora Astarloa'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 26033, 'name': 'Javier Casas Cuevas'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 9399, 'name': 'Javier Martínez Aginaga'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 24}, {'player': {'id': 26086, 'name': 'Pablo Orbaiz Lesaka'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 15606, 'name': 'Joseba Andoni Etxeberria Lizardi'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 26101, 'name': 'Joseba Garmendia Elorriaga'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 26035, 'name': 'Francisco Javier Yeste Navarro'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 3486, 'name': 'Fernando Llorente Torres'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Athletic Club,215,00:00:00.000,Starting XI,,2006/2007
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,af6b6bea-0de8-46cf-8f19-8c3ea0a3abf7,2,,,68347,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Athletic Club,215,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 15774, 'name': 'Gianluca Zambrotta'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 11}, {'player': {'id': 5558, 'name': 'Rafael Márquez Álvarez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 17797, 'name': 'Giovanni van Bronckhorst'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 25910, 'name': 'José Edmílson Gomes de Moraes'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 19757, 'name': 'Anderson Luís de Souza'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 25879, 'name': 'Ronaldo de Assis Moreira'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 11270, 'name': 'Eiður Smári Guðjohnsen'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Barcelona,217,00:00:00.000,Starting XI,,2006/2007
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,ec6950c9-a8bf-40ed-9d71-3ae5814e975a,3,,,68347,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Athletic Club,215,['80773a62-df89-42e1-9cbd-dad5224f47d2'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2006/2007
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,80773a62-df89-42e1-9cbd-dad5224f47d2,4,,,68347,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Athletic Club,215,['ec6950c9-a8bf-40ed-9d71-3ae5814e975a'],0,,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:00.000,Half Start,,2006/2007
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,6955f0ca-4188-4f41-b126-cc850abbecec,1566,,,68347,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,101,Barcelona,217,['c34806d2-77d0-49ef-9d1a-f55989d37736'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2006/2007
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,c34806d2-77d0-49ef-9d1a-f55989d37736,1567,,,68347,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,101,Barcelona,217,['6955f0ca-4188-4f41-b126-cc850abbecec'],0,,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:00.000,Half Start,,2006/2007
,,,,,,,,,,,,,,,,0.596053,,,,,,,,,,,,,,e7045746-a7ab-43f9-b58b-57fea795f47f,5,,"[60.0, 40.0]",68347,0,,,,1.2220253,,Right Foot,,,,"[60.4, 41.1]",,Ground Pass,,1.17047,,,Joseba Andoni Etxeberria Lizardi,15606.0,,,,,Kick Off,1,From Kick Off,Joseba Garmendia Elorriaga,26101.0,Center Attacking Midfield,2,Athletic Club,215,['d1eade07-7ddc-42ae-bb68-c455418d6a22'],1,,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:01.208,Pass,,2006/2007
,,,,,,,,,,,,,,,,1.179338,,,,,,,,,,,,,,733531a6-12f4-4cfd-88c5-c5cdac802f8e,7,,"[62.7, 41.5]",68347,0,True,,,2.5146189,,Right Foot,,,,"[43.1, 55.7]",,Ground Pass,,24.203306,,,Javier Martínez Aginaga,9399.0,,,,,,1,From Kick Off,Joseba Andoni Etxeberria Lizardi,15606.0,Right Wing,2,Athletic Club,215,['17a9d242-e1da-454c-8ac7-5748d456c8b3'],1,,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:01.974,Pass,,2006/2007
,,,,,,,,,,,,,,,,3.1047,,,,,,,,,,,,,,92893cd7-58d0-4dc6-9192-0269f32d899a,9,,"[42.7, 55.8]",68347,0,,,,-0.5118744,,Right Foot,,,,"[88.8, 29.9]",,High Pass,,52.877407,,,Fernando Llorente Torres,3486.0,,,,,,1,From Kick Off,Javier Martínez Aginaga,9399.0,Right Center Midfield,2,Athletic Club,215,['5e89e9ee-ec2d-4c5d-ac01-53969df94d99'],4,,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:04.644,Pass,,2006/2007
,,,,,,,,,,,,,,,,2.66192,,,,,,,,,,,,,,8692bf04-e8ea-4e8b-95b9-65f1cfb7d18f,12,,"[88.8, 29.9]",68347,0,,,True,0.32175055,,,,,,"[111.6, 37.5]",,Low Pass,,24.03331,Incomplete,,Joseba Garmendia Elorriaga,26101.0,,,,,,1,From Kick Off,Fernando Llorente Torres,3486.0,Center Forward,2,Athletic Club,215,"['66dea2a7-1ad0-48df-a904-35c98f50fb2d', 'b02565e3-4a45-42d1-a597-4831e72bfb2f', 'f7df877c-62be-48d5-a156-31a271a657dd']",7,,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:07.788,Pass,True,2006/2007
