50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,7499b14b-6fc2-4a99-ad73-7ee31fdfbfc7,1,,,68348,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Espanyol,214,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 26103, 'name': 'Idriss Carlos Kameni'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 26106, 'name': 'Armando Miguel Correia de Sa'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 26107, 'name': 'Alberto Lopo García'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 26110, 'name': 'Daniel Jarque Gonzalez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 21}, {'player': {'id': 24797, 'name': 'Didier Domi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 18}, {'player': {'id': 26108, 'name': 'Eduardo Nascimento Costa'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 26104, 'name': 'Fredson Câmara Pereira'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 3052, 'name': 'Pablo Javier Zabaleta Girod'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 8}, {'player': {'id': 26105, 'name': 'Iván De la Peña López'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 9}, {'player': {'id': 23916, 'name': 'Luis García Fernández'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 26109, 'name': 'Raúl Tamudo Montero'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 23}]}",Espanyol,214,00:00:00.000,Starting XI,,2005/2006
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,141e5fdb-43c1-44c7-94de-f042893b570a,2,,,68348,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Espanyol,214,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 25863, 'name': 'Juliano Haus Belletti'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 25873, 'name': 'Oleguer Presas Renom'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 17797, 'name': 'Giovanni van Bronckhorst'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 25910, 'name': 'José Edmílson Gomes de Moraes'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 4325, 'name': 'Thiago Motta'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 3}, {'player': {'id': 19757, 'name': 'Anderson Luís de Souza'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 25879, 'name': 'Ronaldo de Assis Moreira'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 19298, 'name': ""Samuel Eto''o Fils""}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2005/2006
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,e5f3f3a9-0ed0-4c71-9777-235fb7f27c53,3,,,68348,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Espanyol,214,['91edd0b6-fb5a-4080-8062-631ed7314e86'],0,,,,,,,,,,,,,,,,,,Espanyol,214,00:00:00.000,Half Start,,2005/2006
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,91edd0b6-fb5a-4080-8062-631ed7314e86,4,,,68348,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Espanyol,214,['e5f3f3a9-0ed0-4c71-9777-235fb7f27c53'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2005/2006
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,e39f199d-f2fe-4a87-903d-bdce5e2e7df9,1441,,,68348,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,101,Barcelona,217,['25149f72-f1e7-418d-9617-cbac8d96cc00'],0,,,,,,,,,,,,,,,,,,Espanyol,214,00:00:00.000,Half Start,,2005/2006
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,25149f72-f1e7-418d-9617-cbac8d96cc00,1442,,,68348,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,101,Barcelona,217,['e39f199d-f2fe-4a87-903d-bdce5e2e7df9'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2005/2006
,,,,,,,,,,,,,,,,,0.217827,,,,,,,,,,,,,,b782e075-9868-49bb-86cf-e66a2c512f89,5,,"[61.0, 41.0]",68348,0,,,,,-1.4994888,,Right Foot,,,,"[61.1, 39.6]",,Ground Pass,,1.4035668,,,,Ronaldo de Assis Moreira,25879.0,,,,,Kick Off,1,From Kick Off,Samuel Eto''o Fils,19298.0,Center Forward,2,Barcelona,217,['321328fe-61e3-41a4-b61e-7144a35bc50c'],1,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.194,Pass,,2005/2006
,,,,,,,,,,,,,,,,,0.7622,,,,,,,,,,,,,,bd23397a-8894-4612-87bc-310a60554859,8,,"[60.3, 39.5]",68348,0,,,,,2.9361973,,Right Foot,,,,"[50.7, 41.5]",,Ground Pass,,9.806121,,,,Anderson Luís de Souza,19757.0,,,,,,1,From Kick Off,Ronaldo de Assis Moreira,25879.0,Left Wing,2,Barcelona,217,['ca6c4353-dcaf-459e-9c3d-ff9d05beea23'],1,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.452,Pass,,2005/2006
,,,,,,,,,,,,,,,,,1.3885,,,,,,,,,,,,,,17a2e5ca-190e-4e01-a33a-fce9f0b593b9,11,,"[49.7, 45.2]",68348,0,,,,,1.929567,,Right Foot,,,,"[40.4, 70.0]",,Ground Pass,,26.486412,,,,Juliano Haus Belletti,25863.0,,,,,,1,From Kick Off,Anderson Luís de Souza,19757.0,Left Center Midfield,2,Barcelona,217,['55454450-21ac-452d-be34-e30c0de4203a'],3,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:03.565,Pass,,2005/2006
,,,,,,,,,,,,,,,,,2.586364,,,,,,,,,,,,,,869e26ef-6cdd-45a7-9dcd-38d05e9a2bc8,14,,"[40.4, 70.0]",68348,0,,,,,-1.9289931,,Right Foot,,,,"[26.1, 31.8]",,Low Pass,,40.788845,,,,Oleguer Presas Renom,25873.0,,,,,,1,From Kick Off,Juliano Haus Belletti,25863.0,Right Back,2,Barcelona,217,['c3d06124-bc16-4e12-9083-052d5a604119'],6,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:06.026,Pass,,2005/2006
