50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,36abc61b-276a-4c87-ae31-d684eabc33dd,1,,,68354,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 25863, 'name': 'Juliano Haus Belletti'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 5558, 'name': 'Rafael Márquez Álvarez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 25854, 'name': 'Sylvio Mendes Campos Junior'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 16}, {'player': {'id': 25910, 'name': 'José Edmílson Gomes de Moraes'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 19757, 'name': 'Anderson Luís de Souza'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 30}, {'player': {'id': 25879, 'name': 'Ronaldo de Assis Moreira'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 19298, 'name': ""Samuel Eto''o Fils""}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2005/2006
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,dcc8b9ac-2c75-4aa1-be57-e7ea5dd1ef7e,2,,,68354,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 451, 'lineup': [{'player': {'id': 26146, 'name': 'Dudú Aouate'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 25889, 'name': 'Pablo Pinillos Caro'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 14}, {'player': {'id': 26148, 'name': 'José Moratón Taeño'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 22}, {'player': {'id': 26145, 'name': 'Francisco Borja Enrique Ayesa'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 26147, 'name': 'Ayoze Díaz Díaz'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 26071, 'name': 'Víctor Javier Añino Bermúdez'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 26064, 'name': 'Antonio Tomás González'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 35}, {'player': {'id': 26149, 'name': 'Stephane Dalmat'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 25430, 'name': 'Felipe Melo de Carvalho'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 23}, {'player': {'id': 26137, 'name': 'Óscar Serrano Rodriguez'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 26066, 'name': 'Juan José Expósito Ruíz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 32}]}",Racing Santander,1217,00:00:00.000,Starting XI,,2005/2006
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,60355826-94e7-4d98-911d-0ab229fbc336,3,,,68354,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['006c2e2e-79d0-44e5-95d3-113244738233'],0,,,,,,,,,,,,,,,,,Racing Santander,1217,00:00:00.000,Half Start,,2005/2006
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,006c2e2e-79d0-44e5-95d3-113244738233,4,,,68354,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['60355826-94e7-4d98-911d-0ab229fbc336'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2005/2006
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,f0435a88-7f79-4f67-904a-f06a89438b36,1861,,,68354,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,83,Barcelona,217,['fb3137cf-50cc-4ecc-a986-49d3c9ef1025'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2005/2006
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,fb3137cf-50cc-4ecc-a986-49d3c9ef1025,1862,,,68354,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,83,Barcelona,217,['f0435a88-7f79-4f67-904a-f06a89438b36'],0,,,,,,,,,,,,,,,,,Racing Santander,1217,00:00:00.000,Half Start,,2005/2006
,,,,,,,,,,,,,,,,1.035,,,,,,,,,,,,,,,f6da591f-7be0-482d-a043-ad829f497990,5,,"[60.0, 40.0]",68354,0,,True,,,-2.432072,,Right Foot,,,,"[50.8, 32.1]",,Ground Pass,,12.126417,,,,Anderson Luís de Souza,19757.0,,,,,Kick Off,1,From Kick Off,Ronaldo de Assis Moreira,25879.0,Left Wing,2,Barcelona,217,['7e6bc3fc-4bb6-4a0b-8f95-c849489a6340'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.080,Pass,,2005/2006
,,,,,,,,,,,,,,,,1.524788,,,,,,,,,,,,,,,72ac9f17-9994-44b7-8cff-08d13c2ed5c0,7,,"[49.5, 31.3]",68354,0,,,,,-2.0945375,,Right Foot,,,,"[38.7, 12.6]",,Ground Pass,,21.594675,,,,Sylvio Mendes Campos Junior,25854.0,,,,,,1,From Kick Off,Anderson Luís de Souza,19757.0,Left Center Midfield,2,Barcelona,217,['d24fc702-4db9-4086-a50f-3c44fb818ba9'],1,,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.282,Pass,,2005/2006
,,,,,,,,,,,,,,,,2.06057,,,,,,,,,,,,,,,be07636e-31ea-4acc-9019-fe0803160697,10,,"[35.7, 18.1]",68354,0,,,,,2.0093596,,Left Foot,,,,"[30.4, 29.4]",,Ground Pass,,12.481186,,,,Carles Puyol i Saforcada,20125.0,,,,,,1,From Kick Off,Sylvio Mendes Campos Junior,25854.0,Left Back,2,Barcelona,217,['bc144702-813a-46cc-be05-d66b6e0fd94c'],3,,,,,,,,,,,,,,,,,Barcelona,217,00:00:03.680,Pass,,2005/2006
,,,,,,,,,,,,,,,,1.420725,,,,,,,,,,,,,,,312cb638-3f88-47b9-954d-2c451bae2efa,13,,"[33.2, 33.2]",68354,0,,,,,1.5947438,,Left Foot,,,,"[32.8, 49.9]",,Ground Pass,,16.70479,,,,Rafael Márquez Álvarez,5558.0,,,,,,1,From Kick Off,Carles Puyol i Saforcada,20125.0,Right Center Back,2,Barcelona,217,['e8114f1d-6818-4e1a-b906-ced5da3ec023'],6,,,,,,,,,,,,,,,,,Barcelona,217,00:00:06.747,Pass,,2005/2006
