50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5f72894d-9726-46be-b33c-44003e683450,1,,,68359,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 15774, 'name': 'Gianluca Zambrotta'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 11}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 25919, 'name': 'Gabriel Alejandro Milito'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 25854, 'name': 'Sylvio Mendes Campos Junior'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 16}, {'player': {'id': 3087, 'name': 'Gnégnéri Yaya Touré'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 11270, 'name': 'Eiður Smári Guðjohnsen'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 4913, 'name': 'Bojan Krkíc Pérez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 27}, {'player': {'id': 5987, 'name': 'Giovani dos Santos Ramírez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 19298, 'name': ""Samuel Eto''o Fils""}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2007/2008
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a08662a1-51af-4409-bc65-cddd79affecb,2,,,68359,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 26084, 'name': 'Iñaki Lafuente Sancha'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 3052, 'name': 'Pablo Javier Zabaleta Girod'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 8}, {'player': {'id': 26163, 'name': 'Marc Torrejón Moya'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 19}, {'player': {'id': 26110, 'name': 'Daniel Jarque Gonzalez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 21}, {'player': {'id': 26170, 'name': 'Francisco Javier Chica Torres'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 26160, 'name': 'Ángel Martínez Cervera'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 26162, 'name': 'Moisés Hurtado Pérez'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 22}, {'player': {'id': 26167, 'name': 'Francisco Joaquín Pérez Rufete'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 18}, {'player': {'id': 23916, 'name': 'Luis García Fernández'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 26102, 'name': 'Ferrán Corominas Telechea'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 20}, {'player': {'id': 26109, 'name': 'Raúl Tamudo Montero'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 23}]}",Espanyol,214,00:00:00.000,Starting XI,,2007/2008
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9efa9293-e0c8-401a-96e5-953ecc4f04bf,3,,,68359,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['8112cb88-34a2-45b0-9967-777296e49bed'],0,,,,,,,,,,,,,,,,,Espanyol,214,00:00:00.000,Half Start,,2007/2008
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8112cb88-34a2-45b0-9967-777296e49bed,4,,,68359,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['9efa9293-e0c8-401a-96e5-953ecc4f04bf'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2007/2008
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9459f051-4fe6-456b-8f93-9b679c871689,1780,,,68359,45,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,107,Espanyol,214,['58a00387-36a2-4df1-a841-d62d7fb58a8b'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2007/2008
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,58a00387-36a2-4df1-a841-d62d7fb58a8b,1781,,,68359,45,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,107,Espanyol,214,['9459f051-4fe6-456b-8f93-9b679c871689'],0,,,,,,,,,,,,,,,,,Espanyol,214,00:00:00.000,Half Start,,2007/2008
,,,,,,,,,,,,,,,,,,,0.344033,,,,,,,,,,,,,e318c1a5-967e-4f72-8d79-fe11eb22f2b5,5,,"[61.0, 41.0]",68359,0,,,,,1.6352232,,Right Foot,,,"[60.8, 44.1]",Ground Pass,,3.1064448,,,Luis García Fernández,23916.0,,,,,Kick Off,1,From Kick Off,Raúl Tamudo Montero,26109.0,Center Forward,2,Espanyol,214,['f40449d5-d16c-4cd0-ad88-6afe223c71ab'],1,,,,,,,,,,,,,,,,,Espanyol,214,00:00:01.515,Pass,,2007/2008
,,,,,,,,,,,,,,,,,,,3.004406,,,,,,,,,,,,,2a891548-86cf-4915-9ac2-e4e24f5ec462,8,,"[59.8, 44.8]",68359,0,,,,,-3.0341244,,Right Foot,,,"[35.7, 42.2]",Ground Pass,,24.239843,,,Marc Torrejón Moya,26163.0,,,,,,1,From Kick Off,Luis García Fernández,23916.0,Center Attacking Midfield,2,Espanyol,214,['07205a65-b5e8-436d-9f73-e228405556b3'],1,,,,,,,,,,,,,,,,,Espanyol,214,00:00:01.892,Pass,,2007/2008
,,,,,,,,,,,,,,,,,,,2.45517,,,,,,,,,,,,,d14945ff-c6ec-4cf4-bc8d-ca2d78177694,11,,"[35.6, 43.8]",68359,0,,,,,-0.6234153,,Right Foot,,,"[83.3, 9.5]",High Pass,,58.75185,Unknown,,Ferrán Corominas Telechea,26102.0,,,,,,1,From Kick Off,Marc Torrejón Moya,26163.0,Right Center Back,2,Espanyol,214,['d5d09680-63ea-40a2-8218-1e2fd460e5f1'],5,,,,,,,,,,,,,,,,,Espanyol,214,00:00:05.030,Pass,,2007/2008
,,,,,,,,,,,,,,,,,,,1.702397,,,,,,,,,,,,,46a4055f-0c57-4712-bc32-677a48d13c10,15,,"[84.1, 9.3]",68359,0,,,,,0.85176116,50a1a949-9ab1-4a46-90fc-2c5bbb24b36d,Right Foot,True,,"[114.3, 43.8]",High Pass,,45.850735,,,Moisés Hurtado Pérez,26162.0,True,,,,Free Kick,1,From Free Kick,Luis García Fernández,23916.0,Center Attacking Midfield,3,Espanyol,214,['04441d66-97a3-46b3-b044-63d66d1d6f3f'],28,,,,,,,,,,,,,,,,,Espanyol,214,00:00:28.832,Pass,,2007/2008
