50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,a1569803-7e6b-453f-a0ef-6e35dc142402,1,,,68364,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Villarreal,222,,0,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 25936, 'name': 'Mario Sebastián Viera Galain'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 25937, 'name': 'Javier Rodríguez Venta'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 17}, {'player': {'id': 26196, 'name': 'Fabricio Fabio Fuentes'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 20}, {'player': {'id': 26194, 'name': 'Pascal Cygan'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 12}, {'player': {'id': 20134, 'name': 'Joan Capdevila Méndez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 5}, {'player': {'id': 25921, 'name': 'Rubén Gracia Calmache'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 10}, {'player': {'id': 22819, 'name': 'Bruno Soriano Llido'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 20135, 'name': 'Marcos Antonio Senna da Silva'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 11386, 'name': 'Santiago Cazorla González'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 8}, {'player': {'id': 19312, 'name': 'Robert Pirès'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 26198, 'name': 'Guillermo Luis Franco Farquarson'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Villarreal,222,00:00:00.000,Starting XI,,2007/2008
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,cd7de7bb-9e27-4f63-9cfd-3436bd01e472,2,,,68364,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Villarreal,222,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 25873, 'name': 'Oleguer Presas Renom'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 25919, 'name': 'Gabriel Alejandro Milito'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 20177, 'name': 'Eric-Sylvain Bilal Abidal'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 19757, 'name': 'Anderson Luís de Souza'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 15516, 'name': 'Thierry Henry'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 4913, 'name': 'Bojan Krkíc Pérez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 27}]}",Barcelona,217,00:00:00.000,Starting XI,,2007/2008
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,3f1abf8b-ce96-4f8e-afd5-01ad42f1227b,3,,,68364,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Villarreal,222,['4699377c-cabe-4b4c-a810-cbe579551db0'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2007/2008
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,4699377c-cabe-4b4c-a810-cbe579551db0,4,,,68364,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Villarreal,222,['3f1abf8b-ce96-4f8e-afd5-01ad42f1227b'],0,,,,,,,,,,,,,,,,,Villarreal,222,00:00:00.000,Half Start,,2007/2008
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,b3c7a1d3-b194-47e5-85aa-677766270e0f,1977,,,68364,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,87,Villarreal,222,['56e3c4d1-ddb6-4fd9-8050-ecd4b08c4e34'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2007/2008
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,56e3c4d1-ddb6-4fd9-8050-ecd4b08c4e34,1978,,,68364,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,87,Villarreal,222,['b3c7a1d3-b194-47e5-85aa-677766270e0f'],0,,,,,,,,,,,,,,,,,Villarreal,222,00:00:00.000,Half Start,,2007/2008
,,,,,,,,,,,,,,,,1.0628,,,,,,,,,,,,,,b66fd5cd-515e-4d49-9bfc-d8cba5e588d6,5,,"[61.0, 41.0]",68364,0,,,,1.5042281,,Right Foot,,,,"[61.4, 47.0]",,Ground Pass,,6.0133185,,,,Thierry Henry,15516.0,,,,,,Kick Off,1,From Kick Off,Anderson Luís de Souza,19757.0,Left Center Midfield,2,Barcelona,217,['7242b3ee-631d-4a03-8e04-845ab613d998'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.690,Pass,,2007/2008
,,,,,,,,,,,,,,,,2.3157,,,,,,,,,,,,,,7ea33ac1-98f8-490f-bb98-756a2793ec15,8,,"[61.8, 47.2]",68364,0,,,,2.226492,,Right Foot,,,,"[43.8, 70.6]",,Ground Pass,,29.522196,,,,Oleguer Presas Renom,25873.0,,,,,,,1,From Kick Off,Thierry Henry,15516.0,Left Wing,2,Barcelona,217,['934204db-400f-4e3f-8d2c-3686a34106df'],2,,,,,,,,,,,,,,,,,Barcelona,217,00:00:02.180,Pass,,2007/2008
,,,,,,,,,,,,,,,,1.5114,,,,,,,,,,,,,,8348b79d-6f13-4e14-a1d2-8a0229e07050,11,,"[43.8, 70.6]",68364,0,,,,-2.0653222,,Right Foot,,,,"[32.8, 50.2]",,Low Pass,,23.176712,,,,Carles Puyol i Saforcada,20125.0,,,,,,,1,From Kick Off,Oleguer Presas Renom,25873.0,Right Back,2,Barcelona,217,['eeb59a87-852a-4f7e-877e-f377c510de74'],4,,,,,,,,,,,,,,,,,Barcelona,217,00:00:04.532,Pass,,2007/2008
,,,,,,,,,,,,,,,,1.4647,,,,,,,,,,,,,,c88ff527-4fb8-46cc-beca-bbe6713c9437,14,,"[32.8, 50.2]",68364,0,,,,-1.4254863,,Right Foot,,,,"[36.4, 25.6]",,Ground Pass,,24.862019,,,,Gabriel Alejandro Milito,25919.0,,,,,,,1,From Kick Off,Carles Puyol i Saforcada,20125.0,Right Center Back,2,Barcelona,217,['d6508690-b6de-4fe6-b855-7b6a8c2c23b4'],7,,,,,,,,,,,,,,,,,Barcelona,217,00:00:07.043,Pass,,2007/2008
,,,,,,,,,,,,,,,,2.210008,,,,,,,,,,,,,,dda54687-651a-4726-9611-0c2509de83f1,18,,"[36.4, 23.5]",68364,0,,,,-0.69217324,,Left Foot,,,,"[63.3, 1.2]",,High Pass,,34.94138,,Out,,Bojan Krkíc Pérez,4913.0,,,,,,,1,From Kick Off,Gabriel Alejandro Milito,25919.0,Left Center Back,2,Barcelona,217,['6f135d58-aac5-470f-92b4-ac8e26a3ce9e'],10,,,,,,,,,,,,,,,,,Barcelona,217,00:00:10.283,Pass,,2007/2008
,,,,,,,,,,,,,,,,1.173,,,,,,,,,,,,,,8eed8fc3-46fb-45a0-9d72-062287a46447,20,,"[67.1, 80.0]",68364,0,,,,-0.5404195,,,,,,"[76.6, 74.3]",,Low Pass,,11.078809,,,,Robert Pirès,19312.0,,,,,,Throw-in,1,From Throw In,Javier Rodríguez Venta,25937.0,Right Back,3,Villarreal,222,['50d63541-eff3-4da7-97a4-046a141f7f4b'],21,,,,,,,,,,,,,,,,,Villarreal,222,00:00:21.979,Pass,,2007/2008
,,,,,,,,,,,,,,,,1.0288,,,,,,,,,,,,,,bd0905fa-6431-4f6f-83bc-db78ebeb3a9b,24,,"[73.2, 74.7]",68364,0,,,,-2.629203,,Right Foot,,,,"[63.6, 69.3]",,Ground Pass,,11.014536,,,,Marcos Antonio Senna da Silva,20135.0,,,,,,,1,From Throw In,Robert Pirès,19312.0,Center Attacking Midfield,3,Villarreal,222,['831b2468-4f9e-4bb4-8380-07c34c5e9fd1'],23,,,,,,,,,,,,,,,,,Villarreal,222,00:00:23.864,Pass,,2007/2008
,,,,,,,,,,,,,,,,1.0205,,,,,,,,,,,,,,9511a67b-64bb-41b4-bc6d-e8fc107cc64b,27,,"[62.5, 68.0]",68364,0,,,,0.44344833,,Right Foot,,,,"[78.5, 75.6]",,Ground Pass,,17.713272,,,,Robert Pirès,19312.0,,,,,,,1,From Throw In,Marcos Antonio Senna da Silva,20135.0,Left Center Midfield,3,Villarreal,222,"['6458247b-c5e2-46ca-8df1-941ffa3d3f77', 'd852b316-e412-49ec-880b-63a351b91118']",24,,,,,,,,,,,,,,,,,Villarreal,222,00:00:24.892,Pass,True,2007/2008
,,,,,,,,,,,,,,,,1.5392,,,,,,,,,,,,,,9dfa3881-6ff9-4648-9f34-9e22b2010f09,32,,"[79.8, 71.8]",68364,0,,,,-0.777706,,Right Foot,,,,"[106.0, 46.0]",,High Pass,,36.77064,,Incomplete,,,,,,,,,Free Kick,1,From Free Kick,Marcos Antonio Senna da Silva,20135.0,Left Center Midfield,4,Villarreal,222,['3b4e94dc-c7df-48ed-a6f4-df0ad1f4bfec'],56,,,,,,,,,,,,,,,,,Villarreal,222,00:00:56.432,Pass,,2007/2008
,,,,,,,,,,,,,,,,4.4335,,,,,,,,,,,,,,79ed007d-2915-48fb-9991-a200ac79a174,34,,"[94.0, 48.7]",68364,0,,,,-1.1487913,,Head,,,,"[113.8, 4.6]",,High Pass,,48.340977,,,,Guillermo Luis Franco Farquarson,26198.0,,,True,,,Recovery,1,From Free Kick,Robert Pirès,19312.0,Center Attacking Midfield,4,Villarreal,222,['3f19da5e-3451-4a81-9c0a-6d8625a65e9b'],58,,,,,,,,,,,,,,,,,Villarreal,222,00:00:58.759,Pass,,2007/2008
,,,,,,,,,,,,,,,,0.8891,,,,,,,,,,,,,,32369ed6-9535-4c74-89b4-507019163124,38,,"[115.5, 2.0]",68364,1,,,,2.9340963,,Right Foot,,,,"[102.2, 4.8]",,Ground Pass,,13.591541,,,,Santiago Cazorla González,11386.0,,,,,,,1,From Free Kick,Guillermo Luis Franco Farquarson,26198.0,Center Forward,4,Villarreal,222,['27a8f021-21e9-4da4-9ff0-8fe418f0b651'],3,,,,,,,,,,,,,,,,,Villarreal,222,00:01:03.837,Pass,,2007/2008
,,,,,,,,,,,,,,,,1.221833,,,,,,,,,,,,,,d8b8102d-f44c-454c-84f8-7078e6f25477,42,,"[118.2, 1.4]",68364,1,,,,2.9686394,,Right Foot,,,,"[101.6, 4.3]",,Ground Pass,,16.85141,,,,Guillermo Luis Franco Farquarson,26198.0,,,,,,,1,From Free Kick,Santiago Cazorla González,11386.0,Left Midfield,4,Villarreal,222,['b50eacdf-ae79-419d-8392-a8aa515df149'],8,,,,,,,,,,,,,,,,,Villarreal,222,00:01:08.526,Pass,,2007/2008
,,,,,,,,,,,,,,,,1.6981,,,,,,,,,,,,,,e4f7e360-c523-498a-ac1f-3924f3907155,45,,"[101.6, 4.3]",68364,1,,,,0.8508069,,Right Foot,,,,"[112.3, 16.5]",,Ground Pass,,16.227446,,,,Rubén Gracia Calmache,25921.0,,,,,,,1,From Free Kick,Guillermo Luis Franco Farquarson,26198.0,Center Forward,4,Villarreal,222,['9fe481cb-b357-48fa-82cc-e1a66aff221b'],11,,,,,,,,,,,,,,,,,Villarreal,222,00:01:11.336,Pass,,2007/2008
,,,,,,,,,,,,,,,,0.6824,,,,,,,,,,,,,,bd6e73cb-74f6-4279-9d8c-54e99caac183,49,,"[112.1, 15.3]",68364,1,,,,2.416989,,Right Foot,,,,"[106.0, 20.7]",,Ground Pass,,8.146778,,,,Joan Capdevila Méndez,20134.0,,,,,,,1,From Free Kick,Rubén Gracia Calmache,25921.0,Right Midfield,4,Villarreal,222,['7ca0f9a8-f178-4379-b247-db99a4bca1fd'],13,,,,,,,,,,,,,,,,,Villarreal,222,00:01:13.114,Pass,,2007/2008
,,,,,,,,,,,,,,,,0.7832,,,,,,,,,,,,,,1beab4d4-dc6b-4603-82e3-0ab1175d0789,55,,"[105.4, 28.5]",68364,1,,,,3.0402462,,Left Foot,,,,"[99.5, 29.1]",,Ground Pass,,5.93043,,Incomplete,,Bruno Soriano Llido,22819.0,,,,,,,1,From Free Kick,Joan Capdevila Méndez,20134.0,Left Back,4,Villarreal,222,"['2c173839-468e-4c1b-b96d-c7a63584baf5', '80e6e413-21ed-485c-8bbb-1623f0a6aca3']",15,,,,,,,,,,,,,,,,,Villarreal,222,00:01:15.001,Pass,,2007/2008
