50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,c582bb8d-1207-4107-bce0-28228abaf049,1,,,,68366,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 26005, 'name': 'José Manuel Pinto Colorado'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 15774, 'name': 'Gianluca Zambrotta'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 11}, {'player': {'id': 15071, 'name': 'Lilian Thuram'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 21}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 20177, 'name': 'Eric-Sylvain Bilal Abidal'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 25910, 'name': 'José Edmílson Gomes de Moraes'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 3087, 'name': 'Gnégnéri Yaya Touré'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 24}, {'player': {'id': 19757, 'name': 'Anderson Luís de Souza'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 15516, 'name': 'Thierry Henry'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 19298, 'name': ""Samuel Eto''o Fils""}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2007/2008
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,da4d399a-4821-43b4-8bc2-561a16045ebe,2,,,,68366,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 7069, 'name': 'Miguel Ángel Moyà Rumbo'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 26200, 'name': 'Héctor Berenguel del Piño'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 24}, {'player': {'id': 26012, 'name': 'David Navarro Pedrós'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 17}, {'player': {'id': 25992, 'name': 'José Carlos de Araújo Nunes'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 16}, {'player': {'id': 6913, 'name': 'Fernando Navarro i Corbacho'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 25995, 'name': 'Juan Fernando Arango Sáenz'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 18}, {'player': {'id': 6997, 'name': 'Borja Valero Iglesias'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 19771, 'name': 'Angelos Basinas'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 26201, 'name': 'Fernando Varela Ramos'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 25876, 'name': 'Pierre Achille Webó Kouamo'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 20132, 'name': 'Daniel González Güiza'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 14}]}",Mallorca,1043,00:00:00.000,Starting XI,,2007/2008
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,f6ac06de-18c7-4ae5-8bf7-8ebb37cdb19d,3,,,,68366,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['095820c6-491b-4019-9d1a-74eb70b3a2b2'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2007/2008
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,095820c6-491b-4019-9d1a-74eb70b3a2b2,4,,,,68366,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['f6ac06de-18c7-4ae5-8bf7-8ebb37cdb19d'],0,,,,,,,,,,,,,,,,,,Mallorca,1043,00:00:00.000,Half Start,,2007/2008
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,7387fdfa-e7eb-4ce8-a9ac-8ac83b3d9be4,1851,,,,68366,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,109,Barcelona,217,['60ed366b-32af-422c-81b4-ca824f68e074'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2007/2008
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,60ed366b-32af-422c-81b4-ca824f68e074,1852,,,,68366,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,109,Barcelona,217,['7387fdfa-e7eb-4ce8-a9ac-8ac83b3d9be4'],0,,,,,,,,,,,,,,,,,,Mallorca,1043,00:00:00.000,Half Start,,2007/2008
,,,,,,,,,,,,,,,,,,,0.612737,,,,,,,,,,,,,,7b06fc3d-944e-487e-aeae-578c13e678d4,5,,,"[61.0, 41.0]",68366,0,,True,,,1.5707964,,Left Foot,,,,"[61.0, 42.9]",,Ground Pass,,1.9,,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,Kick Off,1,From Kick Off,Samuel Eto''o Fils,19298.0,Center Forward,2,Barcelona,217,['8a712cef-6f5d-4218-980a-553a7454a529'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.384,Pass,,2007/2008
,,,,,,,,,,,,,,,,,,,1.88602,,,,,,,,,,,,,,6ddcc19c-0125-4a0d-a4d1-a60fecefdaa7,7,,,"[61.7, 50.9]",68366,0,,,,,2.5966306,,Left Foot,,,,"[39.1, 64.6]",,Ground Pass,,26.428205,,,,,Gianluca Zambrotta,15774.0,,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,2,Barcelona,217,['685c0e4c-5b36-42e9-af8e-6e740561683c'],1,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.406,Pass,,2007/2008
,,,,,,,,,,,,,,,,,,,1.406745,,,,,,,,,,,,,,88e43cc4-a202-4998-b8f9-2b3fc7acb3bc,10,,,"[38.8, 64.3]",68366,0,,,,,-1.7755773,,Left Foot,,,,"[36.1, 51.3]",,Ground Pass,,13.277425,,,,,José Edmílson Gomes de Moraes,25910.0,,,,,,,1,From Kick Off,Gianluca Zambrotta,15774.0,Right Back,2,Barcelona,217,['7ec97b86-8b17-4563-a5e2-5f8ac4f5931c'],4,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:04.378,Pass,,2007/2008
,,,,,,,,,,,,,,,,,,,2.452548,,,,,,,,,,,,,,c6166a3c-5058-4306-ae22-72d90eafbc6a,13,,,"[38.1, 48.2]",68366,0,,,,,-1.4839442,,Right Foot,,,,"[41.4, 10.3]",,Ground Pass,,38.043396,,,,,Eric-Sylvain Bilal Abidal,20177.0,,,,,,,1,From Kick Off,José Edmílson Gomes de Moraes,25910.0,Center Defensive Midfield,2,Barcelona,217,['b19e579e-301c-4c0e-ae3d-247cc3a04e8a'],6,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:06.936,Pass,,2007/2008
,,,,,,,,,,,,,,,,,,,0.947074,,,,,,,,,,,,,,45c4cd28-bca5-48e1-bb8a-c25cb49f8cf9,16,,,"[42.4, 9.3]",68366,0,,,,,-0.2148154,,Left Foot,,,,"[64.4, 4.5]",,Ground Pass,,22.51755,,,,,Thierry Henry,15516.0,,,,,,,1,From Kick Off,Eric-Sylvain Bilal Abidal,20177.0,Left Back,2,Barcelona,217,['6fcac038-5c96-46f3-a8c1-30364eaa6ab7'],10,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:10.182,Pass,,2007/2008
