50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_redirect,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,d18cac53-51fc-47e5-8e9b-457ef14e3bc2,1,,,69138,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sporting Gijón,1041,,0,,,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 26245, 'name': 'Sergio Sánchez Sánchez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 26244, 'name': 'Rafael Sastre Reus'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 26250, 'name': 'Gerard Autet Serrabasa'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 16}, {'player': {'id': 25805, 'name': 'Jorge García Torre'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 25706, 'name': 'Raúl Miguel Cámara'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 20}, {'player': {'id': 26255, 'name': 'Sergio Matabuena Delgado'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 26237, 'name': 'Andreu Guerao Mayoral'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 26240, 'name': 'Francisco José Maldonado Collantes'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 10}, {'player': {'id': 26252, 'name': 'Diego Castro Giménez'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 17}, {'player': {'id': 26229, 'name': 'Carmelo José González Jiménez'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 6}, {'player': {'id': 26227, 'name': 'Mate Bilić'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Sporting Gijón,1041,00:00:00.000,Starting XI,,2008/2009
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,15e8c852-5113-4b47-8b5b-8d412d1241fc,2,,,69138,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sporting Gijón,1041,,0,,,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 5558, 'name': 'Rafael Márquez Álvarez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 20177, 'name': 'Eric-Sylvain Bilal Abidal'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 28}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 20169, 'name': 'Seydou Kéita'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 8}, {'player': {'id': 19298, 'name': ""Samuel Eto''o Fils""}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2008/2009
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,a380e07d-a763-4046-b74b-7d6ff6fcbb6e,3,,,69138,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sporting Gijón,1041,['8ed4955a-a7dc-43bf-bda7-bc42bd47cbf0'],0,,,,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:00.000,Half Start,,2008/2009
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,8ed4955a-a7dc-43bf-bda7-bc42bd47cbf0,4,,,69138,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sporting Gijón,1041,['a380e07d-a763-4046-b74b-7d6ff6fcbb6e'],0,,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2008/2009
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,86d7fa4f-bf84-4601-b360-92bc30359d22,1710,,,69138,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,87,Barcelona,217,['74accf2e-768b-4be6-8a1f-c3855203ab93'],0,,,,,,,,,,,,,,,,,,,,Sporting Gijón,1041,00:00:00.000,Half Start,,2008/2009
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,74accf2e-768b-4be6-8a1f-c3855203ab93,1711,,,69138,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,87,Barcelona,217,['86d7fa4f-bf84-4601-b360-92bc30359d22'],0,,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2008/2009
,,,,,,,,,,,,,,,,,0.3499,,,,,,,,,,,,,,,322527d3-e845-41d9-984f-8accb6d157bc,5,,"[61.0, 41.0]",69138,0,,,,-1.3521274,,Left Foot,,,,"[61.4, 39.2]",,Ground Pass,,1.8439089,,,,Samuel Eto''o Fils,19298.0,,,,,,Kick Off,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,2,Barcelona,217,['326ab6d2-decc-4aab-be7f-3376f3bc851a'],3,,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:03.921,Pass,,2008/2009
,,,,,,,,,,,,,,,,,2.098158,,,,,,,,,,,,,,,0f559781-e95b-4f28-88f7-e8daf439d41e,8,,"[59.4, 40.8]",69138,0,,,,2.0735302,,Right Foot,,,,"[40.1, 75.9]",,Ground Pass,,40.05621,,,,Daniel Alves da Silva,4324.0,,,,,,,1,From Kick Off,Samuel Eto''o Fils,19298.0,Center Forward,2,Barcelona,217,['b0cd3288-d029-477f-9adb-f327e8b45015'],4,,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:04.939,Pass,,2008/2009
,,,,,,,,,,,,,,,,,1.934871,,,,,,,,,,,,,,,a3f314c9-d5bb-4669-96e6-9a681ad571b6,11,,"[40.1, 75.9]",69138,0,,,,-2.3178856,,Right Foot,,,,"[26.3, 61.0]",,Ground Pass,,20.308865,,,,Rafael Márquez Álvarez,5558.0,,,,,,,1,From Kick Off,Daniel Alves da Silva,4324.0,Right Back,2,Barcelona,217,['21f85c67-5a6d-4f20-8ba9-4f8c64f32060'],8,,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:08.318,Pass,,2008/2009
,,,,,,,,,,,,,,,,,2.252557,,,,,,,,,,,,,,,2670b256-1ea1-48d5-9f6c-54e773fada58,14,,"[26.3, 61.0]",69138,0,,,,-1.5368588,,Right Foot,,,,"[27.4, 28.6]",,Ground Pass,,32.418667,,,,Carles Puyol i Saforcada,20125.0,,,,,,,1,From Kick Off,Rafael Márquez Álvarez,5558.0,Right Center Back,2,Barcelona,217,['506f6419-008f-4a8d-a0bc-5e46887b4101'],11,,,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:11.627,Pass,,2008/2009
