ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,970e9a18-49e1-45ca-8a7a-a43615194d0a,1,,,69141,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 15774, 'name': 'Gianluca Zambrotta'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 11}, {'player': {'id': 15071, 'name': 'Lilian Thuram'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 21}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 20177, 'name': 'Eric-Sylvain Bilal Abidal'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 5558, 'name': 'Rafael Márquez Álvarez'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 19757, 'name': 'Anderson Luís de Souza'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 15516, 'name': 'Thierry Henry'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 19298, 'name': ""Samuel Eto''o Fils""}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2007/2008
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,d8a06683-0997-49b1-be7f-64636a0643d4,2,,,69141,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 26219, 'name': 'Timo Hildebrand'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 20070, 'name': 'Luís Miguel Brito Garcia Monteiro'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 7030, 'name': 'Raúl Albiol i Tortajada'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 6614, 'name': 'Alexis Ruano Delgado'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 20}, {'player': {'id': 26223, 'name': 'Marco Antonio Simoes Caneira'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 20129, 'name': 'Rubén Baraja Vegas'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 20127, 'name': 'Carlos Marchena López'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 5}, {'player': {'id': 6651, 'name': 'Joaquín Sánchez Rodríguez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 3064, 'name': 'David Josué Jiménez Silva'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 21}, {'player': {'id': 3294, 'name': 'Juan Manuel Mata García'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 16}, {'player': {'id': 12737, 'name': 'David Villa Sánchez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Valencia,207,00:00:00.000,Starting XI,,2007/2008
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,e6744c88-7d9a-4a3d-9054-2896fa6e5ca5,3,,,69141,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['29e2cef5-facd-446c-819c-5a2b7db99b04'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2007/2008
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,29e2cef5-facd-446c-819c-5a2b7db99b04,4,,,69141,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['e6744c88-7d9a-4a3d-9054-2896fa6e5ca5'],0,,,,,,,,,,,,,,,,,,Valencia,207,00:00:00.000,Half Start,,2007/2008
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,5897a0e2-3950-4154-b9c2-03607824b358,1951,,,69141,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,109,Valencia,207,['c577a76d-e860-41dd-861c-1d4ae7ca273b'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2007/2008
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,c577a76d-e860-41dd-861c-1d4ae7ca273b,1952,,,69141,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,109,Valencia,207,['5897a0e2-3950-4154-b9c2-03607824b358'],0,,,,,,,,,,,,,,,,,,Valencia,207,00:00:00.000,Half Start,,2007/2008
,,,,,,,,,,,,,,,,,0.676284,,,,,,,,,,,,,,,a677797d-d29a-405a-b325-48867668d28e,5,,"[61.0, 41.0]",69141,0,,,,,-2.2730532,,Left Foot,,,,"[58.8, 38.4]",,Ground Pass,,3.4058774,,,David Villa Sánchez,12737.0,,,,,,Kick Off,1,From Kick Off,David Josué Jiménez Silva,3064.0,Center Attacking Midfield,2,Valencia,207,['cba5f2fe-b330-422e-8696-358d3bafdece'],0,,,,,,,,,,,,,,,,,,Valencia,207,00:00:00.675,Pass,,2007/2008
,,,,,,,,,,,,,,,,,1.681606,,,,,,,,,,,,,,,3c302121-7ddc-4910-8cd4-314e65f458e6,8,,"[60.0, 42.9]",69141,0,,,,,2.2886646,,Right Foot,,,,"[40.7, 65.0]",,Ground Pass,,29.341097,,,Luís Miguel Brito Garcia Monteiro,20070.0,,,,,,,1,From Kick Off,David Villa Sánchez,12737.0,Center Forward,2,Valencia,207,['48e27e63-9a48-4053-bd8e-461a52c24be8'],2,,,,,,,,,,,,,,,,,,Valencia,207,00:00:02.486,Pass,,2007/2008
,,,,,,,,,,,,,,,,,1.928759,,,,,,,,,,,,,,,80dc405d-faf4-490d-9d82-afa0126d058d,12,,"[37.2, 55.2]",69141,0,,,,,-1.8874319,,Right Foot,,,,"[29.5, 31.7]",,Ground Pass,,24.729334,,,Alexis Ruano Delgado,6614.0,,,,,,,1,From Kick Off,Luís Miguel Brito Garcia Monteiro,20070.0,Right Back,2,Valencia,207,['8c237c39-c4bd-48b3-b481-a966e1200bd2'],6,,,,,,,,,,,,,,,,,,Valencia,207,00:00:06.121,Pass,,2007/2008
,,,,,,,,,,,,,,,,,1.820477,,,,,,,,,,,,,,,3470826e-a5b2-4ae3-b808-a56706e7430c,15,,"[28.3, 27.2]",69141,0,,,,,-1.2249218,,Right Foot,,,,"[36.3, 5.0]",,Ground Pass,,23.597458,,,Marco Antonio Simoes Caneira,26223.0,,,,,,,1,From Kick Off,Alexis Ruano Delgado,6614.0,Left Center Back,2,Valencia,207,['bb8f477e-c70d-43dd-a4f9-479eb64f0ca3'],8,,,,,,,,,,,,,,,,,,Valencia,207,00:00:08.564,Pass,,2007/2008
