bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e173e4a2-7b01-4b45-934e-7e4a4ab7cb01,1,,,69142,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 5558, 'name': 'Rafael Márquez Álvarez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 5248, 'name': 'José Martín Cáceres Silva'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 25854, 'name': 'Sylvio Mendes Campos Junior'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 16}, {'player': {'id': 3087, 'name': 'Gnégnéri Yaya Touré'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 15516, 'name': 'Thierry Henry'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 19298, 'name': ""Samuel Eto''o Fils""}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2008/2009
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,975ac35c-34a7-4aee-ab52-dc051b64f35a,2,,,69142,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 26225, 'name': 'Iñaki Goitia Peña'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 4788, 'name': 'Jesús Gámez Duarte'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 26232, 'name': 'Ibán Javier Cuadrado Alonso'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 26224, 'name': 'Hélder Miguel Do Rosario Data'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 25892, 'name': 'Ignacio Pérez Santamaría'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 23}, {'player': {'id': 26234, 'name': 'Antonio Galdeano Benítez'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 26254, 'name': 'Manuel Jesús Ortiz Toribio'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 20518, 'name': 'Albert Luque Martos'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 5}, {'player': {'id': 26249, 'name': 'Fernando Miguel Fernández Escribano'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 10798, 'name': 'Eliseu Pereira dos Santos'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 18}, {'player': {'id': 26246, 'name': 'Salvador Ballesta Vialcho'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Málaga,223,00:00:00.000,Starting XI,,2008/2009
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,bb43d124-f6f2-483a-9b30-ff2482234626,3,,,69142,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['97a3e969-e188-485a-8420-8a51c5ba9f81'],0,,,,,,,,,,,,,,,,,Málaga,223,00:00:00.000,Half Start,,2008/2009
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,97a3e969-e188-485a-8420-8a51c5ba9f81,4,,,69142,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['bb43d124-f6f2-483a-9b30-ff2482234626'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2008/2009
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6ae407c5-b4cd-4615-bc65-1ef8dcd5f6c5,1795,,,69142,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,86,Barcelona,217,['15e35572-afd6-4e3e-b04b-c9be0f5ed504'],0,,,,,,,,,,,,,,,,,Málaga,223,00:00:00.000,Half Start,,2008/2009
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,15e35572-afd6-4e3e-b04b-c9be0f5ed504,1796,,,69142,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,86,Barcelona,217,['6ae407c5-b4cd-4615-bc65-1ef8dcd5f6c5'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2008/2009
,,,,,,,,,,,,,,,,0.345162,,,,,,,,,,,,,83dbaff6-76fb-473d-a3a7-d42f7b31bab8,5,,"[61.0, 40.1]",69142,0,True,,,-1.8925469,,Right Foot,,"[59.8, 36.5]",,Ground Pass,,3.7947333,,,,Fernando Miguel Fernández Escribano,26249.0,,,,,,Kick Off,1,From Kick Off,Salvador Ballesta Vialcho,26246.0,Center Forward,2,Málaga,223,['0baaae75-37ab-4f20-995e-1359df1cff00'],1,,,,,,,,,,,,,,,,,Málaga,223,00:00:01.307,Pass,,2008/2009
,,,,,,,,,,,,,,,,0.748933,,,,,,,,,,,,,33f5cb18-872e-45a1-b76c-ed9c2254b02b,7,,"[60.1, 38.8]",69142,0,,,,3.1010742,,Left Foot,,"[52.7, 39.1]",,Ground Pass,,7.406079,,,,Antonio Galdeano Benítez,26234.0,,,,,,,1,From Kick Off,Fernando Miguel Fernández Escribano,26249.0,Center Attacking Midfield,2,Málaga,223,['e9e07d51-1f59-43b8-a2b2-238caff28166'],2,,,,,,,,,,,,,,,,,Málaga,223,00:00:02.286,Pass,,2008/2009
,,,,,,,,,,,,,,,,1.89951,,,,,,,,,,,,,3f704362-6c26-4b2e-bb74-48cd9a978ab5,10,,"[52.7, 39.1]",69142,0,,,,-2.0028243,,Right Foot,,"[37.3, 5.7]",,Ground Pass,,36.779343,,,,Ignacio Pérez Santamaría,25892.0,,,,,,,1,From Kick Off,Antonio Galdeano Benítez,26234.0,Right Defensive Midfield,2,Málaga,223,['379e8144-67a3-43c8-89d1-24761d52040d'],3,,,,,,,,,,,,,,,,,Málaga,223,00:00:03.800,Pass,,2008/2009
,,,,,,,,,,,,,,,,1.832843,,,,,,,,,,,,,41e9cc01-2622-4b0f-b369-0d1081372f67,14,,"[38.3, 5.1]",69142,0,,,,0.0,,Left Foot,,"[65.4, 5.1]",,Low Pass,,27.1,,,,Eliseu Pereira dos Santos,10798.0,,,,,,,1,From Kick Off,Ignacio Pérez Santamaría,25892.0,Left Back,2,Málaga,223,"['4a8bc4ef-3ab4-4c44-9bc6-e8568cf5c292', '8777a938-e640-4764-928a-7c2986ef54f2']",7,,,,,,,,,,,,,,,,,Málaga,223,00:00:07.255,Pass,True,2008/2009
,,,,,,,,,,,,,,,,0.8497,,,,,,,,,,,,,21150488-1518-4c65-bd1b-e01b500a2762,17,,"[65.4, 5.1]",69142,0,,,,0.79394495,,Right Foot,,"[71.2, 11.0]",,Ground Pass,,8.273452,,,,Fernando Miguel Fernández Escribano,26249.0,,,,,,,1,From Kick Off,Eliseu Pereira dos Santos,10798.0,Left Wing,2,Málaga,223,['b28952f4-e82b-435a-bb5e-2a1204d63389'],9,,,,,,,,,,,,,,,,,Málaga,223,00:00:09.168,Pass,,2008/2009
,,,,,,,,,,,,,,,,0.761312,,,,,,,,,,,,,afba88d0-6bd1-4eb2-b20e-88933676cc5b,22,,"[39.9, 73.9]",69142,0,,,,0.19150172,,Right Foot,,"[49.7, 75.8]",,Ground Pass,,9.982485,,,,Daniel Alves da Silva,4324.0,,,,,,Recovery,1,Regular Play,Rafael Márquez Álvarez,5558.0,Right Center Back,3,Barcelona,217,['127bbfdd-0c77-4fcb-9419-abf493263849'],11,,,,,,,,,,,,,,,,,Barcelona,217,00:00:11.586,Pass,,2008/2009
,,,,,,,,,,,,,,,,1.0311,,,,,,,,,,,,,c9cec856-1413-47f0-a870-f7ae6a36e2e5,25,,"[49.7, 75.8]",69142,0,,,,-1.2454357,,Right Foot,,"[52.5, 67.5]",,Ground Pass,,8.759566,,,,Xavier Hernández Creus,20131.0,,,,,,,1,Regular Play,Daniel Alves da Silva,4324.0,Right Back,3,Barcelona,217,['e51a9f73-c200-4ff9-b358-1ca6776caa5b'],12,,,,,,,,,,,,,,,,,Barcelona,217,00:00:12.870,Pass,,2008/2009
,,,,,,,,,,,,,,,,2.5855,,,,,,,,,,,,,2a04718d-90b0-4640-a28c-4226ba42b4be,28,,"[52.5, 67.1]",69142,0,,,,-1.6580185,,Right Foot,,"[48.6, 22.5]",,Low Pass,,44.77019,,,,Sylvio Mendes Campos Junior,25854.0,,,True,,,,1,Regular Play,Xavier Hernández Creus,20131.0,Left Center Midfield,3,Barcelona,217,['70cc0017-ff2b-4c01-9d32-0407248522ee'],15,,,,,,,,,,,,,,,,,Barcelona,217,00:00:15.330,Pass,,2008/2009
,,,,,,,,,,,,,,,,1.2054,,,,,,,,,,,,,59c254d0-5a08-415c-836a-a46dda5cf4b7,31,,"[54.0, 17.8]",69142,0,,,,-0.26984915,,Left Foot,,"[68.1, 13.9]",,Ground Pass,,14.629422,,,,Thierry Henry,15516.0,,,,,,,1,Regular Play,Sylvio Mendes Campos Junior,25854.0,Left Back,3,Barcelona,217,['5855c205-27d4-48e7-8fea-b0ac3b201b57'],19,,,,,,,,,,,,,,,,,Barcelona,217,00:00:19.489,Pass,,2008/2009
,,,,,,,,,,,,,,,,1.4006,,,,,,,,,,,,,8adad35f-d640-4f78-85b3-120ac73b8caa,33,,"[68.1, 13.5]",69142,0,,,,2.965908,,Right Foot,,"[51.2, 16.5]",,Ground Pass,,17.164207,,,,Sylvio Mendes Campos Junior,25854.0,,,,,,,1,Regular Play,Thierry Henry,15516.0,Left Wing,3,Barcelona,217,['dd478a89-6b46-4c30-8c99-102b71c357aa'],20,,,,,,,,,,,,,,,,,Barcelona,217,00:00:20.695,Pass,,2008/2009
,,,,,,,,,,,,,,,,1.0331,,,,,,,,,,,,,11942eb4-dbf7-4f71-a2f0-5f862a7c3b85,36,,"[54.2, 17.1]",69142,0,,,,1.4706756,,Left Foot,,"[56.4, 39.0]",,Ground Pass,,22.010225,,,,Gnégnéri Yaya Touré,3087.0,,,,,,,1,Regular Play,Sylvio Mendes Campos Junior,25854.0,Left Back,3,Barcelona,217,['59a5000e-d8bc-4016-81c8-17ea17bc53af'],23,,,,,,,,,,,,,,,,,Barcelona,217,00:00:23.111,Pass,,2008/2009
,,,,,,,,,,,,,,,,2.0565,,,,,,,,,,,,,82772743-eaff-4d3d-9f28-f91fcac866fa,38,,"[56.4, 39.0]",69142,0,,,,-2.7209294,,Right Foot,,"[45.0, 33.9]",,Ground Pass,,12.488795,,,,José Martín Cáceres Silva,5248.0,,,,,,,1,Regular Play,Gnégnéri Yaya Touré,3087.0,Center Defensive Midfield,3,Barcelona,217,['d71f5af4-5162-4183-b96a-79f6f098fc41'],24,,,,,,,,,,,,,,,,,Barcelona,217,00:00:24.144,Pass,,2008/2009
,,,,,,,,,,,,,,,,1.8062,,,,,,,,,,,,,726af648-132b-4268-a9bf-28796c6cc2dd,41,,"[45.0, 33.9]",69142,0,,,,1.4611461,,Right Foot,,"[48.6, 66.6]",,Ground Pass,,32.897568,,,,Rafael Márquez Álvarez,5558.0,,,,,,,1,Regular Play,José Martín Cáceres Silva,5248.0,Left Center Back,3,Barcelona,217,['feb6d832-d1da-43a7-9a82-6880943114c6'],26,,,,,,,,,,,,,,,,,Barcelona,217,00:00:26.908,Pass,,2008/2009
,,,,,,,,,,,,,,,,0.8955,,,,,,,,,,,,,8c52a1a1-11f1-4455-8321-195da6424e90,45,,"[61.3, 69.4]",69142,0,,,,0.10639285,,Right Foot,,"[71.6, 70.5]",,Ground Pass,,10.358571,,Incomplete,,Lionel Andrés Messi Cuccittini,5503.0,,,,,,,1,Regular Play,Rafael Márquez Álvarez,5558.0,Right Center Back,3,Barcelona,217,"['128a5af3-bc4c-4f96-a9c4-03b8ac0b5667', '900f4639-8414-4ab8-a5e7-eb81d8ed02fd', 'a3d04304-78d2-4809-a749-bb07599875a7']",30,,,,,,,,,,,,,,,,,Barcelona,217,00:00:30.579,Pass,True,2008/2009
,,,,,,,,,,,,,,,,3.775896,,,,,,,,,,,,,f6693e12-692a-4cdd-881c-0a613abe0675,51,,"[44.5, 24.6]",69142,0,,,,0.7347848,,Right Foot,,"[72.5, 49.9]",,Ground Pass,,37.737118,,Incomplete,,Albert Luque Martos,20518.0,,,,,,,1,Regular Play,Manuel Jesús Ortiz Toribio,26254.0,Left Defensive Midfield,3,Barcelona,217,"['53baa50c-9f01-4dd6-a415-3074636733bd', '587c98fa-96a1-4ec4-ae83-f67c549500f7', 'cbd2c5dc-31b2-4cdb-a111-b798a914dacd']",33,,,,,,,,,,,,,,,,,Málaga,223,00:00:33.983,Pass,True,2008/2009
,,,,,,,,,,,,,,,,1.8731,,,,,,,,,,,,,c8f84d0f-9a1c-4e80-b600-335152065ba6,55,,"[41.6, 34.1]",69142,0,,,,-1.0980992,,Right Foot,,"[55.1, 7.7]",,Ground Pass,,29.651476,,,,Sylvio Mendes Campos Junior,25854.0,,,,,,,1,Regular Play,José Martín Cáceres Silva,5248.0,Left Center Back,3,Barcelona,217,['addb7295-acff-4247-b6d1-954d9342eb04'],39,,,,,,,,,,,,,,,,,Barcelona,217,00:00:39.840,Pass,,2008/2009
