bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,0.0,,,,,,,,,,,28d4353b-f566-44ff-81c1-7f2435fffbcc,1,,,69146,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sevilla,213,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 25946, 'name': 'Andrés Palop Cervera'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 4}, {'player': {'id': 26018, 'name': 'Julien Escudé'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 25952, 'name': 'Ivica Dragutinovic'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 22102, 'name': 'Adriano Correia Claro'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 6}, {'player': {'id': 6821, 'name': 'Jesús Navas González'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 7}, {'player': {'id': 20169, 'name': 'Seydou Kéita'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 20150, 'name': 'Christian Bjørnshøj Poulsen'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 24683, 'name': 'Diego Ángel Capel Trinidad'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 17}, {'player': {'id': 25960, 'name': 'Frédéric Oumar Kanouté'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 12}, {'player': {'id': 25943, 'name': 'Luís Fabiano Clemente'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 10}]}",Sevilla,213,00:00:00.000,Starting XI,,2007/2008
,,,,,,,,,,,,,,0.0,,,,,,,,,,,b4d4da30-ced3-459d-b2ba-1048ee98ac8b,2,,,69146,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sevilla,213,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 25873, 'name': 'Oleguer Presas Renom'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 15071, 'name': 'Lilian Thuram'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 21}, {'player': {'id': 25919, 'name': 'Gabriel Alejandro Milito'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 20177, 'name': 'Eric-Sylvain Bilal Abidal'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 25910, 'name': 'José Edmílson Gomes de Moraes'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 5987, 'name': 'Giovani dos Santos Ramírez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 19}, {'player': {'id': 15516, 'name': 'Thierry Henry'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 14}]}",Barcelona,217,00:00:00.000,Starting XI,,2007/2008
,,,,,,,,,,,,,,0.0,,,,,,,,,,,afc25dad-52e4-44b4-acf5-01a63ebe6c28,3,,,69146,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sevilla,213,['bd387bfd-8286-4ec5-a8dc-d9c92b22a1b4'],0,,,,,,,,,,,,,,,,,Sevilla,213,00:00:00.000,Half Start,,2007/2008
,,,,,,,,,,,,,,0.0,,,,,,,,,,,bd387bfd-8286-4ec5-a8dc-d9c92b22a1b4,4,,,69146,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sevilla,213,['afc25dad-52e4-44b4-acf5-01a63ebe6c28'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2007/2008
,,,,,,,,,,,,,,0.0,,,,,,,,,,,4d401d26-0740-48cc-930e-ffec77004aff,1771,,,69146,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,122,Sevilla,213,['4458ea7e-ed85-4602-8c8d-3115b5be79df'],0,,,,,,,,,,,,,,,,,Sevilla,213,00:00:00.000,Half Start,,2007/2008
,,,,,,,,,,,,,,0.0,,,,,,,,,,,4458ea7e-ed85-4602-8c8d-3115b5be79df,1772,,,69146,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,122,Sevilla,213,['4d401d26-0740-48cc-930e-ffec77004aff'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2007/2008
,,,,,,,,,,,,,,0.909649,,,,,,,,,,,0c43d5a5-fc37-4b54-b380-ac497a2b4fa4,5,,"[60.0, 40.0]",69146,0,,,,,3.0172377,,Left Foot,,,,"[44.0, 42.0]",,Ground Pass,16.124516,,,,José Edmílson Gomes de Moraes,25910.0,,,,,Kick Off,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Left Wing,2,Barcelona,217,['c3d8baac-4884-4772-8e25-bdab8afd7611'],1,,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.400,Pass,,2007/2008
,,,,,,,,,,,,,,3.0787,,,,,,,,,,,1d80e75b-299a-4817-ab39-be84d475df20,8,,"[41.9, 34.4]",69146,0,,,,,-0.1017238,,Right Foot,,,,"[99.7, 28.5]",,High Pass,58.100346,,Incomplete,,Thierry Henry,15516.0,,,,,,1,From Kick Off,José Edmílson Gomes de Moraes,25910.0,Center Defensive Midfield,2,Barcelona,217,"['85ad96bd-e9da-4fcf-af9e-c4937306dfd9', '947ac638-ce35-47d5-9b24-cd820dbd2a90']",3,,,,,,,,,,,,,,,,,Barcelona,217,00:00:03.701,Pass,,2007/2008
,,,,,,,,,,,,,,1.582194,,,,,,,,,,,8e65a7a4-8295-498e-a604-0351a569aeb5,14,,"[63.2, 48.1]",69146,0,,,,,2.872186,,Right Foot,,,,"[49.8, 51.8]",,Ground Pass,13.901439,,,,Lilian Thuram,15071.0,,,,,,1,From Kick Off,Xavier Hernández Creus,20131.0,Left Center Midfield,2,Barcelona,217,['a992252a-6027-44b4-aecc-b7db95611065'],12,,,,,,,,,,,,,,,,,Barcelona,217,00:00:12.431,Pass,,2007/2008
,,,,,,,,,,,,,,1.133944,,,,,,,,,,,73e4932d-9052-4cc4-b2d5-06c15f27ed15,17,,"[37.9, 48.8]",69146,0,,,,,-0.87308484,,Left Foot,,,,"[46.2, 38.9]",,Ground Pass,12.918979,,,,José Edmílson Gomes de Moraes,25910.0,,,,,,1,From Kick Off,Lilian Thuram,15071.0,Right Center Back,2,Barcelona,217,['7c310ba1-f2d3-4835-b9fb-7835c49aeafe'],16,,,,,,,,,,,,,,,,,Barcelona,217,00:00:16.799,Pass,,2007/2008
