ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,1e6a5655-f8fb-46e0-a375-c17419641cb3,1,,,69153,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Albacete,608,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 26410, 'name': 'Ronald Louis Gaspercic'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 26411, 'name': 'Óscar Montiel Marín'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 26068, 'name': 'Rubén González Rocha'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 26414, 'name': 'Gustavo Lionel Siviero'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 12}, {'player': {'id': 25900, 'name': 'Francisco Peña Romero'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 26413, 'name': 'David Sánchez Rodríguez'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 25899, 'name': 'Gaspar Gálvez Burgos'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 5}, {'player': {'id': 26412, 'name': 'Pablo Redondo Martínez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 25904, 'name': 'Antonio Pacheco D""Agosti'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 20}, {'player': {'id': 25908, 'name': 'Mark Dennis González Hoffmann'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 26415, 'name': 'Mikel Aguirregomezkorta Larrea'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 21}]}",Albacete,608,00:00:00.000,Starting XI,,2004/2005
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,a093a039-474b-4921-9120-8501acd27c54,2,,,69153,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Albacete,608,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 25896, 'name': 'Damià Abella Pérez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 32}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 25873, 'name': 'Oleguer Presas Renom'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 17797, 'name': 'Giovanni van Bronckhorst'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 5558, 'name': 'Rafael Márquez Álvarez'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 19757, 'name': 'Anderson Luís de Souza'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 24}, {'player': {'id': 25879, 'name': 'Ronaldo de Assis Moreira'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 19298, 'name': ""Samuel Eto''o Fils""}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2004/2005
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,a46dfc5d-aeef-43ab-b0c1-bc204b049500,3,,,69153,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Albacete,608,['5fc1e870-85f2-438c-92ce-b90a67634e38'],0,,,,,,,,,,,,,,,,,,Albacete,608,00:00:00.000,Half Start,,2004/2005
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,5fc1e870-85f2-438c-92ce-b90a67634e38,4,,,69153,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Albacete,608,['a46dfc5d-aeef-43ab-b0c1-bc204b049500'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2004/2005
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,06c26703-ff27-4984-a6fb-bb68eabd7b8b,1541,,,69153,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,112,Barcelona,217,['6d86b19e-fc4a-4cde-944d-c113b16c7638'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2004/2005
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,6d86b19e-fc4a-4cde-944d-c113b16c7638,1542,,,69153,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,112,Barcelona,217,['06c26703-ff27-4984-a6fb-bb68eabd7b8b'],0,,,,,,,,,,,,,,,,,,Albacete,608,00:00:00.000,Half Start,,2004/2005
,,,,,,,,,,,,,,,,1.2359,,,,,,,,,,,0a4d0415-bfe7-473b-8a2a-4e102e6bf1b7,5,,"[61.0, 41.0]",69153,0,,,,,1.7078625,,Right Foot,,"[60.6, 43.9]",,Ground Pass,,2.9274561,,,,Xavier Hernández Creus,20131.0,,,,,Kick Off,1,From Kick Off,Samuel Eto''o Fils,19298.0,Center Forward,2,Barcelona,217,['471f28f4-ae73-421b-93e9-79f0bd1c64da'],1,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.558,Pass,,2004/2005
,,,,,,,,,,,,,,,,2.040839,,,,,,,,,,,99c1eea6-dbf3-4355-ab8f-ef1302810096,8,,"[60.4, 44.3]",69153,0,,,,,-2.6737435,,Right Foot,,"[50.9, 39.5]",,Low Pass,,10.643778,,,,Giovanni van Bronckhorst,17797.0,,,,,,1,From Kick Off,Xavier Hernández Creus,20131.0,Left Center Midfield,2,Barcelona,217,['096dad55-4d79-4b15-bf21-70c1c7fe0da9'],2,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:02.823,Pass,,2004/2005
,,,,,,,,,,,,,,,,1.038,,,,,,,,,,,aac931f2-36d0-49c4-a5f0-93eb93868bd4,11,,"[48.0, 12.1]",69153,0,,,,,1.1737169,,Left Foot,,"[53.2, 24.5]",,Ground Pass,,13.446189,,,,Anderson Luís de Souza,19757.0,,,,,,1,From Kick Off,Giovanni van Bronckhorst,17797.0,Left Back,2,Barcelona,217,['0e079d5f-bd27-4e25-8238-2dd5decb64cf'],5,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:05.887,Pass,,2004/2005
,,,,,,,,,,,,,,,,0.8085,,,,,,,,,,,de94f209-2554-44df-b47e-3f795bbc64bf,14,,"[53.4, 24.7]",69153,0,,,,,1.7221718,,Right Foot,,"[50.7, 42.4]",,Ground Pass,,17.904749,,,,Rafael Márquez Álvarez,5558.0,,,,,,1,From Kick Off,Anderson Luís de Souza,19757.0,Right Center Midfield,2,Barcelona,217,['1c56017d-13c3-43fc-a3ee-d632a9e22565'],8,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:08.231,Pass,,2004/2005
,,,,,,,,,,,,,,,,3.878053,,,,,,,,,,,5edbc34d-f249-48fe-ac19-3b8f9a6a3ddf,16,,"[47.8, 48.1]",69153,0,,,,,2.7402692,,Right Foot,,"[20.7, 59.6]",,Ground Pass,,29.439089,,,,Carles Puyol i Saforcada,20125.0,,,,,,1,From Kick Off,Rafael Márquez Álvarez,5558.0,Center Defensive Midfield,2,Barcelona,217,['998ad1d6-00a5-4d30-8c2e-b6e176b24ab9'],9,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:09.039,Pass,,2004/2005
,,,,,,,,,,,,,,,,2.3227,,,,,,,,,,,980a41b9-7cc0-4379-915e-6410f43a2287,19,,"[20.7, 59.6]",69153,0,,,,,-1.48916,,Right Foot,,"[23.4, 26.6]",,Ground Pass,,33.11027,,,,Oleguer Presas Renom,25873.0,,,,,,1,From Kick Off,Carles Puyol i Saforcada,20125.0,Right Center Back,2,Barcelona,217,['b59d6a35-0ddd-473c-a0ed-134396e44733'],15,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:15.480,Pass,,2004/2005
,,,,,,,,,,,,,,,,1.3688,,,,,,,,,,,944372f1-e705-4e5b-a6bb-8230e430417a,23,,"[64.8, 26.4]",69153,0,,,,,0.5404195,,Right Foot,,"[88.3, 40.5]",,Ground Pass,,27.405474,,Incomplete,,,,,,,,,1,From Kick Off,Oleguer Presas Renom,25873.0,Left Center Back,2,Barcelona,217,['08e19b8f-9100-42e5-86b9-0d432dbba8de'],24,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:24.515,Pass,,2004/2005
,,,,,,,,,,,,,,,,2.302,,,,,,,,,,,08e19b8f-9100-42e5-86b9-0d432dbba8de,24,,"[32.7, 40.5]",69153,0,,,,,0.4470038,,Right Foot,,"[64.2, 55.6]",,High Pass,,34.93222,,Incomplete,,,,,,,,Recovery,1,From Kick Off,Gustavo Lionel Siviero,26414.0,Left Center Back,2,Barcelona,217,"['7d3ae0b7-5eeb-49f6-8a12-08294439110e', '944372f1-e705-4e5b-a6bb-8230e430417a']",25,,,,,,,,,,,,,,,,,,Albacete,608,00:00:25.884,Pass,,2004/2005
,,,,,,,,,,,,,,,,1.4884,,,,,,,,,,,5ebff5c7-3f74-4dc2-81bd-e02d082d9adc,27,,"[59.5, 26.2]",69153,0,,,,,1.038018,,Right Foot,,"[76.6, 55.2]",,Low Pass,,33.666157,,,,Samuel Eto''o Fils,19298.0,,,,,,1,From Kick Off,Xavier Hernández Creus,20131.0,Left Center Midfield,2,Barcelona,217,['b1d15a60-33e3-4ccc-ad0c-e659a85bed16'],29,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:29.720,Pass,,2004/2005
,,,,,,,,,,,,,,,,1.9837,,,,,,,,,,,aad93749-1f50-43cc-b11a-4914d72f54eb,31,,"[77.0, 54.2]",69153,0,,,,,-0.9674746,,Right Foot,,"[88.3, 37.8]",,High Pass,,19.916075,,Incomplete,,,,,,,,,1,From Kick Off,Samuel Eto''o Fils,19298.0,Center Forward,2,Barcelona,217,['29023f89-8936-48e8-9b74-3e64058c0d11'],31,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:31.284,Pass,,2004/2005
