ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,70454122-7299-4b82-81ae-c32e9d2d4330,1,,,69155,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Villarreal,222,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 25936, 'name': 'Mario Sebastián Viera Galain'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 25937, 'name': 'Javier Rodríguez Venta'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 17}, {'player': {'id': 26196, 'name': 'Fabricio Fabio Fuentes'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 20}, {'player': {'id': 26194, 'name': 'Pascal Cygan'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 12}, {'player': {'id': 26418, 'name': 'José Enrique de la Sánchez Diaz'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 4}, {'player': {'id': 20135, 'name': 'Marcos Antonio Senna da Silva'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 19}, {'player': {'id': 25939, 'name': 'José Joaquín Moreno Verdú'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 25921, 'name': 'Rubén Gracia Calmache'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 19312, 'name': 'Robert Pirès'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 7669, 'name': 'Marcos García Barreno'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 27}, {'player': {'id': 26199, 'name': 'Diego Forlán Corazo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 5}]}",Villarreal,222,00:00:00.000,Starting XI,,2006/2007
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,c20361aa-f053-4aab-8a25-c75b4e8669ce,2,,,69155,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Villarreal,222,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 15774, 'name': 'Gianluca Zambrotta'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 11}, {'player': {'id': 15071, 'name': 'Lilian Thuram'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 21}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 25854, 'name': 'Sylvio Mendes Campos Junior'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 16}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 24}, {'player': {'id': 19757, 'name': 'Anderson Luís de Souza'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 25879, 'name': 'Ronaldo de Assis Moreira'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 19298, 'name': ""Samuel Eto''o Fils""}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2006/2007
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0f6ad9c4-18c7-4931-bdfb-0b4c815c5103,3,,,69155,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Villarreal,222,['76fc4c09-b61a-453a-85f3-fd04286514bf'],0,,,,,,,,,,,,,,,,,,Villarreal,222,00:00:00.000,Half Start,,2006/2007
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,76fc4c09-b61a-453a-85f3-fd04286514bf,4,,,69155,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Villarreal,222,['0f6ad9c4-18c7-4931-bdfb-0b4c815c5103'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2006/2007
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,f5335b4e-d2f4-47f2-9937-a670aa44aa00,1988,,,69155,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,105,Villarreal,222,['7fb12fff-bd72-4197-a450-7f4ac00cf7e2'],0,,,,,,,,,,,,,,,,,,Villarreal,222,00:00:00.000,Half Start,,2006/2007
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,7fb12fff-bd72-4197-a450-7f4ac00cf7e2,1989,,,69155,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,105,Villarreal,222,['f5335b4e-d2f4-47f2-9937-a670aa44aa00'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2006/2007
,,,,,,,,,,,,,,,,0.4457,,,,,,,,,,d8581efc-db35-4a53-a799-f3402dd52646,5,,"[61.0, 40.1]",69155,0,,True,,,-1.849096,,Right Foot,,,"[60.0, 36.6]",,Ground Pass,,3.640055,,,,Samuel Eto''o Fils,19298.0,,,,,Kick Off,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,2,Barcelona,217,['99737ff6-b452-48e2-bb39-4bb2c9d60665'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.468,Pass,,2006/2007
,,,,,,,,,,,,,,,,1.7821,,,,,,,,,,7e480166-60f7-4284-b01e-ebb198931167,7,,"[60.8, 36.1]",69155,0,,,,,2.929551,,Left Foot,,,"[46.4, 39.2]",,Ground Pass,,14.729901,,,,Xavier Hernández Creus,20131.0,,,,,,1,From Kick Off,Samuel Eto''o Fils,19298.0,Center Forward,2,Barcelona,217,['8afec5fb-e8d3-4305-a9ba-537fed735ef3'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.993,Pass,,2006/2007
,,,,,,,,,,,,,,,,1.7952,,,,,,,,,,1126eedf-f7e0-4810-a3fe-31f553e06fdd,10,,"[46.4, 39.2]",69155,0,,,,,-1.6521765,,Right Foot,,,"[44.1, 11.0]",,Ground Pass,,28.293638,,,,Sylvio Mendes Campos Junior,25854.0,,,,,,1,From Kick Off,Xavier Hernández Creus,20131.0,Center Defensive Midfield,2,Barcelona,217,['f0d9fc75-2866-4b99-9a46-12d6610d2763'],3,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:03.161,Pass,,2006/2007
,,,,,,,,,,,,,,,,2.790601,,,,,,,,,,0b7f027a-ccd9-410a-b467-61f647b01d3b,13,,"[44.1, 11.0]",69155,0,,,,,2.0827334,,Left Foot,,,"[32.3, 32.0]",,Ground Pass,,24.088171,,,,Carles Puyol i Saforcada,20125.0,,,,,,1,From Kick Off,Sylvio Mendes Campos Junior,25854.0,Left Back,2,Barcelona,217,['06c2258d-8640-45f7-8674-c27f1e03dbc4'],5,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:05.482,Pass,,2006/2007
