bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,half_start_late_video_start,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2138222d-6776-4145-abe9-886fe078e07f,1,,,,69165,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 15774, 'name': 'Gianluca Zambrotta'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 11}, {'player': {'id': 15071, 'name': 'Lilian Thuram'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 21}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 17797, 'name': 'Giovanni van Bronckhorst'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 24}, {'player': {'id': 19757, 'name': 'Anderson Luís de Souza'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 19298, 'name': ""Samuel Eto''o Fils""}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 9}, {'player': {'id': 11270, 'name': 'Eiður Smári Guðjohnsen'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Barcelona,217,00:00:00.000,Starting XI,,2006/2007
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ea2fcbab-f684-4f8d-99af-3348b8e8f0ee,2,,,,69165,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 26103, 'name': 'Idriss Carlos Kameni'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 26088, 'name': 'Jesús María Lacruz Gómez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 4}, {'player': {'id': 26163, 'name': 'Marc Torrejón Moya'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 19}, {'player': {'id': 26110, 'name': 'Daniel Jarque Gonzalez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 21}, {'player': {'id': 26170, 'name': 'Francisco Javier Chica Torres'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 26102, 'name': 'Ferrán Corominas Telechea'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 20}, {'player': {'id': 26162, 'name': 'Moisés Hurtado Pérez'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 22}, {'player': {'id': 26105, 'name': 'Iván De la Peña López'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 9}, {'player': {'id': 26159, 'name': 'Albert Riera Ortega'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 23916, 'name': 'Luis García Fernández'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 26109, 'name': 'Raúl Tamudo Montero'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 23}]}",Espanyol,214,00:00:00.000,Starting XI,,2006/2007
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7840207a-5fc3-4faa-bc15-6d048ad030ed,3,,,,69165,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['46548943-31cd-4cbe-ab96-7ba4ae107477'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2006/2007
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,46548943-31cd-4cbe-ab96-7ba4ae107477,4,,,,69165,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['7840207a-5fc3-4faa-bc15-6d048ad030ed'],0,,,,,,,,,,,,,,,,Espanyol,214,00:00:00.000,Half Start,,2006/2007
,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,True,83d02b0b-824a-4955-833c-84ce5f532c8d,1607,,,,69165,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,109,Espanyol,214,['367e6461-0a4a-44ff-b1ca-1b529cc4c3a0'],0,,,,,,,,,,,,,,,,Espanyol,214,00:00:00.000,Half Start,,2006/2007
,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,True,367e6461-0a4a-44ff-b1ca-1b529cc4c3a0,1608,,,,69165,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,109,Espanyol,214,['83d02b0b-824a-4955-833c-84ce5f532c8d'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2006/2007
,,,,,,,,,,,,,,,,0.19827,,,,,,,,,,,,,7481a909-2d7d-49de-89b8-3a8d949d34a9,5,,,"[61.0, 41.0]",69165,0,,True,,,1.5083776,,Right Foot,,,,"[61.2, 44.2]",,Ground Pass,,3.206244,,,,,Anderson Luís de Souza,19757.0,,,,,,Kick Off,1,From Kick Off,Samuel Eto''o Fils,19298.0,Left Wing,2,Barcelona,217,['28ccbac5-3843-4a6a-88c4-5b92940c83ef'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.531,Pass,,2006/2007
,,,,,,,,,,,,,,,,1.052623,,,,,,,,,,,,,c75b5dff-ea42-4d9b-a93f-ab125273d500,7,,,"[60.1, 44.3]",69165,0,,,,,-2.9594243,,Right Foot,,,,"[48.7, 42.2]",,Ground Pass,,11.591807,,,,,Xavier Hernández Creus,20131.0,,,,,,,1,From Kick Off,Anderson Luís de Souza,19757.0,Left Center Midfield,2,Barcelona,217,['d0d7d49c-dc82-42ff-bb7e-4893efed44d7'],1,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.350,Pass,,2006/2007
,,,,,,,,,,,,,,,,1.623361,,,,,,,,,,,,,93c54889-c09a-4cdc-9b8b-0754b536742c,10,,,"[47.7, 37.5]",69165,0,,,,,-1.5707964,,Right Foot,,,,"[47.7, 15.8]",,Ground Pass,,21.7,,,,,Giovanni van Bronckhorst,17797.0,,,,,,,1,From Kick Off,Xavier Hernández Creus,20131.0,Center Defensive Midfield,2,Barcelona,217,['f429bb26-f0a8-460e-95a7-bf5e12e1b14f'],3,,,,,,,,,,,,,,,,Barcelona,217,00:00:03.846,Pass,,2006/2007
,,,,,,,,,,,,,,,,1.559851,,,,,,,,,,,,,85c6067b-c080-4a6b-ae11-53c5c92b082c,14,,,"[52.2, 9.9]",69165,0,,,,,2.4221778,,Left Foot,,,,"[40.1, 20.5]",,Ground Pass,,16.08633,,,,,Carles Puyol i Saforcada,20125.0,,,,,,,1,From Kick Off,Giovanni van Bronckhorst,17797.0,Left Back,2,Barcelona,217,['0ca872d4-6ab3-47fa-aad0-76717c1c90f9'],6,,,,,,,,,,,,,,,,Barcelona,217,00:00:06.531,Pass,,2006/2007
