ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0040304d-f47b-4d20-90a6-7e43f3cd19f6,1,,,69169,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 15774, 'name': 'Gianluca Zambrotta'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 11}, {'player': {'id': 5558, 'name': 'Rafael Márquez Álvarez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 25873, 'name': 'Oleguer Presas Renom'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 20177, 'name': 'Eric-Sylvain Bilal Abidal'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 3087, 'name': 'Gnégnéri Yaya Touré'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 19757, 'name': 'Anderson Luís de Souza'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 25879, 'name': 'Ronaldo de Assis Moreira'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 15516, 'name': 'Thierry Henry'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 14}]}",Barcelona,217,00:00:00.000,Starting XI,,2007/2008
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0496f5f3-6bf4-48c6-8cdf-00e9c0ff6611,2,,,69169,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 6576, 'name': 'Gorka Iraizoz Moreno'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 26031, 'name': 'Andoni Iraola Sagarna'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 26100, 'name': 'Ustaritz Aldekoaotalora Astarloa'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 26028, 'name': 'Fernando Amorebieta Mardaras'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 26479, 'name': 'Koikili Lertxundi Del Campo'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 25869, 'name': 'David López Moreno'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 25}, {'player': {'id': 26478, 'name': 'Roberto Martínez Rípodas'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 9399, 'name': 'Javier Martínez Aginaga'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 24}, {'player': {'id': 26034, 'name': 'Igor Gabilondo del Campo'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 6390, 'name': 'Markel Susaeta Laskurain'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 27}, {'player': {'id': 6394, 'name': 'Aritz Aduriz Zubeldia'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 23}]}",Athletic Club,215,00:00:00.000,Starting XI,,2007/2008
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,f3641919-64be-4ad4-bae5-92e745a600aa,3,,,69169,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['04299799-6859-4be1-bb39-5e2ba035a51d'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2007/2008
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,04299799-6859-4be1-bb39-5e2ba035a51d,4,,,69169,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['f3641919-64be-4ad4-bae5-92e745a600aa'],0,,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:00.000,Half Start,,2007/2008
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,57fdd883-2956-4283-a1bd-835ee7f76618,2020,,,69169,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,103,Barcelona,217,['50f208bf-1dab-4ee1-850a-a492651045ba'],0,,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:00.000,Half Start,,2007/2008
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,50f208bf-1dab-4ee1-850a-a492651045ba,2021,,,69169,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,103,Barcelona,217,['57fdd883-2956-4283-a1bd-835ee7f76618'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2007/2008
,,,,,,,,,,,,,,,,0.549241,,,,,,,,,,,,,,,045b1656-a6ca-4e03-93a9-09a64ca01233,5,,"[61.0, 41.0]",69169,0,,,,,-0.47734538,,Right Foot,,"[63.9, 39.5]",,Ground Pass,3.2649655,,,,Aritz Aduriz Zubeldia,6394.0,,,,,,Kick Off,1,From Kick Off,Markel Susaeta Laskurain,6390.0,Center Attacking Midfield,2,Athletic Club,215,['0fc4dc8b-42e2-464c-af8a-bcf97db7d189'],0,,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:00.628,Pass,,2007/2008
,,,,,,,,,,,,,,,,0.922447,,,,,,,,,,,,,,,c6e904c5-a505-416e-b66b-86ae24652939,9,,"[66.0, 36.1]",69169,0,,,,,-0.89308804,,Left Foot,,"[72.6, 27.9]",,Ground Pass,10.526158,,,,Markel Susaeta Laskurain,6390.0,,,,,,,1,From Kick Off,Aritz Aduriz Zubeldia,6394.0,Center Forward,2,Athletic Club,215,['bdbda546-cfb5-4b6c-9c49-6cf313932ab7'],3,,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:03.359,Pass,,2007/2008
,,,,,,,,,,,,,,,,1.247495,,,,,,,,,,,,,,,35f0b404-f021-4f47-9e26-49acb29086f7,19,,"[58.7, 1.0]",69169,0,,,,,0.887087,,,,"[71.9, 17.2]",,High Pass,20.89689,,,,Markel Susaeta Laskurain,6390.0,,,,,,Throw-in,1,From Throw In,Koikili Lertxundi Del Campo,26479.0,Left Back,3,Athletic Club,215,['75e60e58-d04c-4b26-b02c-d14373d3b36d'],32,,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:32.570,Pass,,2007/2008
,,,,,,,,,,,,,,,,1.4819,,,,,,,,,,,,,,,f8bfb3ea-d0c8-47de-8794-bfc8ebab7214,24,,"[73.2, 16.5]",69169,0,,,,,0.9207776,,Left Foot,,"[86.2, 33.6]",,High Pass,21.480455,,,,Aritz Aduriz Zubeldia,6394.0,,,,,,,1,From Throw In,Markel Susaeta Laskurain,6390.0,Center Attacking Midfield,3,Athletic Club,215,"['7df56602-c52f-4cc1-8b48-988d2bf6e770', '8b5930c2-b7b0-485e-b35f-f1cb6e375bec', 'f454b758-0806-4cf2-a073-131d3f56ad2c']",34,,,,,,,,,,,,,,,,,,Athletic Club,215,00:00:34.885,Pass,True,2007/2008
