bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,9a21beb1-4792-4ba6-a0cb-6e16766a797e,1,,,69170,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 15774, 'name': 'Gianluca Zambrotta'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 11}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 25919, 'name': 'Gabriel Alejandro Milito'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 25854, 'name': 'Sylvio Mendes Campos Junior'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 16}, {'player': {'id': 5558, 'name': 'Rafael Márquez Álvarez'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 25879, 'name': 'Ronaldo de Assis Moreira'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 19298, 'name': ""Samuel Eto''o Fils""}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2007/2008
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,8b30bbed-6505-41d3-9a85-44259b742b98,2,,,69170,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 26221, 'name': 'Gustavo Adolfo Munúa Vera'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 26209, 'name': 'Manuel Pablo García Díaz'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 26218, 'name': 'Adrián López Rodríguez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 28}, {'player': {'id': 26207, 'name': 'Fabricio Coloccini'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 6320, 'name': 'Filipe Luís Kasmirski'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 26064, 'name': 'Antonio Tomás González'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 26214, 'name': 'Julián de Guzmán'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 26212, 'name': 'Cristian Hidalgo González'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 20}, {'player': {'id': 26211, 'name': 'Joan Verdú Fernández'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 5563, 'name': 'José Andrés Guardado Hernández'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 18}, {'player': {'id': 23929, 'name': 'Francisco Jiménez Tejada'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 23}]}",RC Deportivo La Coruña,219,00:00:00.000,Starting XI,,2007/2008
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,4f76e9df-1b57-40c6-92de-1c6d90cc1ddc,3,,,69170,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['35dbf0b6-3cf3-4fac-9e3b-0019810f9ff2'],0,,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:00.000,Half Start,,2007/2008
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,35dbf0b6-3cf3-4fac-9e3b-0019810f9ff2,4,,,69170,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['4f76e9df-1b57-40c6-92de-1c6d90cc1ddc'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2007/2008
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,8e90854d-09d2-424f-bfc5-220871f114fc,1952,,,69170,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,115,Barcelona,217,['211cc35d-a08b-471a-a907-5b63572adad5'],0,,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:00.000,Half Start,,2007/2008
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,211cc35d-a08b-471a-a907-5b63572adad5,1953,,,69170,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,115,Barcelona,217,['8e90854d-09d2-424f-bfc5-220871f114fc'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2007/2008
,,,,,,,,,,,,,,,,,0.275664,,,,,,,,,,,,,,,,102d8ee3-49c5-43a1-b798-5dc31c17ad80,5,,"[60.0, 40.0]",69170,0,,,,,-2.2917676,,Right Foot,,,,"[57.1, 36.7]",,Ground Pass,,4.3931766,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,Kick Off,1,From Kick Off,Samuel Eto''o Fils,19298.0,Center Forward,2,Barcelona,217,['ba7a5192-a5f5-4167-8b7a-0e4050afa88c'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.978,Pass,,2007/2008
,,,,,,,,,,,,,,,,,0.607025,,,,,,,,,,,,,,,,66ac2284-7754-4878-bfd7-e3465a0ca0d2,8,,"[58.3, 36.7]",69170,0,,,,,2.9919267,,Right Foot,,,,"[45.7, 38.6]",,Ground Pass,,12.742449,,,,Andrés Iniesta Luján,5216.0,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,2,Barcelona,217,['60b188f4-b2d2-48b8-b025-545001bbe25d'],1,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.488,Pass,,2007/2008
,,,,,,,,,,,,,,,,,0.437128,,,,,,,,,,,,,,,,da604e13-e37d-42cb-99ed-c4f85aa7b4f4,11,,"[43.8, 36.7]",69170,0,,,,,1.8533512,,Right Foot,,,,"[40.2, 49.1]",,Ground Pass,,12.91201,,,,Rafael Márquez Álvarez,5558.0,,,,,,1,From Kick Off,Andrés Iniesta Luján,5216.0,Right Center Midfield,2,Barcelona,217,['e503c606-6e69-4392-b98c-e01aed71abf3'],3,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:03.048,Pass,,2007/2008
,,,,,,,,,,,,,,,,,0.581405,,,,,,,,,,,,,,,,db103dcf-af79-4947-96d2-1efd4c87d866,14,,"[40.7, 47.4]",69170,0,,,,,-2.7928216,,Right Foot,,,,"[29.7, 43.4]",,Ground Pass,,11.7046995,,,,Carles Puyol i Saforcada,20125.0,,,,,,1,From Kick Off,Rafael Márquez Álvarez,5558.0,Center Defensive Midfield,2,Barcelona,217,['c941bc10-d600-435d-8cbd-06e943c21e0d'],4,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:04.359,Pass,,2007/2008
,,,,,,,,,,,,,,,,,1.273769,,,,,,,,,,,,,,,,8de41b66-3792-42e6-825d-021a0c08f55e,17,,"[32.5, 42.6]",69170,0,,,,,-1.3590648,,Right Foot,,,,"[34.8, 31.9]",,Ground Pass,,10.944405,,,,Gabriel Alejandro Milito,25919.0,,,,,,1,From Kick Off,Carles Puyol i Saforcada,20125.0,Right Center Back,2,Barcelona,217,['05c55534-98c4-4408-bac3-38f52e209e36'],7,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:07.018,Pass,,2007/2008
,,,,,,,,,,,,,,,,,1.931628,,,,,,,,,,,,,,,,fd0a700f-b53b-4a65-9f2f-f2d4e937e7f8,20,,"[34.8, 27.7]",69170,0,,,,,1.6778619,,Left Foot,,,,"[32.5, 49.1]",,Ground Pass,,21.523243,,,,Carles Puyol i Saforcada,20125.0,,,,,,1,From Kick Off,Gabriel Alejandro Milito,25919.0,Left Center Back,2,Barcelona,217,['eef18f4a-f7c3-4fad-8e52-b7a82882ed55'],9,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:09.292,Pass,,2007/2008
,,,,,,,,,,,,,,,,,0.801501,,,,,,,,,,,,,,,,042d6b40-e2c2-48bd-8891-27f4b9440d45,23,,"[35.4, 50.2]",69170,0,,,,,0.865685,,Right Foot,,,,"[43.4, 59.6]",,Ground Pass,,12.343419,,,,Rafael Márquez Álvarez,5558.0,,,,,,1,From Kick Off,Carles Puyol i Saforcada,20125.0,Right Center Back,2,Barcelona,217,['b7bb0bb2-81ba-4ff9-b32d-98e11f189986'],12,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:12.344,Pass,,2007/2008
