ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,0.0,,,,,,,,,,,d8364294-9a08-4694-a4c4-c57294a5fca9,1,,,,69173,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 15774, 'name': 'Gianluca Zambrotta'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 11}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 25919, 'name': 'Gabriel Alejandro Milito'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 25854, 'name': 'Sylvio Mendes Campos Junior'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 16}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 19757, 'name': 'Anderson Luís de Souza'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 11270, 'name': 'Eiður Smári Guðjohnsen'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 5987, 'name': 'Giovani dos Santos Ramírez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 15516, 'name': 'Thierry Henry'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 4913, 'name': 'Bojan Krkíc Pérez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 27}]}",Barcelona,217,00:00:00.000,Starting XI,,2007/2008
,,,,,,,,,,,,,0.0,,,,,,,,,,,ff433b44-ec33-40b0-9984-cbbec6677164,2,,,,69173,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 26488, 'name': 'Fabio Coltorti'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6904, 'name': 'Sergio Sánchez Ortega'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 16}, {'player': {'id': 26067, 'name': 'Oriol Lozano Farrán'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 26044, 'name': 'César González Navas'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 26069, 'name': 'Luis Fernández Gutiérrez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 17}, {'player': {'id': 26489, 'name': 'Aldo Pedro Duscher'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 25958, 'name': 'Jordi López Felpeto'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 26025, 'name': 'Jorge López Montaña'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 7}, {'player': {'id': 26137, 'name': 'Óscar Serrano Rodriguez'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 26490, 'name': 'Mohamed Gasana Tchité'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 26491, 'name': 'Iván Bolado Palacios'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 32}]}",Racing Santander,1217,00:00:00.000,Starting XI,,2007/2008
,,,,,,,,,,,,,0.0,,,,,,,,,,,5097d39f-f7bd-4871-919c-6e85c9a9ae6b,3,,,,69173,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['32641c18-a106-4b69-9d36-51cc98d11077'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2007/2008
,,,,,,,,,,,,,0.0,,,,,,,,,,,32641c18-a106-4b69-9d36-51cc98d11077,4,,,,69173,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['5097d39f-f7bd-4871-919c-6e85c9a9ae6b'],0,,,,,,,,,,,,,,,,,,Racing Santander,1217,00:00:00.000,Half Start,,2007/2008
,,,,,,,,,,,,,0.0,,,,,,,,,,,6900597b-d86b-4a71-ba0d-6235c09cac48,1905,,,,69173,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,97,Barcelona,217,['792fd1c1-89ae-415c-a7c9-b18db47b2fd3'],0,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2007/2008
,,,,,,,,,,,,,0.0,,,,,,,,,,,792fd1c1-89ae-415c-a7c9-b18db47b2fd3,1906,,,,69173,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,97,Barcelona,217,['6900597b-d86b-4a71-ba0d-6235c09cac48'],0,,,,,,,,,,,,,,,,,,Racing Santander,1217,00:00:00.000,Half Start,,2007/2008
,,,,,,,,,,,,,0.1871,,,,,,,,,,,7894f618-5b02-4dea-8406-ab182b5f692d,5,,,"[61.0, 41.0]",69173,0,,True,,,-1.6642731,,Right Foot,,,,"[60.7, 37.8]",Ground Pass,,3.2140317,,,,Mohamed Gasana Tchité,26490.0,,,,,,Kick Off,1,From Kick Off,Iván Bolado Palacios,26491.0,Left Center Forward,2,Racing Santander,1217,['a16865e3-027d-4bdb-836e-e32d5a707252'],0,,,,,,,,,,,,,,,,,,Racing Santander,1217,00:00:00.687,Pass,,2007/2008
,,,,,,,,,,,,,2.2934,,,,,,,,,,,5b0c0b85-5db3-4cc5-aa63-8d2ef861d6df,7,,,"[57.5, 40.0]",69173,0,,,,,2.870873,,Right Foot,,,,"[34.8, 46.3]",Ground Pass,,23.558014,,,,Oriol Lozano Farrán,26067.0,,,,,,,1,From Kick Off,Mohamed Gasana Tchité,26490.0,Right Center Forward,2,Racing Santander,1217,['df1179b8-f15c-4895-84e5-00fbbf302faa'],0,,,,,,,,,,,,,,,,,,Racing Santander,1217,00:00:00.874,Pass,,2007/2008
,,,,,,,,,,,,,2.403227,,,,,,,,,,,1f0264a8-a50d-4e20-b029-5a4f48f17dcf,10,,,"[37.6, 47.0]",69173,0,,,,,-0.5917499,,Right Foot,,,,"[80.6, 18.1]",High Pass,,51.80936,,Incomplete,,Óscar Serrano Rodriguez,26137.0,,,,,,,1,From Kick Off,Oriol Lozano Farrán,26067.0,Right Center Back,2,Racing Santander,1217,"['68f2826b-2585-4fd8-b6b7-da96befe8b42', '72d3b26f-e1c3-4889-b5d6-cd99a2b5baa4']",5,,,,,,,,,,,,,,,,,,Racing Santander,1217,00:00:05.939,Pass,,2007/2008
,,,,,,,,,,,,,1.100113,,,,,,,,,,,72d3b26f-e1c3-4889-b5d6-cd99a2b5baa4,12,,,"[40.4, 62.9]",69173,0,,,,,0.21008882,,Head,,,,"[54.0, 65.8]",Low Pass,,13.905754,,,,Giovani dos Santos Ramírez,5987.0,,,,,,Recovery,1,Regular Play,Gianluca Zambrotta,15774.0,Right Back,3,Barcelona,217,"['1f0264a8-a50d-4e20-b029-5a4f48f17dcf', '2ed2e1a1-191f-459f-a636-0db6e1372da0']",8,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:08.343,Pass,,2007/2008
,,,,,,,,,,,,,1.375558,,,,,,,,,,,d79a1ea5-02e5-44ba-b08b-942b142d9460,16,,,"[50.6, 66.3]",69173,0,,,,,2.910502,,Left Foot,,,,"[35.3, 69.9]",Low Pass,,15.717824,,,,Gianluca Zambrotta,15774.0,,,,,,,1,Regular Play,Giovani dos Santos Ramírez,5987.0,Right Wing,3,Barcelona,217,"['0d2efaea-d88a-4bb7-b125-53e2594e32e7', 'fc01ed44-14ec-4588-b5a4-8761a4d16086']",10,,,,,,,,,,,,,,,,,,Barcelona,217,00:00:10.285,Pass,True,2007/2008
