bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,0.0,,,,,,,,,,c4ea56b4-2a44-4938-a62d-14a983e0fec9,1,,,,69179,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Zaragoza,395,,0,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 25917, 'name': 'César Sánchez Domínguez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 26022, 'name': 'Carlos Andrés Diogo Enseñat'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 18}, {'player': {'id': 25919, 'name': 'Gabriel Alejandro Milito'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 26023, 'name': 'Juan Francisco García García'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 11}, {'player': {'id': 24520, 'name': 'Alberto Zapater Arjol'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 25909, 'name': 'Albert Celades López'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 26024, 'name': 'Pablo César Aimar Giordano'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 6767, 'name': 'Sergio García De La Fuente'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 9}, {'player': {'id': 25410, 'name': ""Andrés Nicolás D''Alessandro""}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 19294, 'name': 'Diego Alberto Milito'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 22}]}",Real Zaragoza,395,00:00:00.000,Starting XI,,2006/2007
,,,,,,,,,,,,,,,0.0,,,,,,,,,,17cbfc55-da0b-4405-97ec-dab0b9a94496,2,,,,69179,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Zaragoza,395,,0,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 25873, 'name': 'Oleguer Presas Renom'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 15071, 'name': 'Lilian Thuram'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 21}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 6}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 24}, {'player': {'id': 19757, 'name': 'Anderson Luís de Souza'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 5558, 'name': 'Rafael Márquez Álvarez'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 25878, 'name': 'Ludovic Giuly'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 8}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 19}, {'player': {'id': 25879, 'name': 'Ronaldo de Assis Moreira'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Barcelona,217,00:00:00.000,Starting XI,,2006/2007
,,,,,,,,,,,,,,,0.0,,,,,,,,,,1e5a45f0-99e3-40ad-a2d8-e028a1a4923b,3,,,,69179,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Zaragoza,395,['9d511afc-3fd2-45a0-ae50-0348aa563806'],0,,,,,,,,,,,,,,,Real Zaragoza,395,00:00:00.000,Half Start,,2006/2007
,,,,,,,,,,,,,,,0.0,,,,,,,,,,9d511afc-3fd2-45a0-ae50-0348aa563806,4,,,,69179,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Real Zaragoza,395,['1e5a45f0-99e3-40ad-a2d8-e028a1a4923b'],0,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2006/2007
,,,,,,,,,,,,,,,0.0,,,,,,,,,,ce7412ba-2173-4181-8461-070ecf4fca77,1852,,,,69179,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,111,Barcelona,217,['910ede93-6dec-4424-a1f7-9e7781241c4f'],0,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2006/2007
,,,,,,,,,,,,,,,0.0,,,,,,,,,,910ede93-6dec-4424-a1f7-9e7781241c4f,1853,,,,69179,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,111,Barcelona,217,['ce7412ba-2173-4181-8461-070ecf4fca77'],0,,,,,,,,,,,,,,,Real Zaragoza,395,00:00:00.000,Half Start,,2006/2007
,,,,,,,,,,,,,,,0.630201,,,,,,,,,,bc5d43a0-a5e9-4cc1-9e22-33a7a3159c47,5,,,"[60.0, 40.0]",69179,0,,,,0.88312507,,Right Foot,,,"[62.3, 42.8]",,Ground Pass,,3.6235342,,,,Sergio García De La Fuente,6767.0,,,,,Kick Off,1,From Kick Off,Diego Alberto Milito,19294.0,Center Forward,2,Real Zaragoza,395,['d9e553e2-f511-4d42-a13f-b1d5e0018bcc'],0,,,,,,,,,,,,,,,Real Zaragoza,395,00:00:00.414,Pass,,2006/2007
,,,,,,,,,,,,,,,1.6305,,,,,,,,,,9632b5ad-7565-4da1-a642-61625276880c,8,,,"[61.3, 43.4]",69179,0,,,,-2.527343,,Right Foot,,,"[51.8, 36.7]",,Ground Pass,,11.624973,,,,Pablo César Aimar Giordano,26024.0,,,,,,1,From Kick Off,Sergio García De La Fuente,6767.0,Right Wing,2,Real Zaragoza,395,['421fa545-8be7-4d94-8b13-29da57c3343f'],1,,,,,,,,,,,,,,,Real Zaragoza,395,00:00:01.084,Pass,,2006/2007
,,,,,,,,,,,,,,,1.0845,,,,,,,,,,0bad6f3e-a655-4ad6-882b-9dda628efe55,11,,,"[51.8, 36.7]",69179,0,,,,1.8468933,,Right Foot,,,"[48.4, 48.7]",,Ground Pass,,12.472369,,,,Albert Celades López,25909.0,,,,,,1,From Kick Off,Pablo César Aimar Giordano,26024.0,Left Center Midfield,2,Real Zaragoza,395,['7d68ba74-6322-48cd-9c22-ab0f59fe2af8'],3,,,,,,,,,,,,,,,Real Zaragoza,395,00:00:03.211,Pass,,2006/2007
,,,,,,,,,,,,,,,1.2326,,,,,,,,,,3cfc6cb0-7570-43cc-b238-d602a61a7ea3,14,,,"[48.4, 48.7]",69179,0,,,,-1.7500998,,Right Foot,,,"[45.5, 32.7]",,Ground Pass,,16.260689,,,,Alberto Zapater Arjol,24520.0,,,,,,1,From Kick Off,Albert Celades López,25909.0,Right Center Midfield,2,Real Zaragoza,395,['d092544f-98be-4396-bf01-3db5b82f9549'],4,,,,,,,,,,,,,,,Real Zaragoza,395,00:00:04.336,Pass,,2006/2007
,,,,,,,,,,,,,,,1.5225,,,,,,,,,,b507fb0f-3093-4264-a1f0-b500107c20fa,17,,,"[45.5, 32.7]",69179,0,,,,-1.4154739,,Right Foot,,,"[49.9, 4.6]",,Ground Pass,,28.442398,,,,Juan Francisco García García,26023.0,,,,,,1,From Kick Off,Alberto Zapater Arjol,24520.0,Center Defensive Midfield,2,Real Zaragoza,395,['f3e475db-d978-4daa-997a-7e4e4a4dee27'],6,,,,,,,,,,,,,,,Real Zaragoza,395,00:00:06.197,Pass,,2006/2007
,,,,,,,,,,,,,,,1.9627,,,,,,,,,,80be1fcb-5644-4f53-8827-4c14d87189e9,21,,,"[49.7, 4.8]",69179,0,,,,2.6496022,,Left Foot,,,"[34.4, 13.0]",,Ground Pass,,17.35886,,,,Gabriel Alejandro Milito,25919.0,,,,,,1,From Kick Off,Juan Francisco García García,26023.0,Left Back,2,Real Zaragoza,395,['d5ab9bef-462b-439d-878a-ab007bdcc00d'],8,,,,,,,,,,,,,,,Real Zaragoza,395,00:00:08.610,Pass,,2006/2007
,,,,,,,,,,,,,,,2.4318,,,,,,,,,,747a8bde-8408-48f0-8d22-722d5e817b5a,24,,,"[35.2, 13.4]",69179,0,,,,1.8404202,,Left Foot,,,"[25.5, 48.5]",,Ground Pass,,36.415657,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Gabriel Alejandro Milito,25919.0,Left Center Back,2,Real Zaragoza,395,['1fc5a2f3-9826-496c-997d-3b71ec437da1'],11,,,,,,,,,,,,,,,Real Zaragoza,395,00:00:11.741,Pass,,2006/2007
,,,,,,,,,,,,,,,1.1828,,,,,,,,,,09985437-f76f-45e5-8931-ea964296792d,27,,,"[31.6, 48.9]",69179,0,,,,-0.27609703,,Right Foot,,,"[43.6, 45.5]",,Ground Pass,,12.472369,,,,Alberto Zapater Arjol,24520.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Real Zaragoza,395,['b146b991-22da-42c0-8467-a47b885b7134'],15,,,,,,,,,,,,,,,Real Zaragoza,395,00:00:15.671,Pass,,2006/2007
,,,,,,,,,,,,,,,1.486248,,,,,,,,,,81daa1a5-3c6b-4258-a1b8-c77732514447,30,,,"[42.8, 51.2]",69179,0,,,,1.4500277,,Right Foot,,,"[45.3, 71.8]",,Ground Pass,,20.751144,,,,Carlos Andrés Diogo Enseñat,26022.0,,,,,,1,From Kick Off,Alberto Zapater Arjol,24520.0,Center Defensive Midfield,2,Real Zaragoza,395,['cc615aea-1da2-4cd7-9617-b451e1f0b1fa'],17,,,,,,,,,,,,,,,Real Zaragoza,395,00:00:17.973,Pass,,2006/2007
,,,,,,,,,,,,,,,1.4685,,,,,,,,,,3b5f6732-c11b-4333-bd64-48abb05ae999,33,,,"[45.1, 70.8]",69179,0,,,,-2.1466715,,Right Foot,,,"[31.4, 49.7]",,Low Pass,,25.157503,,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Carlos Andrés Diogo Enseñat,26022.0,Right Back,2,Real Zaragoza,395,"['42e48e37-f65f-42ee-a700-bcb4850ff9e2', 'dd5e32ef-4549-48be-870b-a9a0f98a3d58']",19,,,,,,,,,,,,,,,Real Zaragoza,395,00:00:19.459,Pass,True,2006/2007
,,,,,,,,,,,,,,,3.0844,,,,,,,,,,90857074-e9ca-4996-8106-d3b72b27f080,36,,,"[55.0, 54.8]",69179,0,,,,-0.58968514,,Right Foot,,,"[96.1, 27.3]",,High Pass,,49.45159,,Incomplete,,,,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Real Zaragoza,395,['bd07c1d1-3bbf-4fed-af32-3bd976e270e6'],30,,,,,,,,,,,,,,,Real Zaragoza,395,00:00:30.335,Pass,,2006/2007
,,,,,,,,,,,,,,,1.0438,,,,,,,,,,e2e139ec-6e78-4720-bdeb-e752084d4408,39,,,"[30.3, 54.6]",69179,0,,,,0.1378071,,Right Foot,,,"[44.0, 56.5]",,Low Pass,,13.831124,,Incomplete,,Xavier Hernández Creus,20131.0,,,,,,1,From Kick Off,Lilian Thuram,15071.0,Center Back,2,Real Zaragoza,395,"['c7c290fc-d49a-4d83-acc3-492c59a401b8', 'd00c3f16-4d9e-4d70-8d8c-7cfcd70cb82a']",34,,,,,,,,,,,,,,,Barcelona,217,00:00:34.842,Pass,,2006/2007
,,,,,,,,,,,,,,,3.0588,,,,,,,,,,d00c3f16-4d9e-4d70-8d8c-7cfcd70cb82a,41,,,"[77.0, 24.5]",69179,0,,,,-0.8272585,,Left Foot,,,"[95.3, 4.6]",,High Pass,,27.035162,,,,Pablo César Aimar Giordano,26024.0,,,,,Recovery,1,From Kick Off,Albert Celades López,25909.0,Right Center Midfield,2,Real Zaragoza,395,"['e2e139ec-6e78-4720-bdeb-e752084d4408', 'f7a1d2a8-56c1-4e43-bf66-87fee1a2dc54']",35,,,,,,,,,,,,,,,Real Zaragoza,395,00:00:35.886,Pass,,2006/2007
,,,,,,,,,,,,,,,1.491776,,,,,,,,,,0548ad85-bf2e-461f-ab74-8e698aa8f853,45,,,"[92.8, 6.2]",69179,0,,,,2.1541693,,Right Foot,,,"[82.9, 21.2]",,Ground Pass,,17.972479,,,,Albert Celades López,25909.0,,,,,,1,From Kick Off,Pablo César Aimar Giordano,26024.0,Left Center Midfield,2,Real Zaragoza,395,['e1593ab0-3b5f-4edf-aea5-246e3e2b7346'],43,,,,,,,,,,,,,,,Real Zaragoza,395,00:00:43.334,Pass,,2006/2007
,,,,,,,,,,,,,,,2.666123,,,,,,,,,,8584720d-1e00-472c-8946-d6e0dfeceebb,48,,,"[87.1, 20.5]",69179,0,,,,0.11133888,,Right Foot,,,"[119.3, 24.1]",,High Pass,,32.400616,,Out,,Pablo César Aimar Giordano,26024.0,,,,,,1,From Kick Off,Albert Celades López,25909.0,Right Center Midfield,2,Real Zaragoza,395,['afc5fc25-684a-4b0b-8198-7340f6325355'],45,,,,,,,,,,,,,,,Real Zaragoza,395,00:00:45.820,Pass,,2006/2007
,,,,,,,,,,,,,,,2.163378,,,,,,,,,,52241384-92c9-4f16-b6f5-2e207702e3f6,50,,,"[7.0, 45.0]",69179,1,,,,-0.17478539,,Right Foot,,,"[57.4, 36.1]",,High Pass,,51.179783,,,,Andrés Iniesta Luján,5216.0,,,,,Goal Kick,1,From Goal Kick,Víctor Valdés Arribas,20176.0,Goalkeeper,3,Barcelona,217,['c4f0512e-7ac7-4776-bd73-e08b705bbf15'],15,,,,,,,,,,,,,,,Barcelona,217,00:01:15.380,Pass,,2006/2007
,,,,,,,,,,,,,,,1.520212,,,,,,,,,,04e8e08c-d5f7-4abd-9ad2-2ffe7f43283d,53,,,"[57.4, 36.1]",69179,1,,,,0.124354996,,Right Foot,,,"[74.2, 38.2]",,High Pass,,16.93074,,,,Ronaldo de Assis Moreira,25879.0,,,,,,1,From Goal Kick,Andrés Iniesta Luján,5216.0,Left Wing Back,3,Barcelona,217,['cc464e46-cb29-45f0-ab33-c9462e34e06a'],17,,,,,,,,,,,,,,,Barcelona,217,00:01:17.957,Pass,,2006/2007
,,,,,,,,,,,,,,,1.4052,,,,,,,,,,6b6a974d-4413-4e8f-9887-d43244dc9dba,57,,,"[72.6, 38.8]",69179,1,,,,1.6633149,,Right Foot,,,"[71.7, 48.5]",,Low Pass,,9.741663,,,,Anderson Luís de Souza,19757.0,,,,,,1,From Goal Kick,Ronaldo de Assis Moreira,25879.0,Center Forward,3,Barcelona,217,"['933074aa-e01d-43da-a1fe-8f098bd20b0b', 'a5e99a07-802d-4a16-8f20-a0f2e9d9e920']",19,,,,,,,,,,,,,,,Barcelona,217,00:01:19.506,Pass,True,2006/2007
,,,,,,,,,,,,,,,0.825776,,,,,,,,,,23c0ef79-0b61-4642-b6bd-f86c1eb14046,67,,,"[33.5, 26.0]",69179,1,,,,-0.40601918,,Left Foot,,,"[44.2, 21.4]",,Ground Pass,,11.646888,,,,Alberto Zapater Arjol,24520.0,,,,,Free Kick,1,From Free Kick,Gabriel Alejandro Milito,25919.0,Left Center Back,5,Real Zaragoza,395,['9e8bbaef-425a-4b5d-9f1f-f40c34174f53'],35,,,,,,,,,,,,,,,Real Zaragoza,395,00:01:35.531,Pass,,2006/2007
,,,,,,,,,,,,,,,0.953,,,,,,,,,,6e515764-e778-46b0-89f9-287debc41e9d,70,,,"[50.1, 22.2]",69179,1,,,,0.024091724,,Right Foot,,,"[66.7, 22.6]",,Ground Pass,,16.604818,,,,Diego Alberto Milito,19294.0,,,,,,1,From Free Kick,Alberto Zapater Arjol,24520.0,Center Defensive Midfield,5,Real Zaragoza,395,['e48019e0-6726-4780-9831-fe5dc193d491'],39,,,,,,,,,,,,,,,Real Zaragoza,395,00:01:39.527,Pass,,2006/2007
