50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,83bbb0b0-a6fe-4339-88f9-d698e472ba25,1,,,69180,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Racing Santander,1217,,0,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 26070, 'name': 'Antonio Rodríguez Martínez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 25889, 'name': 'Pablo Pinillos Caro'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 14}, {'player': {'id': 6891, 'name': 'Ezequiel Marcelo Garay'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 26067, 'name': 'Oriol Lozano Farrán'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 26069, 'name': 'Luis Fernández Gutiérrez'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 17}, {'player': {'id': 26025, 'name': 'Jorge López Montaña'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 7}, {'player': {'id': 26073, 'name': 'Gonzalo Colsa Albendea'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 26489, 'name': 'Aldo Pedro Duscher'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 26137, 'name': 'Óscar Serrano Rodriguez'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 26491, 'name': 'Iván Bolado Palacios'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 32}, {'player': {'id': 19577, 'name': 'Pedro Manuel Munitis Álvarez'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 10}]}",Racing Santander,1217,00:00:00.000,Starting XI,,2007/2008
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,a4975d8b-9958-4d3a-81bb-61316c561c70,2,,,69180,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Racing Santander,1217,,0,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 15774, 'name': 'Gianluca Zambrotta'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 11}, {'player': {'id': 15071, 'name': 'Lilian Thuram'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 21}, {'player': {'id': 25873, 'name': 'Oleguer Presas Renom'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 20177, 'name': 'Eric-Sylvain Bilal Abidal'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 3087, 'name': 'Gnégnéri Yaya Touré'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 25879, 'name': 'Ronaldo de Assis Moreira'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 19298, 'name': ""Samuel Eto''o Fils""}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2007/2008
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,7c2b8af4-1a20-4175-91e6-9348eba9705e,3,,,69180,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Racing Santander,1217,['b349ef2a-4a6e-4b1b-8ddb-6899245b2bae'],0,,,,,,,,,,,,,,,Racing Santander,1217,00:00:00.000,Half Start,,2007/2008
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,b349ef2a-4a6e-4b1b-8ddb-6899245b2bae,4,,,69180,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Racing Santander,1217,['7c2b8af4-1a20-4175-91e6-9348eba9705e'],0,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2007/2008
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,8adbb192-8a76-4f96-8807-43d11f7f7d49,1875,,,69180,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,90,Barcelona,217,['9f252828-aa3f-4a09-8bdd-c6316626a5a5'],0,,,,,,,,,,,,,,,Racing Santander,1217,00:00:00.000,Half Start,,2007/2008
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,9f252828-aa3f-4a09-8bdd-c6316626a5a5,1876,,,69180,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,90,Barcelona,217,['8adbb192-8a76-4f96-8807-43d11f7f7d49'],0,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2007/2008
,,,,,,,,,,,,,,,,,0.400939,,,,,,,,,,,,80b28e6d-eb2b-42db-9957-a33600d1db8b,5,,"[61.0, 41.0]",69180,0,,True,,,-0.6857295,,Right Foot,,,,"[62.1, 40.1]",Ground Pass,,1.421267,,,,Lionel Andrés Messi Cuccittini,5503.0,,,,,Kick Off,1,From Kick Off,Samuel Eto''o Fils,19298.0,Center Forward,2,Barcelona,217,['fc9c8f67-da7d-4cf9-a4b1-f3b1d426b53e'],0,,,,,,,,,,,,,,,Barcelona,217,00:00:00.100,Pass,,2007/2008
,,,,,,,,,,,,,,,,,3.087995,,,,,,,,,,,,2bac8912-8466-47f8-a314-c831c101f87d,7,,"[61.0, 40.1]",69180,0,,,,,2.896614,,Left Foot,,,,"[53.4, 42.0]",Ground Pass,,7.8339005,,,,Ronaldo de Assis Moreira,25879.0,,,,,,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Right Wing,2,Barcelona,217,['11f23812-2a44-4e0e-b8b8-4b674bbb38d0'],0,,,,,,,,,,,,,,,Barcelona,217,00:00:00.743,Pass,,2007/2008
,,,,,,,,,,,,,,,,,2.056327,,,,,,,,,,,,048306e9-ecce-4fab-9c6b-fb60379cd796,10,,"[53.4, 42.0]",69180,0,,,,,-1.7346045,,Right Foot,,,,"[49.4, 17.8]",Ground Pass,,24.52835,,,,Eric-Sylvain Bilal Abidal,20177.0,,,,,,1,From Kick Off,Ronaldo de Assis Moreira,25879.0,Left Wing,2,Barcelona,217,['c9ac0bf6-07b7-458c-9032-a4c54f90360d'],4,,,,,,,,,,,,,,,Barcelona,217,00:00:04.416,Pass,,2007/2008
,,,,,,,,,,,,,,,,,0.594637,,,,,,,,,,,,bcd21510-b254-4bed-9b05-fb03d4fcb853,13,,"[49.4, 17.8]",69180,0,,,,,1.5342273,,Left Foot,,,,"[49.7, 26.0]",Ground Pass,,8.205486,,,,Andrés Iniesta Luján,5216.0,,,,,,1,From Kick Off,Eric-Sylvain Bilal Abidal,20177.0,Left Back,2,Barcelona,217,['8cc0756f-c258-4f1d-b62b-6d291630e18b'],6,,,,,,,,,,,,,,,Barcelona,217,00:00:06.513,Pass,,2007/2008
