50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,21a892ee-9496-4ac1-b029-13d6787a6930,1,,,69181,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Athletic Club,215,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 26029, 'name': 'Daniel Aranzubia Aguado'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 13}, {'player': {'id': 26031, 'name': 'Andoni Iraola Sagarna'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 26100, 'name': 'Ustaritz Aldekoaotalora Astarloa'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 25950, 'name': 'Aitor Ocio Carrión'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 20}, {'player': {'id': 26479, 'name': 'Koikili Lertxundi Del Campo'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 9399, 'name': 'Javier Martínez Aginaga'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 26086, 'name': 'Pablo Orbaiz Lesaka'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 6390, 'name': 'Markel Susaeta Laskurain'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 27}, {'player': {'id': 26035, 'name': 'Francisco Javier Yeste Navarro'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 25869, 'name': 'David López Moreno'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 25}, {'player': {'id': 6394, 'name': 'Aritz Aduriz Zubeldia'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 23}]}",Athletic Club,215,00:00:00.000,Starting XI,,2007/2008
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9ffebde8-5c9f-483f-a586-8b29e3b21eb9,2,,,69181,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Athletic Club,215,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 15774, 'name': 'Gianluca Zambrotta'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 11}, {'player': {'id': 15071, 'name': 'Lilian Thuram'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 21}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 25854, 'name': 'Sylvio Mendes Campos Junior'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 16}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 19757, 'name': 'Anderson Luís de Souza'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 15516, 'name': 'Thierry Henry'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 4913, 'name': 'Bojan Krkíc Pérez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 27}]}",Barcelona,217,00:00:00.000,Starting XI,,2007/2008
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2c7dae0f-6c26-4690-8ff5-0d2e9baf7f41,3,,,69181,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Athletic Club,215,['da7a808f-239b-4828-a987-b856256cf921'],0,,,,,,,,,,,,,,,,Athletic Club,215,00:00:00.000,Half Start,,2007/2008
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,da7a808f-239b-4828-a987-b856256cf921,4,,,69181,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Athletic Club,215,['2c7dae0f-6c26-4690-8ff5-0d2e9baf7f41'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2007/2008
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6483470d-c60e-4e0e-a3d6-3217dbc5294d,1904,,,69181,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,109,Barcelona,217,['6e6d0082-b6a6-4b43-ae48-0084aab9fce0'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2007/2008
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6e6d0082-b6a6-4b43-ae48-0084aab9fce0,1905,,,69181,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,109,Barcelona,217,['6483470d-c60e-4e0e-a3d6-3217dbc5294d'],0,,,,,,,,,,,,,,,,Athletic Club,215,00:00:00.000,Half Start,,2007/2008
,,,,,,,,,,,,,,,,,0.394098,,,,,,,,,,,,,74c4e447-f9ff-468d-b72f-785319913966,5,,"[61.0, 41.0]",69181,0,,,,,0.94200003,,Right Foot,,,"[63.4, 44.3]",,Ground Pass,4.080441,,,,Anderson Luís de Souza,19757.0,,,,,Kick Off,1,From Kick Off,Bojan Krkíc Pérez,4913.0,Center Forward,2,Barcelona,217,['4cdd7533-5e63-481d-a1d1-613753f93225'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.333,Pass,,2007/2008
,,,,,,,,,,,,,,,,,1.7035,,,,,,,,,,,,,fa2a6033-2574-441c-b476-1227b4eca095,8,,"[63.4, 43.4]",69181,0,,,,,-3.0429044,,Right Foot,,,"[43.2, 41.4]",,Ground Pass,20.298769,,,,Xavier Hernández Creus,20131.0,,,,,,1,From Kick Off,Anderson Luís de Souza,19757.0,Left Center Midfield,2,Barcelona,217,['39e733e0-a153-477b-8274-906f39df72b2'],0,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.914,Pass,,2007/2008
,,,,,,,,,,,,,,,,,3.3246,,,,,,,,,,,,,47c1e1cf-589a-4dba-a85d-5f58c11cd2e0,12,,"[42.0, 41.2]",69181,0,,,,,-0.005928784,,Right Foot,,,"[92.6, 40.9]",,High Pass,50.60089,,Incomplete,,Thierry Henry,15516.0,,,,,,1,From Kick Off,Xavier Hernández Creus,20131.0,Center Defensive Midfield,2,Barcelona,217,"['4c6f5362-5c37-48f9-9b70-fbecdb9b25c2', '72797d97-4702-441a-b8d0-93b0265381ab', 'a0ae0218-26fd-443f-b188-2af554952bb6']",3,,,,,,,,,,,,,,,,Barcelona,217,00:00:03.846,Pass,True,2007/2008
,,,,,,,,,,,,,,,,,0.8345,,,,,,,,,,,,,4c6f5362-5c37-48f9-9b70-fbecdb9b25c2,14,,"[28.4, 40.1]",69181,0,,,,,0.47614697,,Head,,,"[44.3, 48.3]",,High Pass,17.889942,,Incomplete,,,,,,,,Recovery,1,From Kick Off,Aitor Ocio Carrión,25950.0,Left Center Back,2,Barcelona,217,"['47c1e1cf-589a-4dba-a85d-5f58c11cd2e0', '48aa379c-1d8a-4565-99ab-4abc3a6768b6']",7,,,,,,,,,,,,,,,,Athletic Club,215,00:00:07.171,Pass,,2007/2008
