50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,3c2f54ea-ad1c-4c93-b54e-9e4faa62e75a,1,,,69183,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 4324, 'name': 'Daniel Alves da Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 20177, 'name': 'Eric-Sylvain Bilal Abidal'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 3087, 'name': 'Gnégnéri Yaya Touré'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 20169, 'name': 'Seydou Kéita'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 15516, 'name': 'Thierry Henry'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 19298, 'name': ""Samuel Eto''o Fils""}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2008/2009
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,d32b3e02-edf3-4ec1-a731-e12dc89b940a,2,,,69183,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 26029, 'name': 'Daniel Aranzubia Aguado'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 26209, 'name': 'Manuel Pablo García Díaz'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 26222, 'name': 'José Eduardo Rosa Vale de Castro'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 26107, 'name': 'Alberto Lopo García'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 6320, 'name': 'Filipe Luís Kasmirski'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 25881, 'name': 'Juan Antonio Rodríguez Villamuela'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 22}, {'player': {'id': 26206, 'name': 'Sergio González Soriano'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 26212, 'name': 'Cristian Hidalgo González'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 20}, {'player': {'id': 26211, 'name': 'Joan Verdú Fernández'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 5563, 'name': 'José Andrés Guardado Hernández'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 18}, {'player': {'id': 25987, 'name': 'Rodolfo Bodipo Díaz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 23}]}",RC Deportivo La Coruña,219,00:00:00.000,Starting XI,,2008/2009
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,d5fd4fc9-8a64-4f8a-993c-7d89c3ffca1d,3,,,69183,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['94a5cb52-fd21-4147-92e8-da708d2e695c'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2008/2009
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,94a5cb52-fd21-4147-92e8-da708d2e695c,4,,,69183,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['d5fd4fc9-8a64-4f8a-993c-7d89c3ffca1d'],0,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:00.000,Half Start,,2008/2009
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,4e3786d3-246a-4df8-820f-b36f06ddae70,1700,,,69183,45,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,94,RC Deportivo La Coruña,219,['302ccbeb-4b24-4801-bb86-27e5c1b2e81d'],0,,,,,,,,,,,,,,,,,RC Deportivo La Coruña,219,00:00:00.000,Half Start,,2008/2009
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,302ccbeb-4b24-4801-bb86-27e5c1b2e81d,1701,,,69183,45,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,94,RC Deportivo La Coruña,219,['4e3786d3-246a-4df8-820f-b36f06ddae70'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2008/2009
,,,,,,,,,,,,,,,,0.712989,,,,,,,,,,,,,,,34c28418-a136-4d8b-acc4-bdae99a6bdff,5,,"[60.0, 40.0]",69183,0,,,,-1.6563016,,Right Foot,,"[59.7, 36.5]",,Ground Pass,,3.5128336,,,Thierry Henry,15516.0,,,,,Kick Off,1,From Kick Off,Xavier Hernández Creus,20131.0,Right Center Midfield,2,Barcelona,217,['ea57e509-ac5d-418f-a195-ce995db3b03c'],1,,,,,,,,,,,,,,,,,Barcelona,217,00:00:01.793,Pass,,2008/2009
,,,,,,,,,,,,,,,,2.55604,,,,,,,,,,,,,,,5822a37e-e997-44ed-8af9-a20574c8a24e,8,,"[57.9, 38.2]",69183,0,,,,2.6893568,,Right Foot,,"[29.7, 51.9]",,Ground Pass,,31.351715,,,Gerard Piqué Bernabéu,5213.0,,,,,,1,From Kick Off,Thierry Henry,15516.0,Left Wing,2,Barcelona,217,['286bbbe9-6575-40ff-8d28-afd020213a46'],3,,,,,,,,,,,,,,,,,Barcelona,217,00:00:03.149,Pass,,2008/2009
,,,,,,,,,,,,,,,,1.16378,,,,,,,,,,,,,,,ae471dd0-d56a-436a-8442-9ca1ec8458e7,12,,"[31.4, 52.1]",69183,0,,,,-1.701983,,Right Foot,,"[27.6, 23.3]",,Ground Pass,,29.049612,,,Carles Puyol i Saforcada,20125.0,,,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Right Center Back,2,Barcelona,217,['52850b30-2346-4131-b66b-9e83367664f8'],6,,,,,,,,,,,,,,,,,Barcelona,217,00:00:06.873,Pass,,2008/2009
,,,,,,,,,,,,,,,,1.834783,,,,,,,,,,,,,,,ee3abbbb-5f0f-43c1-b676-94e279e44b4b,15,,"[50.5, 20.5]",69183,0,,,,-1.1961151,,Right Foot,,"[57.5, 2.7]",,Ground Pass,,19.126944,,,Eric-Sylvain Bilal Abidal,20177.0,,,,,,1,From Kick Off,Carles Puyol i Saforcada,20125.0,Left Center Back,2,Barcelona,217,['42f475e3-486c-4454-806c-6a23163cedf6'],14,,,,,,,,,,,,,,,,,Barcelona,217,00:00:14.261,Pass,,2008/2009
