bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure,season_name
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,1e6f7e33-d7e8-40f5-b351-94fa0af84858,1,,,69212,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 20176, 'name': 'Víctor Valdés Arribas'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 20125, 'name': 'Carles Puyol i Saforcada'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 5}, {'player': {'id': 5558, 'name': 'Rafael Márquez Álvarez'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 5213, 'name': 'Gerard Piqué Bernabéu'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 20177, 'name': 'Eric-Sylvain Bilal Abidal'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 5203, 'name': 'Sergio Busquets i Burgos'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 28}, {'player': {'id': 20131, 'name': 'Xavier Hernández Creus'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 11270, 'name': 'Eiður Smári Guðjohnsen'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 5216, 'name': 'Andrés Iniesta Luján'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 8}, {'player': {'id': 19298, 'name': ""Samuel Eto''o Fils""}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Barcelona,217,00:00:00.000,Starting XI,,2008/2009
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,5dd82bbf-62cd-4a09-8315-b678744d5256,2,,,69212,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 20256, 'name': 'Grégory Coupet'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 26120, 'name': 'Luis Amaranto Perea Mosquera'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 19728, 'name': 'Johnny Heitinga'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 19731, 'name': 'Tomáš Ujfaluši'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 17}, {'player': {'id': 26118, 'name': 'Antonio López Guerrero'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 26391, 'name': 'Luis Javier García Sanz'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 9}, {'player': {'id': 26502, 'name': 'Paulo Assunção da Silva'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 12}, {'player': {'id': 6391, 'name': 'Raúl García Escudero'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 26124, 'name': 'Maximiliano Rubén Rodríguez'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 3237, 'name': 'Sergio Leonel Agüero del Castillo'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 26083, 'name': 'Florent Sinama-Pongolle'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 14}]}",Atlético Madrid,212,00:00:00.000,Starting XI,,2008/2009
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,bf426dea-daf4-4be1-b87c-efd98956426a,3,,,69212,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['d64279fd-a02d-413c-baf2-f2541fa997c4'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2008/2009
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,d64279fd-a02d-413c-baf2-f2541fa997c4,4,,,69212,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Barcelona,217,['bf426dea-daf4-4be1-b87c-efd98956426a'],0,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:00.000,Half Start,,2008/2009
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,8f2d39f2-35e6-46fe-a80d-7372bfda77d6,1681,,,69212,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,90,Atlético Madrid,212,['a176e3e1-36b2-4ffb-9c23-c9d447eff621'],0,,,,,,,,,,,,,,,,,Atlético Madrid,212,00:00:00.000,Half Start,,2008/2009
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,a176e3e1-36b2-4ffb-9c23-c9d447eff621,1682,,,69212,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,90,Atlético Madrid,212,['8f2d39f2-35e6-46fe-a80d-7372bfda77d6'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.000,Half Start,,2008/2009
,,,,,,,,,,,,,,,,4.963368,,,,,,,,,,,,,,,ec5c278f-0e80-4c42-8bc5-24cc3d86e573,5,,"[60.0, 40.0]",69212,0,,True,,,2.9258265,,Right Foot,,,,"[45.4, 43.2]",,Ground Pass,,14.946571,,,Sergio Busquets i Burgos,5203.0,,,,,,Kick Off,1,From Kick Off,Samuel Eto''o Fils,19298.0,Center Forward,2,Barcelona,217,['8bc3f05c-bbbb-43f2-8d77-0a2f6e7458ff'],0,,,,,,,,,,,,,,,,,Barcelona,217,00:00:00.410,Pass,,2008/2009
,,,,,,,,,,,,,,,,0.958992,,,,,,,,,,,,,,,3c75d7c9-8072-4836-bcba-a7873983c9da,7,,"[44.0, 41.7]",69212,0,,,,,2.5045223,,Right Foot,,,,"[34.0, 49.1]",,Ground Pass,,12.440257,,,Rafael Márquez Álvarez,5558.0,,,,,,,1,From Kick Off,Sergio Busquets i Burgos,5203.0,Center Defensive Midfield,2,Barcelona,217,['164124ca-9566-494a-bb1a-a406f72fc7a4'],5,,,,,,,,,,,,,,,,,Barcelona,217,00:00:05.739,Pass,,2008/2009
,,,,,,,,,,,,,,,,1.140718,,,,,,,,,,,,,,,eaae1147-14d3-489a-bb47-7e68a034edd6,10,,"[34.2, 49.8]",69212,0,,,,,-1.3389317,,Right Foot,,,,"[37.6, 35.4]",,Ground Pass,,14.795945,,,Gerard Piqué Bernabéu,5213.0,,,,,,,1,From Kick Off,Rafael Márquez Álvarez,5558.0,Right Center Back,2,Barcelona,217,['1c5ec888-fd03-4bbf-830e-9a3aa076eb7b'],6,,,,,,,,,,,,,,,,,Barcelona,217,00:00:06.947,Pass,,2008/2009
,,,,,,,,,,,,,,,,1.963025,,,,,,,,,,,,,,,6f5fb51d-aff1-4a51-b0b3-1be31cb17ed4,13,,"[42.6, 33.8]",69212,0,,,,,1.4075295,,Right Foot,,,,"[49.7, 76.9]",,Ground Pass,,43.68089,,,Carles Puyol i Saforcada,20125.0,,,True,,,,1,From Kick Off,Gerard Piqué Bernabéu,5213.0,Left Center Back,2,Barcelona,217,['fc856b3b-97b5-4102-aeec-643139fc5439'],13,,,,,,,,,,,,,,,,,Barcelona,217,00:00:13.282,Pass,,2008/2009
